2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-35.761, 	-60, 	26.1534, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-60, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
2, 	-35.761, 	-59, 	0, 	1, 	1.52
