0:(0,0);(0,0);(0,0);(0,0)
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(-0.00035187,0.000186904),(-0.00035579,0.000194834),(-0.000359763,0.000199709),(-0.000343981,0.000176479),(-0.000366753,0.000168915),(-0.00036841,0.000183888),(-0.000360239,0.00017979),(-0.000353069,0.00017938),(-0.000355037,0.000187141),(-0.000355219,0.000196306),(-0.000359253,0.000178705),(-0.000350418,0.000181071),(-0.000340664,0.000173929),(-0.000363208,0.000179857),(-0.000345766,0.00019074),(-0.00034779,0.000191805),(-0.000336913,0.00018141),(-0.000352365,0.000177841),(-0.000353536,0.000180598),(-0.000355554,0.000193356),(-0.000364404,0.000176052),(-0.000336711,0.000178082),(-0.000345581,0.000176385),(-0.000357116,0.000185302),(-0.00034852,0.00018774),(-0.000361506,0.000181629),(0,0),(-0.000344608,0.000191978),(-0.0003492,0.000193009),(-0.000348391,0.000189308),(-0.00035408,0.000182985),(-0.000367161,0.000186691),(-0.000355463,0.000189111),(-0.000334678,0.000183223),(-0.000356227,0.000202856),(-0.000338892,0.000191964),(-0.000367474,0.000178155),(-0.000357988,0.000193621),(-0.000366247,0.000183893),(-0.000351972,0.000194327),(-0.000361596,0.000167259),(-0.00035642,0.000189797),(-0.000357185,0.000182914),(-0.000355145,0.000176309),(-0.000344382,0.000195306),(-0.000350044,0.000187859).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(5.58384e-05,0.000397439),(8.05752e-05,0.000378586),(8.45323e-05,0.00039599),(5.79307e-05,0.00040476),(5.68426e-05,0.000392496),(6.66415e-05,0.000386089),(5.70278e-05,0.000386693),(6.37711e-05,0.000393066),(6.54169e-05,0.000388598),(7.18119e-05,0.0003966),(6.51438e-05,0.000390908),(5.4114e-05,0.000398214),(7.66937e-05,0.000374532),(7.05627e-05,0.000390534),(5.37401e-05,0.000395091),(8.21473e-05,0.000392801),(7.40995e-05,0.000381676),(6.55636e-05,0.000388087),(6.34537e-05,0.000394464),(6.21073e-05,0.000382443),(5.71613e-05,0.000387829),(7.21858e-05,0.000379117),(5.41481e-05,0.000393027),(6.86901e-05,0.000403102),(7.06752e-05,0.000394596),(5.75708e-05,0.000387751),(0,0),(6.81527e-05,0.000382412),(8.37514e-05,0.000396815),(6.94477e-05,0.000389025),(6.09966e-05,0.000380737),(7.5362e-05,0.000388176),(6.1861e-05,0.000405046),(6.33716e-05,0.00039333),(8.57068e-05,0.00038307),(8.00989e-05,0.000392745),(7.45895e-05,0.000390673),(8.821e-05,0.00038665),(5.86918e-05,0.000386564),(7.18045e-05,0.000392197),(6.59381e-05,0.000398965),(7.68145e-05,0.000400843),(6.31712e-05,0.000394125),(6.61295e-05,0.000390639),(6.53463e-05,0.000387387),(6.31638e-05,0.000393112).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(0.000388662,5.19248e-05),(0.000401608,3.76329e-05),(0.000382347,2.53757e-05),(0.000373751,5.16523e-05),(0.000388483,6.68025e-05),(0.000397377,4.945e-05),(0.000396932,4.61575e-05),(0.00038854,5.24493e-05),(0.000404226,5.19746e-05),(0.000382075,4.52239e-05),(0.000391984,5.13501e-05),(0.000393247,5.98703e-05),(0.000394398,5.29165e-05),(0.000397316,5.21958e-05),(0.00040476,5.07073e-05),(0.000382478,3.18977e-05),(0.000399218,4.53059e-05),(0.000404655,4.5972e-05),(0.000386764,4.48355e-05),(0.000405887,3.777e-05),(0.000401374,7.03854e-05),(0.000389725,4.36696e-05),(0.000397738,6.00021e-05),(0.000391405,4.08911e-05),(0.000394767,4.97382e-05),(0.000393119,5.21043e-05),(0,0),(0.000395214,4.20906e-05),(0.000394422,3.04637e-05),(0.000391071,4.28625e-05),(0.00040453,4.6759e-05),(0.000400341,4.41665e-05),(0.000397781,6.27439e-05),(0.000400451,5.71747e-05),(0.000413202,3.0929e-05),(0.000395426,3.47345e-05),(0.000403249,5.15031e-05),(0.00038666,4.33785e-05),(0.000410094,3.55179e-05),(0.000396157,4.44891e-05),(0.000397822,5.24637e-05),(0.000390428,4.82047e-05),(0.000414477,4.06346e-05),(0.000399064,4.83372e-05),(0.000392982,3.55028e-05),(0.000389145,4.69249e-05).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(0.000166697,-0.00034904),(0.000154656,-0.00035956),(0.000153292,-0.000371827),(0.000154456,-0.000361136),(0.000174412,-0.000361475),(0.000155159,-0.000362549),(0.000165662,-0.000363893),(0.000148808,-0.00035604),(0.000160656,-0.000355734),(0.000153716,-0.000361952),(0.000164098,-0.000365737),(0.000169774,-0.000355301),(0.00016112,-0.000369295),(0.000158871,-0.000363769),(0.000179517,-0.000375944),(0.00015587,-0.000362304),(0.000171125,-0.000363817),(0.000162476,-0.000366107),(0.000177375,-0.000366145),(0.000161331,-0.000385476),(0.000168979,-0.00035881),(0.000164103,-0.000363195),(0.000184209,-0.000362007),(0.000153919,-0.000364067),(0.000161916,-0.000371311),(0.000161848,-0.000368242),(0,0),(0.00016569,-0.00035713),(0.000176213,-0.000362716),(0.000161346,-0.000361086),(0.000167424,-0.000364534),(0.000159804,-0.000359511),(0.000158086,-0.000356691),(0.000163353,-0.000361102),(0.000164103,-0.00036742),(0.000145871,-0.000373399),(0.000157479,-0.000366676),(0.000147376,-0.000381732),(0.000170927,-0.000368225),(0.000159134,-0.000363441),(0.000166421,-0.000361774),(0.000175082,-0.000352953),(0.000173833,-0.000374022),(0.000163736,-0.000371884),(0.000153009,-0.000371644),(0.000161304,-0.000364418).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(-0.000222673,-0.000326073),(-0.000237052,-0.000312121),(-0.000236803,-0.000312206),(-0.00022673,-0.000331444),(-0.000222491,-0.000333915),(-0.000236852,-0.000325819),(-0.000228442,-0.000329473),(-0.000226519,-0.000325044),(-0.000235698,-0.000333099),(-0.000226797,-0.000311154),(-0.000236113,-0.000321161),(-0.000229678,-0.000334385),(-0.0002353,-0.000310653),(-0.000238544,-0.000322556),(-0.000234721,-0.00032735),(-0.000228374,-0.000320809),(-0.000225553,-0.000324556),(-0.000224403,-0.000329509),(-0.00022466,-0.000323868),(-0.000241157,-0.000323616),(-0.000231416,-0.000318513),(-0.000235659,-0.000328503),(-0.000226413,-0.000330084),(-0.000246824,-0.000332523),(-0.000235188,-0.000315955),(-0.000223531,-0.000318826),(0,0),(-0.000233849,-0.000328006),(-0.000238788,-0.000325706),(-0.00022628,-0.000325196),(-0.000217086,-0.000318505),(-0.000235225,-0.000331494),(-0.000228362,-0.000319272),(-0.000238592,-0.000321741),(-0.000241396,-0.000315165),(-0.000247853,-0.000306174),(-0.000232233,-0.000322255),(-0.000220382,-0.000318091),(-0.000228242,-0.000326784),(-0.00022241,-0.00031984),(-0.000220686,-0.000332018),(-0.000234785,-0.00031245),(-0.000238088,-0.000314194),(-0.000232596,-0.000333373),(-0.000241105,-0.000327923),(-0.000221686,-0.000325749).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(-0.000382665,0.000147062),(-0.000354727,0.000148566),(-0.000364504,0.00014767),(-0.000378641,0.000134604),(-0.000390582,0.000129751),(-0.000369368,0.000141337),(-0.00037194,0.000142285),(-0.000372023,0.00014875),(-0.000377214,0.000120703),(-0.000391167,0.000139979),(-0.000369568,0.000142976),(-0.000364572,0.000127548),(-0.000375864,0.00015368),(-0.000367332,0.000143849),(-0.000372717,0.000131575),(-0.000366797,0.000156726),(-0.0003851,0.000142461),(-0.000382322,0.000124852),(-0.000366778,0.000136273),(-0.000369051,0.000140199),(-0.000379564,0.000139726),(-0.000374278,0.000137281),(-0.000381965,0.000128364),(-0.000376543,0.000133336),(-0.000378733,0.000141984),(-0.000368963,0.000135897),(0,0),(-0.000384213,0.00014736),(-0.000362054,0.000136932),(-0.000366963,0.000149523),(-0.000370739,0.000124716),(-0.000371649,0.000133641),(-0.000365478,0.000123706),(-0.000369945,0.000140692),(-0.00036935,0.000149704),(-0.000367653,0.000149327),(-0.000374914,0.000146233),(-0.000358002,0.000142468),(-0.00037445,0.00015163),(-0.000369063,0.000143812),(-0.0003825,0.000145655),(-0.000358639,0.000130494),(-0.000381455,0.000134015),(-0.000360553,0.000138808),(-0.000360713,0.000154219),(-0.000374156,0.000145239).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(5.36142e-06,0.000394895),(-1.47193e-05,0.000400338),(9.43102e-06,0.000398347),(-1.90526e-05,0.000403129),(-2.84136e-05,0.000406162),(-9.261e-06,0.000407424),(-5.61568e-06,0.000393172),(1.25999e-06,0.000403615),(-2.09037e-05,0.000398774),(-1.94322e-05,0.000399006),(1.88389e-06,0.000381333),(-3.12957e-05,0.000388167),(-8.90024e-06,0.00039903),(-1.40556e-06,0.000387283),(-7.95612e-06,0.000395436),(7.79775e-08,0.000394756),(4.42871e-06,0.000407488),(-3.53371e-06,0.000394952),(-9.25636e-06,0.000395067),(4.37172e-06,0.000404503),(3.42347e-06,0.000403747),(-1.04758e-05,0.000400779),(-1.50728e-05,0.000407869),(-2.32452e-05,0.000397079),(2.32819e-06,0.000395015),(-8.99888e-06,0.000396618),(0,0),(-9.4085e-07,0.000382111),(2.45954e-06,0.000401352),(-5.65572e-06,0.000400642),(-1.05161e-05,0.000397828),(-8.00465e-06,0.000397594),(8.47612e-06,0.000393459),(-1.29117e-05,0.000407918),(5.83228e-06,0.000396387),(7.49471e-06,0.000395909),(3.38063e-06,0.000392378),(2.44892e-06,0.000402319),(-3.19853e-06,0.000410613),(9.64782e-06,0.000390773),(-5.49821e-06,0.000393161),(1.148e-06,0.000386179),(-2.29581e-06,0.000408061),(-4.5075e-07,0.000408614),(2.07914e-05,0.000395202),(-1.06016e-05,0.000398789).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(0.000387988,0.000128856),(0.000376856,0.000119255),(0.000372801,0.000109681),(0.000377282,0.00013547),(0.00036621,0.000147677),(0.00037902,0.000137394),(0.000370736,0.000143284),(0.000370982,0.000146317),(0.0003728,0.000135691),(0.000368132,0.000133841),(0.00038702,0.000130787),(0.000362756,0.000153366),(0.000375259,0.000136783),(0.000380073,0.000120016),(0.000384523,0.000142108),(0.000382661,0.000135609),(0.000380139,0.000136515),(0.000362375,0.000134219),(0.000380259,0.000139474),(0.000378695,0.000133226),(0.000376325,0.000143548),(0.000368481,0.000131127),(0.000374015,0.000136305),(0.000376388,0.000131844),(0.000372103,0.000123738),(0.000372093,0.000139331),(0,0),(0.000371536,0.000139865),(0.000375205,0.000131314),(0.000378838,0.000128208),(0.000382625,0.000142568),(0.000371959,0.000131884),(0.000379752,0.000138946),(0.000363472,0.00013529),(0.000373653,0.0001297),(0.00036189,0.000117122),(0.000376395,0.000130104),(0.000377601,0.000128478),(0.00038164,0.000133036),(0.000363748,0.000137751),(0.000369099,0.000148922),(0.000373678,0.000143695),(0.000374524,0.000132433),(0.000376394,0.000143407),(0.00039053,0.000118199),(0.000380038,0.000119545).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(0.000232038,-0.000315382),(0.000229589,-0.000317675),(0.000212897,-0.000335485),(0.000231451,-0.00032816),(0.000232078,-0.000323304),(0.000238145,-0.000323025),(0.000246819,-0.000325517),(0.000239202,-0.000326838),(0.000224329,-0.000318828),(0.000239511,-0.000317784),(0.000224717,-0.000333752),(0.000245418,-0.000329618),(0.000237534,-0.000319255),(0.000232435,-0.000331215),(0.000231121,-0.000312735),(0.000219494,-0.000333054),(0.000229393,-0.000319378),(0.000231258,-0.000316843),(0.000237056,-0.000325662),(0.000236546,-0.00032803),(0.000243582,-0.000309678),(0.000230003,-0.000315598),(0.000247746,-0.00031722),(0.000237809,-0.000328972),(0.00023184,-0.00033352),(0.000215876,-0.000321541),(0,0),(0.000224638,-0.000332084),(0.000238186,-0.000321582),(0.000222857,-0.000334872),(0.000244168,-0.000322974),(0.000235401,-0.000329235),(0.000224858,-0.000322058),(0.000240818,-0.000325522),(0.000232384,-0.000329245),(0.000225485,-0.000330065),(0.000229837,-0.000339341),(0.000218022,-0.000334065),(0.000221437,-0.000317729),(0.000241167,-0.000329084),(0.000242949,-0.000323436),(0.000225297,-0.000310156),(0.000238514,-0.000318885),(0.000228392,-0.000325132),(0.000226588,-0.000317636),(0.000229483,-0.000331669).
48,4,(0,0),(0,0),(0,0),(0,0),(0,0),(0,0),(-0.000193832,-0.000351249),(-0.000208733,-0.00033823),(-0.000215567,-0.000339387),(-0.000188754,-0.00035013),(-0.000189395,-0.000349092),(-0.000195843,-0.000355238),(-0.000191114,-0.000355522),(-0.000191944,-0.000345418),(-0.000195329,-0.000343937),(-0.000188903,-0.000349909),(-0.000214331,-0.000347057),(-0.000193323,-0.000359866),(-0.000197802,-0.000350676),(-0.000195784,-0.00034303),(-0.000184151,-0.000343618),(-0.000188487,-0.000348846),(-0.000198273,-0.000345387),(-0.000191497,-0.000346328),(-0.000197421,-0.000351599),(-0.000191985,-0.000335025),(-0.000180029,-0.000352837),(-0.000200644,-0.000351339),(-0.000191892,-0.000348785),(-0.000199601,-0.000355913),(-0.000199397,-0.000337906),(-0.000183184,-0.000361679),(0,0),(-0.000195861,-0.000347233),(-0.000210857,-0.000342188),(-0.000198766,-0.000338346),(-0.000197335,-0.000348807),(-0.000196359,-0.000352907),(-0.000184025,-0.000345558),(-0.00020807,-0.000357233),(-0.000190954,-0.000346946),(-0.000205594,-0.000337922),(-0.000208065,-0.000350621),(-0.000195293,-0.000346441),(-0.000187178,-0.00036138),(-0.000190788,-0.000349096),(-0.000186163,-0.000345047),(-0.000202329,-0.000360441),(-0.000191019,-0.000352161),(-0.000186272,-0.000358312),(-0.000214859,-0.000340674),(-0.000205314,-0.000331906).
