0:(0,0);(0,0);(0,0);(0,0)
17:21:44.597, 1, 1, 64.(0,0),(0,0),(0,0),(0,0),(-5.61941,2.66778),(-0.208492,-5.73205),(-2.24652,-2.13926),(-2.21525,0.743795),(-3.83968,-1.98776),(-6.76979,-3.03117),(-0.429805,-1.29693),(0.216714,1.9504),(-3.33759,3.66394),(-2.20783,2.23984),(-3.62991,3.04891),(-0.894887,1.08885),(-5.02936,5.0051),(-5.64044,3.04873),(-3.37887,5.2737),(0.499093,0.83969),(-2.08481,7.63321),(-0.371862,2.13048),(-3.32634,1.49969),(-5.20504,1.0609),(1.33159,2.05635),(-2.49492,-1.05407),(-1.9421,3.8868),(-4.11406,2.69801),(-3.97833,2.25422),(-1.03396,8.03781),(-2.55074,5.55392),(-1.7036,5.67572),(0,0),(3.25901,7.71074),(4.25859,2.59603),(2.23803,8.1463),(-0.866337,7.24909),(4.96615,4.49995),(4.10995,8.25037),(3.96403,5.4402),(3.19635,4.08511),(4.58961,4.53054),(9.80589,1.12495),(9.81223,-1.22669),(6.83661,3.07483),(4.22756,-3.42294),(2.31917,2.42104),(6.20416,1.6756),(-0.194861,-1.82855),(1.54617,2.73129),(4.57636,-2.05805),(2.43224,-1.41922),(1.78364,-1.1502),(1.36446,-1.39389),(-0.894906,-1.23487),(-0.759714,-0.195074),(4.11328,3.08773),(-0.565249,0.984732),(1.12901,-0.0204318),(1.80407,1.90187),(1.8236,6.98943),(0,0),(0,0),(0,0).

17:21:44.671, 1, 1, 64.(0,0),(0,0),(0,0),(0,0),(2.20208,1.94298),(2.80667,0.719923),(3.38107,4.8152),(-1.61875,1.73639),(-0.373591,4.53052),(5.14458,3.8575),(4.39001,1.79138),(-0.68327,4.37294),(2.42888,-0.132055),(-0.520193,-1.22918),(3.47212,4.30535),(0.369733,2.86775),(5.8909,0.817133),(1.15417,1.49261),(2.34018,-3.00618),(1.6578,2.35534),(2.82707,0.482648),(7.01238,-3.12631),(3.41352,-3.83751),(-3.64955,4.16679),(3.48941,-2.44693),(5.11833,-4.26808),(5.82812,-0.0235821),(5.14333,-5.22974),(6.30196,-0.780767),(3.98522,-2.86225),(3.68859,-6.27349),(6.43894,-3.63566),(0,0),(5.71375,-7.32652),(2.07586,-3.19885),(-2.57472,-6.3864),(0.905903,-8.22082),(3.45222,-8.443),(-2.13049,-6.88616),(-1.08199,-7.34691),(-0.0180841,-2.10869),(-0.790622,-5.93341),(-2.99407,-5.50494),(-7.93397,-2.89907),(-2.40406,-1.27953),(-6.07514,-1.5299),(-2.03782,3.46427),(-6.78228,0.573105),(-7.6299,0.195593),(-1.41337,2.0788),(0.955326,0.47444),(-0.385717,0.217273),(1.90625,-3.33491),(-1.93589,0.425732),(3.52941,-2.99416),(0.040736,-1.5801),(-2.99434,-1.64792),(0.833765,-1.11848),(-0.624049,2.48392),(-1.89016,0.243889),(-1.97715,-3.8559),(0,0),(0,0),(0,0).

17:21:45.048, 1, 1, 64.(0,0),(0,0),(0,0),(0,0),(-0.758502,1.52526),(-2.71859,4.41088),(-3.96125,4.87359),(-1.60429,3.00585),(-7.60927,3.27409),(-6.56845,4.85483),(1.2797,4.40957),(-3.85457,4.2732),(0.397509,9.0581),(0.297325,0.248845),(0.348031,8.50727),(-2.50859,1.94444),(0.322092,4.76696),(-0.255947,5.00417),(-0.426204,2.31307),(0.65336,1.84484),(-0.716933,2.03183),(3.57572,6.71791),(-0.381354,6.0159),(0.150346,2.75696),(-2.9246,1.14813),(1.67054,5.99772),(0.931471,3.96913),(1.10962,4.34529),(2.06885,4.75041),(1.61265,6.14225),(1.93168,4.36288),(4.49254,5.89746),(0,0),(7.91251,6.27784),(3.84463,2.64508),(3.33761,-2.52492),(4.75017,2.17155),(8.4623,2.28456),(7.26693,-4.13661),(9.0874,-0.796699),(4.17026,0.662369),(8.84361,-1.97006),(5.46594,-4.39416),(1.73065,-5.14214),(-1.02703,-1.63859),(0.771028,-3.26417),(0.483386,0.088809),(0.233198,-5.73467),(-3.59893,-2.63701),(-2.68657,1.29086),(2.27912,1.97397),(-2.39667,-2.82334),(1.80912,0.35481),(1.80384,4.44236),(4.42417,1.84023),(4.53751,-1.81689),(3.47948,1.87205),(0.524203,0.186669),(3.41387,0.337122),(1.26352,-0.361794),(5.11593,-0.0177724),(0,0),(0,0),(0,0).

17:21:45.112, 1, 1, 64.(0,0),(0,0),(0,0),(0,0),(-0.758502,1.52526),(-2.71859,4.41088),(-3.96125,4.87359),(-1.60429,3.00585),(-7.60927,3.27409),(-6.56845,4.85483),(1.2797,4.40957),(-3.85457,4.2732),(0.397509,9.0581),(0.297325,0.248845),(0.348031,8.50727),(-2.50859,1.94444),(0.322092,4.76696),(-0.255947,5.00417),(-0.426204,2.31307),(0.65336,1.84484),(-0.716933,2.03183),(3.57572,6.71791),(-0.381354,6.0159),(0.150346,2.75696),(-2.9246,1.14813),(1.67054,5.99772),(0.931471,3.96913),(1.10962,4.34529),(2.06885,4.75041),(1.61265,6.14225),(1.93168,4.36288),(4.49254,5.89746),(0,0),(7.91251,6.27784),(3.84463,2.64508),(3.33761,-2.52492),(4.75017,2.17155),(8.4623,2.28456),(7.26693,-4.13661),(9.0874,-0.796699),(4.17026,0.662369),(8.84361,-1.97006),(5.46594,-4.39416),(1.73065,-5.14214),(-1.02703,-1.63859),(0.771028,-3.26417),(0.483386,0.088809),(0.233198,-5.73467),(-3.59893,-2.63701),(-2.68657,1.29086),(2.27912,1.97397),(-2.39667,-2.82334),(1.80912,0.35481),(1.80384,4.44236),(4.42417,1.84023),(4.53751,-1.81689),(3.47948,1.87205),(0.524203,0.186669),(3.41387,0.337122),(1.26352,-0.361794),(5.11593,-0.0177724),(0,0),(0,0),(0,0).

17:21:45.461, 1, 1, 64.(0,0),(0,0),(0,0),(0,0),(1.93992,-3.36136),(2.31757,-1.51713),(1.59466,-6.48225),(-1.90369,-3.39427),(0.933476,-6.65567),(0.810987,-10.61),(-2.25866,-3.948),(-0.488125,-4.34522),(-3.94972,-1.94793),(-2.5965,-4.79894),(-2.49907,-4.18914),(-3.74983,-1.83607),(-5.03931,-2.63356),(-1.7203,-1.11882),(0.266442,-3.36336),(-6.10636,-2.31506),(-7.42657,-2.07419),(-3.84181,1.88315),(-2.79213,-2.87379),(-0.87197,-2.5265),(-2.77345,-1.23367),(-4.67203,-0.463137),(-5.07063,-4.23217),(-1.71349,-0.80659),(-4.33886,-0.910186),(-4.38861,1.92171),(-2.1196,0.675852),(-3.78884,2.85566),(0,0),(-6.15243,4.28514),(-2.36136,-0.825439),(-3.51353,0.558044),(-2.94237,3.10904),(-1.82745,7.97306),(-6.58667,8.42233),(-3.8405,5.08778),(-2.17277,7.78388),(-1.07282,7.88812),(2.4632,9.61547),(-0.46553,5.16766),(1.8989,4.56488),(4.52937,5.74354),(6.19331,5.87858),(4.02638,-0.317411),(3.09473,2.19074),(0.724223,-0.129223),(-0.412584,-0.836871),(0.0387182,-0.675404),(-0.883373,2.74848),(-2.96346,2.86619),(1.25452,-0.668703),(1.47066,4.67099),(1.2142,0.117183),(-1.6518,0.314563),(-2.22828,1.07352),(-1.23552,1.37092),(1.18131,0.6838),(0,0),(0,0),(0,0).

