2024-05-23 23:20:31,10
18:40:59:693, 	-40
18:41:19:998, 	-30
18:41:28:158, 	-20
18:41:31:486, 	-20
18:41:33:375, 	-20
18:41:35:376, 	-20
18:41:41:406, 	-20
18:41:52:319, 	-10
18:42:00:719, 	0
18:42:06:647, 	10
18:42:14:127, 	20
18:42:20:919, 	30
18:42:25:944, 	30
18:42:32:408, 	40
