53:(0.00156779,1.24679e-05);(-0.00158922,-0.000377738);(0.00141473,0.000661207);(-0.0011961,-0.00103942)
54:(0.00155787,3.82735e-05);(-0.00152546,-0.000281086);(0.00142301,0.000680096);(-0.00123688,-0.00101858)
55:(0.00157757,5.96041e-05);(-0.00155057,-0.00035287);(0.00139263,0.000739211);(-0.00119142,-0.00106618)
56:(0.00155835,4.02047e-05);(-0.00155262,-0.000346241);(0.00148542,0.000702558);(-0.00124371,-0.000995759)
57:(0.00154992,6.15377e-05);(-0.00156451,-0.000329162);(0.00139535,0.000701237);(-0.00121639,-0.00100636)
58:(0.00157312,8.53164e-05);(-0.00158774,-0.000454681);(0.00144028,0.000703505);(-0.0012202,-0.0010428)
59:(0.00157117,8.08985e-05);(-0.00152325,-0.000373611);(0.0014501,0.000755242);(-0.00125295,-0.000992017)
60:(0.00158669,5.86781e-05);(-0.00157558,-0.000388097);(0.00148093,0.000728476);(-0.00116963,-0.00104587)
61:(0,0);(0,0);(0,0);(0,0)
62:(0,0);(0,0);(0,0);(0,0)
63:(0,0);(0,0);(0,0);(0,0)
