(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:30:15.734, 	1, 	2, 	22.9488, 	25.5076, 	1, 	-1.249e-14, 	3.04, 	(0.0592607,0.735612);
14:30:15.754, 	1, 	2, 	18.7966, 	22.5135, 	1, 	-1.249e-14, 	3.04, 	(0.684917,-0.0591221);
14:30:15.775, 	1, 	2, 	20.3998, 	24.5436, 	1, 	-1.249e-14, 	3.04, 	(-0.608036,0.417145);
14:30:15.794, 	1, 	2, 	22.7498, 	24.9184, 	1, 	-1.249e-14, 	3.04, 	(0.575909,0.399906);
14:30:15.815, 	1, 	2, 	23.4599, 	26.1683, 	1, 	-1.249e-14, 	3.04, 	(0.325748,0.63827);
14:30:15.835, 	1, 	2, 	20.0102, 	23.2499, 	1, 	-1.249e-14, 	3.04, 	(0.254965,-0.647923);
14:30:15.855, 	1, 	2, 	21.1945, 	25.6346, 	1, 	-1.249e-14, 	3.04, 	(0.0610798,0.725489);
14:30:15.875, 	1, 	2, 	22.9547, 	25.1856, 	1, 	-1.249e-14, 	3.04, 	(-0.215221,0.695427);
14:30:15.895, 	1, 	2, 	18.6435, 	23.0651, 	1, 	-1.249e-14, 	3.04, 	(0.674652,0.0318317);
14:30:15.915, 	1, 	2, 	20.1189, 	21.0372, 	1, 	-1.249e-14, 	3.04, 	(-0.486886,0.285103);
14:30:15.936, 	1, 	2, 	22.5665, 	25.3473, 	1, 	-1.249e-14, 	3.04, 	(-0.663561,-0.243206);
14:30:15.956, 	1, 	2, 	23.7844, 	25.6366, 	1, 	-1.249e-14, 	3.04, 	(0.616375,0.370557);
14:30:15.976, 	1, 	2, 	19.3916, 	24.5241, 	1, 	-1.249e-14, 	3.04, 	(0.335006,0.633993);
14:30:15.996, 	1, 	2, 	22.7161, 	25.1435, 	1, 	-1.249e-14, 	3.04, 	(-0.513849,0.293264);
14:30:16.016, 	1, 	2, 	21.4962, 	25.693, 	1, 	-1.249e-14, 	3.04, 	(-0.345081,0.671506);
14:30:16.037, 	1, 	2, 	22.4278, 	25.1519, 	1, 	-1.249e-14, 	3.04, 	(0.0878643,0.721448);
14:30:16.057, 	1, 	2, 	21.3745, 	25.1858, 	1, 	-1.249e-14, 	3.04, 	(-0.499185,-0.594976);
14:30:16.077, 	1, 	2, 	22.9066, 	25.269, 	1, 	-1.249e-14, 	3.04, 	(-0.365727,0.695484);
14:30:16.097, 	1, 	2, 	18.546, 	22.8739, 	1, 	-1.249e-14, 	3.04, 	(0.587076,0.399796);
14:30:16.121, 	1, 	2, 	22.1212, 	25.1797, 	1, 	-1.249e-14, 	3.04, 	(0.583254,-0.549922);
14:30:16.137, 	1, 	2, 	24.5563, 	25.3261, 	1, 	-1.249e-14, 	3.04, 	(-0.49623,0.410656);
14:30:16.158, 	1, 	2, 	23.5522, 	25.8896, 	1, 	-1.249e-14, 	3.04, 	(-0.708514,-0.375209);
14:30:16.178, 	1, 	2, 	25.0367, 	25.6481, 	1, 	-1.249e-14, 	3.04, 	(0.552415,-0.520828);
14:30:16.198, 	1, 	2, 	20.7025, 	25.142, 	1, 	-1.249e-14, 	3.04, 	(-0.34239,0.713978);
14:30:16.218, 	1, 	2, 	24.7379, 	25.467, 	1, 	-1.249e-14, 	3.04, 	(0.791983,0.144831);
14:30:16.238, 	1, 	2, 	25.7155, 	25.0539, 	1, 	-1.249e-14, 	3.04, 	(-0.471283,-0.0812226);
14:30:16.258, 	1, 	2, 	20.3517, 	24.2801, 	1, 	-1.249e-14, 	3.04, 	(0.684685,0.380425);
14:30:16.278, 	1, 	2, 	24.3895, 	25.6555, 	1, 	-1.249e-14, 	3.04, 	(-0.608718,-0.175763);
14:30:16.298, 	1, 	2, 	25.3271, 	25.8723, 	1, 	-1.249e-14, 	3.04, 	(0.76897,-0.0961337);
14:30:16.318, 	1, 	2, 	25.0008, 	25.6405, 	1, 	-1.249e-14, 	3.04, 	(-0.30281,0.662416);
14:30:16.338, 	1, 	2, 	22.2819, 	25.6818, 	1, 	-1.249e-14, 	3.04, 	(0.23456,0.711589);
14:30:16.359, 	1, 	2, 	24.0455, 	25.9828, 	1, 	-1.249e-14, 	3.04, 	(0.347585,0.423276);
14:30:16.379, 	1, 	2, 	25.0234, 	26.0758, 	1, 	-1.249e-14, 	3.04, 	(-0.38256,-0.636535);
14:30:16.399, 	1, 	2, 	24.1626, 	25.6777, 	1, 	-1.249e-14, 	3.04, 	(0.135248,0.671899);
14:30:16.419, 	1, 	2, 	24.8829, 	25.3299, 	1, 	-1.249e-14, 	3.04, 	(-0.262938,0.559466);
14:30:16.439, 	1, 	2, 	18.0732, 	21.3228, 	1, 	-1.249e-14, 	3.04, 	(-0.450765,-0.546384);
14:30:16.460, 	1, 	2, 	19.6967, 	23.2838, 	1, 	-1.249e-14, 	3.04, 	(0.00828287,-0.7796);
14:30:16.480, 	1, 	2, 	25.2004, 	26.0066, 	1, 	-1.249e-14, 	3.04, 	(-0.0671521,0.685602);
14:30:16.500, 	1, 	2, 	24.9408, 	25.1762, 	1, 	-1.249e-14, 	3.04, 	(0.206445,-0.55332);
14:30:16.520, 	1, 	2, 	19.1115, 	21.1574, 	1, 	-1.249e-14, 	3.04, 	(-0.74573,-0.0306596);
14:30:16.540, 	0, 	2, 	26.5968, 	14.6108, 	1, 	-1.249e-14, 	3.04, 	(0.0716383,0.127228);
14:30:16.561, 	1, 	2, 	25.4314, 	25.4574, 	1, 	4, 	2.736, 	(-0.593424,-0.230874);
14:30:16.573, 	1, 	1, 	22.7809, 	21.4778, 	0, 	4, 	2.432, 	(-0.546558,-0.779623);(-1.08489,0.783643);(2.03531,0.161308);(-1.78642,-1.00578);
14:30:16.601, 	1, 	2, 	27.1669, 	25.66, 	1, 	4, 	2.432, 	(-0.57161,0.526752);
14:30:16.621, 	0, 	2, 	21.8619, 	14.0157, 	1, 	4, 	2.432, 	(-0.00447808,0.137899);
14:30:16.642, 	1, 	2, 	26.0546, 	24.9306, 	1, 	8, 	2.128, 	(0.0755881,-0.550399);
14:30:16.655, 	1, 	1, 	25.5079, 	18.2394, 	0, 	8, 	1.824, 	(-1.01516,-0.756075);(-0.714689,1.51468);(1.37241,-0.566146);(-1.47964,-0.181061);
