(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:25:01.705, 	1, 	1, 	9.65129, 	5.41974, 	0, 	8, 	2.736, 	(-0.131877,0.126838);(-0.067927,-0.223421);(0.0694345,-0.0540806);(0.0785714,0.0764708);
17:25:18.075, 	1, 	2, 	10.4092, 	15.8883, 	1, 	4, 	2.736, 	(-0.0310471,-0.144038);
17:25:18.089, 	1, 	2, 	9.75634, 	16.7686, 	1, 	4, 	2.736, 	(-0.137962,-0.0004344);
17:25:18.109, 	1, 	2, 	11.2222, 	15.727, 	1, 	9.71445e-15, 	2.736, 	(-0.104256,-0.0591515);
17:25:18.131, 	1, 	2, 	11.3804, 	14.8053, 	1, 	9.71445e-15, 	2.736, 	(-0.0694436,0.0549569);
17:25:18.150, 	1, 	2, 	10.2261, 	13.1028, 	1, 	9.71445e-15, 	2.736, 	(-0.0123983,-0.0762867);
17:25:18.163, 	1, 	2, 	12.7843, 	14.9602, 	1, 	9.71445e-15, 	2.736, 	(-0.1316,0.000675488);
17:25:18.200, 	0, 	2, 	12.4136, 	14.9988, 	1, 	9.71445e-15, 	2.736, 	(-0.132438,-0.0154622);
17:25:18.220, 	1, 	1, 	12.3774, 	12.3362, 	0, 	4, 	2.128, 	(-0.239656,0.0705971);(0.109088,-0.354106);(0.28288,0.0368125);(0.0437265,0.329639);
17:25:18.240, 	1, 	1, 	12.3867, 	12.4093, 	0, 	4, 	1.824, 	(0.223615,-0.177174);(0.0931465,0.385152);(-0.221632,0.0686293);(-0.199631,-0.208531);
17:25:18.261, 	1, 	2, 	12.7545, 	17.1641, 	1, 	4, 	2.128, 	(-0.111796,0.104631);
17:25:18.281, 	1, 	2, 	14.16, 	16.0266, 	1, 	4, 	2.128, 	(-0.0860611,-0.0255181);
17:25:18.302, 	1, 	2, 	14.0144, 	16.8441, 	1, 	4, 	2.128, 	(-0.104611,-0.141304);
17:25:18.321, 	1, 	2, 	13.3517, 	17.2313, 	1, 	4, 	2.128, 	(-0.119191,0.0631481);
17:25:18.342, 	1, 	2, 	12.5174, 	16.9284, 	1, 	4, 	2.128, 	(0.111075,-0.0166664);
17:25:18.362, 	1, 	2, 	13.3711, 	17.3914, 	1, 	4, 	2.128, 	(0.150321,-0.106659);
17:25:18.382, 	1, 	2, 	14.8201, 	17.7153, 	1, 	4, 	2.128, 	(-0.0758216,-0.145553);
17:25:18.402, 	0, 	2, 	15.4476, 	17.7153, 	1, 	4, 	2.128, 	(-0.0758216,-0.145553);
17:25:18.421, 	1, 	1, 	14.9771, 	12.3016, 	0, 	8, 	2.128, 	(-0.159147,0.283061);(-0.277777,-0.417244);(0.333255,-0.419086);(0.490031,0.193922);
17:25:18.441, 	1, 	1, 	14.7373, 	19.6111, 	0, 	8, 	2.128, 	(0.236683,0.234198);(-0.45633,0.18355);(-0.323149,-0.359488);(0.239505,-0.436249);
17:25:18.463, 	1, 	2, 	14.0438, 	18.4428, 	1, 	8, 	2.128, 	(0.21576,-0.0637615);
17:25:18.483, 	1, 	2, 	15.8528, 	19.9355, 	1, 	8, 	2.128, 	(-0.163712,-0.156466);
17:25:18.503, 	1, 	2, 	16.755, 	17.6448, 	1, 	8, 	2.128, 	(0.0279226,0.0844644);
