(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
20:20:49.261, 	1, 	2, 	27.4769, 	24.4725, 	1, 	8, 	3.04, 	(0.147411,-0.296989);
20:20:49.281, 	1, 	2, 	21.163, 	24.0736, 	1, 	8, 	3.04, 	(-0.281239,-0.607267);
20:20:49.301, 	1, 	2, 	24.2276, 	25.0238, 	1, 	4, 	3.04, 	(-0.619953,-0.19853);
20:20:49.321, 	1, 	2, 	27.5361, 	23.8309, 	1, 	-1.38778e-15, 	3.04, 	(0.268994,-0.347231);
20:20:49.341, 	1, 	2, 	28.2898, 	26.2132, 	1, 	-1.38778e-15, 	3.04, 	(0.198553,0.330292);
20:20:49.361, 	1, 	2, 	20.6898, 	24.4874, 	1, 	-1.38778e-15, 	3.04, 	(-0.72053,-0.118778);
20:20:49.381, 	1, 	2, 	23.6508, 	24.9477, 	1, 	-1.38778e-15, 	3.04, 	(0.618066,0.468582);
20:20:49.401, 	1, 	2, 	27.9798, 	25.6935, 	1, 	-1.38778e-15, 	3.04, 	(0.0180434,0.555307);
20:20:49.421, 	1, 	2, 	29.7009, 	26.1741, 	1, 	-1.38778e-15, 	3.04, 	(-0.812927,0.0391069);
20:20:49.443, 	1, 	2, 	20.6013, 	24.9396, 	1, 	-1.38778e-15, 	3.04, 	(-0.825939,-0.101189);
20:20:49.461, 	1, 	2, 	29.7809, 	25.11, 	1, 	-1.38778e-15, 	3.04, 	(0.320134,0.644004);
20:20:49.482, 	1, 	2, 	29.0058, 	21.393, 	1, 	-1.38778e-15, 	3.04, 	(0.316449,-0.390883);
20:20:49.502, 	1, 	2, 	28.2916, 	25.4481, 	1, 	-1.38778e-15, 	3.04, 	(-0.43857,0.342335);
20:20:49.522, 	1, 	2, 	19.9323, 	23.5969, 	1, 	-1.38778e-15, 	3.04, 	(-0.0449888,-0.917928);
20:20:49.542, 	1, 	2, 	30.0077, 	25.2908, 	1, 	-1.38778e-15, 	3.04, 	(-0.706132,-0.389745);
20:20:49.562, 	1, 	2, 	26.3046, 	25.9714, 	1, 	-1.38778e-15, 	3.04, 	(-0.605014,-0.691843);
20:20:49.582, 	1, 	2, 	28.8409, 	26.5564, 	1, 	-1.38778e-15, 	3.04, 	(-0.572119,-0.163164);
20:20:49.602, 	1, 	2, 	31.6425, 	25.7056, 	1, 	-1.38778e-15, 	3.04, 	(-0.627255,-0.641763);
20:20:49.623, 	1, 	2, 	22.4056, 	25.4447, 	1, 	-1.38778e-15, 	3.04, 	(0.941167,-0.378044);
20:20:49.642, 	1, 	2, 	31.1006, 	26.1925, 	1, 	-1.38778e-15, 	3.04, 	(0.559056,0.532578);
20:20:49.662, 	1, 	2, 	29.1103, 	26.7888, 	1, 	-1.38778e-15, 	3.04, 	(-1.02271,-0.0440179);
20:20:49.682, 	1, 	2, 	32.2577, 	25.2045, 	1, 	-1.38778e-15, 	3.04, 	(0.0572762,0.9904);
20:20:49.703, 	1, 	2, 	21.6285, 	22.4547, 	1, 	-1.38778e-15, 	3.04, 	(-0.259039,-0.775874);
20:20:49.722, 	1, 	2, 	30.6713, 	25.0646, 	1, 	-1.38778e-15, 	3.04, 	(-0.776006,-0.254175);
20:20:49.743, 	1, 	2, 	28.5988, 	26.967, 	1, 	-1.38778e-15, 	3.04, 	(0.613324,-0.83189);
20:20:49.763, 	1, 	2, 	30.1251, 	25.8483, 	1, 	-1.38778e-15, 	3.04, 	(0.528261,-0.20825);
20:20:49.783, 	1, 	2, 	31.1839, 	25.3863, 	1, 	-1.38778e-15, 	3.04, 	(-0.495518,0.794164);
