(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:54:05.884, 	1, 	2, 	21.0274, 	26.3212, 	1, 	40, 	3.04, 	(0.445115,-0.61749);
14:54:05.904, 	1, 	2, 	21.402, 	25.5297, 	1, 	36, 	3.04, 	(0.549994,0.463913);
14:54:05.924, 	1, 	2, 	19.083, 	25.1191, 	1, 	32, 	3.04, 	(0.10169,-0.80671);
14:54:05.944, 	1, 	2, 	21.2343, 	25.2007, 	1, 	28, 	3.04, 	(-0.492244,-0.208736);
14:54:05.964, 	1, 	2, 	21.2709, 	25.6649, 	1, 	24, 	3.04, 	(0.368072,-0.645102);
14:54:05.984, 	1, 	2, 	19.5856, 	24.8908, 	1, 	20, 	3.04, 	(0.79681,-0.0205992);
14:54:06.004, 	1, 	2, 	23.2375, 	24.8133, 	1, 	16, 	3.04, 	(-0.0758385,-0.582724);
14:54:06.024, 	1, 	2, 	21.8658, 	20.2465, 	1, 	12, 	3.04, 	(-0.471037,0.171533);
14:54:06.045, 	1, 	2, 	23.061, 	26.1057, 	1, 	8, 	3.04, 	(0.174985,-0.667619);
14:54:06.064, 	1, 	2, 	22.9214, 	25.8414, 	1, 	4, 	3.04, 	(0.604444,-0.137489);
14:54:06.085, 	1, 	2, 	22.9956, 	25.7692, 	1, 	4, 	3.04, 	(-0.508442,-0.0732419);
14:54:06.105, 	1, 	2, 	24.3976, 	25.883, 	1, 	-1.249e-14, 	3.04, 	(0.361099,0.652783);
14:54:06.125, 	1, 	2, 	20.1022, 	24.6543, 	1, 	-1.249e-14, 	3.04, 	(-0.428476,-0.680971);
14:54:06.145, 	1, 	2, 	23.8925, 	25.5072, 	1, 	-1.249e-14, 	3.04, 	(-0.499206,0.622119);
14:54:06.166, 	1, 	2, 	23.5556, 	26.5542, 	1, 	-1.249e-14, 	3.04, 	(-0.764548,-0.121426);
14:54:06.190, 	1, 	2, 	23.83, 	26.059, 	1, 	-1.249e-14, 	3.04, 	(0.502131,-0.241451);
14:54:06.206, 	1, 	2, 	24.2172, 	25.0474, 	1, 	-1.249e-14, 	3.04, 	(-0.588348,-0.161026);
14:54:06.226, 	1, 	2, 	24.4115, 	26.5137, 	1, 	-1.249e-14, 	3.04, 	(0.656319,-0.457504);
14:54:06.246, 	1, 	2, 	25.4332, 	25.1952, 	1, 	-1.249e-14, 	3.04, 	(-0.409897,0.63941);
14:54:06.267, 	1, 	2, 	25.2063, 	26.1606, 	1, 	-1.249e-14, 	3.04, 	(-0.575593,-0.270916);
14:54:06.287, 	1, 	2, 	24.7351, 	26.3124, 	1, 	-1.249e-14, 	3.04, 	(-0.302973,-0.460482);
14:54:06.306, 	1, 	2, 	25.4315, 	25.234, 	1, 	-1.249e-14, 	3.04, 	(0.178542,0.372779);
14:54:06.327, 	1, 	2, 	24.9039, 	25.8422, 	1, 	-1.249e-14, 	3.04, 	(-0.0402712,-0.696888);
14:54:06.347, 	1, 	2, 	25.6738, 	25.596, 	1, 	-1.249e-14, 	3.04, 	(0.42614,0.416464);
14:54:06.367, 	1, 	2, 	25.8013, 	26.7983, 	1, 	-1.249e-14, 	3.04, 	(-0.621438,0.480605);
14:54:06.387, 	1, 	2, 	25.2185, 	24.8309, 	1, 	-1.249e-14, 	3.04, 	(-0.69144,-0.185462);
14:54:06.407, 	1, 	2, 	22.4358, 	25.8971, 	1, 	-1.249e-14, 	3.04, 	(0.737875,0.398114);
14:54:06.428, 	1, 	2, 	25.7136, 	26.7801, 	1, 	-1.249e-14, 	3.04, 	(-0.815096,-0.143531);
14:54:06.447, 	1, 	2, 	19.2443, 	23.7432, 	1, 	-1.249e-14, 	3.04, 	(0.528916,0.615611);
14:54:06.468, 	1, 	2, 	21.7151, 	25.3081, 	1, 	-1.249e-14, 	3.04, 	(0.440123,-0.62036);
14:54:06.488, 	1, 	2, 	25.9043, 	25.3226, 	1, 	-1.249e-14, 	3.04, 	(0.540082,0.162028);
14:54:06.508, 	1, 	2, 	27.3611, 	25.1662, 	1, 	-1.249e-14, 	3.04, 	(0.732167,0.226074);
14:54:06.528, 	1, 	2, 	20.9266, 	24.7506, 	1, 	-1.249e-14, 	3.04, 	(0.464218,0.712528);
14:54:06.549, 	1, 	2, 	24.7967, 	26.1847, 	1, 	-1.249e-14, 	3.04, 	(-0.469104,0.279475);
14:54:06.569, 	1, 	2, 	27.1447, 	26.6231, 	1, 	-1.249e-14, 	3.04, 	(0.70238,-0.371361);
14:54:06.588, 	1, 	2, 	19.469, 	24.744, 	1, 	-1.249e-14, 	3.04, 	(0.254288,-0.755278);
14:54:06.609, 	1, 	2, 	26.4466, 	25.7536, 	1, 	-1.249e-14, 	3.04, 	(-0.641661,0.00235984);
14:54:06.629, 	1, 	2, 	25.3671, 	26.9099, 	1, 	-1.249e-14, 	3.04, 	(0.282439,0.760386);
14:54:06.649, 	1, 	2, 	28.4052, 	25.4945, 	1, 	-1.249e-14, 	3.04, 	(-0.0855802,-0.801934);
14:54:06.669, 	1, 	2, 	26.5119, 	25.3552, 	1, 	-1.249e-14, 	3.04, 	(0.430085,-0.575145);
14:54:06.689, 	1, 	2, 	26.419, 	26.5356, 	1, 	-1.249e-14, 	3.04, 	(0.502758,0.245616);
14:54:06.710, 	1, 	2, 	27.2027, 	26.1757, 	1, 	-1.249e-14, 	3.04, 	(0.725765,0.360781);
14:54:06.730, 	1, 	2, 	21.1331, 	24.7211, 	1, 	-1.249e-14, 	3.04, 	(0.86231,-0.120631);
14:54:06.750, 	1, 	2, 	25.8226, 	26.1173, 	1, 	-1.249e-14, 	3.04, 	(-0.58571,0.670181);
14:54:06.770, 	1, 	2, 	26.6705, 	26.4478, 	1, 	-1.249e-14, 	3.04, 	(-0.388766,0.362571);
14:54:06.790, 	1, 	2, 	27.9918, 	25.1353, 	1, 	-1.249e-14, 	3.04, 	(-0.565997,-0.570462);
14:54:06.810, 	1, 	2, 	26.9797, 	25.2857, 	1, 	-1.249e-14, 	3.04, 	(0.0976303,-0.689166);
14:54:06.830, 	1, 	2, 	25.5322, 	26.2468, 	1, 	-1.249e-14, 	3.04, 	(-0.777299,0.428601);
14:54:06.851, 	1, 	2, 	27.2441, 	25.6916, 	1, 	-1.249e-14, 	3.04, 	(-0.409657,-0.199465);
14:54:06.870, 	1, 	2, 	28.266, 	25.5985, 	1, 	-1.249e-14, 	3.04, 	(-0.743364,0.15577);
14:54:06.891, 	1, 	2, 	25.3961, 	25.5819, 	1, 	-1.249e-14, 	3.04, 	(-0.817398,0.39687);
14:54:06.911, 	1, 	2, 	28.5336, 	26.0938, 	1, 	-1.249e-14, 	3.04, 	(-0.619545,0.549083);
14:54:06.931, 	1, 	2, 	29.7852, 	25.7084, 	1, 	-1.249e-14, 	3.04, 	(0.12183,0.791238);
14:54:06.951, 	1, 	2, 	28.028, 	25.6497, 	1, 	-1.249e-14, 	3.04, 	(0.0384646,0.676944);
14:54:06.971, 	1, 	2, 	28.1612, 	25.8461, 	1, 	-1.249e-14, 	3.04, 	(-0.225078,0.520362);
14:54:06.992, 	1, 	2, 	19.3768, 	23.7399, 	1, 	-1.249e-14, 	3.04, 	(0.70653,0.465033);
14:54:07.012, 	1, 	2, 	22.8206, 	25.6681, 	1, 	-1.249e-14, 	3.04, 	(-0.641831,-0.605362);
14:54:07.032, 	1, 	2, 	28.0113, 	25.1682, 	1, 	-1.249e-14, 	3.04, 	(-0.621319,-0.0139721);
14:54:07.052, 	1, 	2, 	29.4204, 	25.9587, 	1, 	-1.249e-14, 	3.04, 	(0.85182,-0.057151);
14:54:07.072, 	1, 	2, 	21.9476, 	24.6396, 	1, 	-1.249e-14, 	3.04, 	(-0.0871508,0.906793);
14:54:07.092, 	1, 	2, 	25.4797, 	26.6684, 	1, 	-1.249e-14, 	3.04, 	(0.922425,0.164005);
14:54:07.112, 	1, 	2, 	29.4671, 	27.0022, 	1, 	-1.249e-14, 	3.04, 	(0.920937,-0.0510394);
14:54:07.135, 	1, 	2, 	29.8952, 	26.0187, 	1, 	-1.249e-14, 	3.04, 	(-0.253746,0.777709);
14:54:07.153, 	1, 	2, 	28.3716, 	25.7865, 	1, 	-1.249e-14, 	3.04, 	(0.291629,-0.665612);
14:54:07.173, 	1, 	2, 	28.8083, 	25.6816, 	1, 	-1.249e-14, 	3.04, 	(0.569906,-0.148807);
14:54:07.197, 	1, 	2, 	24.8782, 	26.7361, 	1, 	-1.249e-14, 	3.04, 	(0.95477,-0.0921961);
14:54:07.213, 	1, 	2, 	29.7969, 	26.7361, 	1, 	-1.249e-14, 	3.04, 	(0.95477,-0.0921961);
14:54:07.235, 	1, 	2, 	26.3745, 	26.4211, 	1, 	-1.249e-14, 	3.04, 	(0.537194,0.79076);
14:54:07.254, 	1, 	2, 	28.0918, 	25.9418, 	1, 	-1.249e-14, 	3.04, 	(-0.525669,0.0662607);
14:54:07.274, 	1, 	2, 	21.4225, 	24.8905, 	1, 	-1.249e-14, 	3.04, 	(0.427147,0.762);
14:54:07.294, 	1, 	2, 	29.6328, 	25.7608, 	1, 	-1.249e-14, 	3.04, 	(0.499129,0.497068);
14:54:07.314, 	1, 	2, 	28.6267, 	26.2089, 	1, 	-1.249e-14, 	3.04, 	(0.6027,-0.698211);
