(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:19:17.193, 	1, 	2, 	23.3494, 	24.688, 	1, 	-1.38778e-15, 	3.04, 	(0.233625,-0.739576);
14:19:17.214, 	1, 	2, 	25.1477, 	24.7759, 	1, 	-1.38778e-15, 	3.04, 	(-0.474249,-0.0768745);
14:19:17.233, 	1, 	2, 	19.9598, 	23.8707, 	1, 	-1.38778e-15, 	3.04, 	(0.493385,-0.573547);
14:19:17.253, 	1, 	2, 	24.5651, 	25.1584, 	1, 	-1.38778e-15, 	3.04, 	(0.425741,-0.451005);
14:19:17.274, 	1, 	2, 	22.8564, 	25.5083, 	1, 	-1.38778e-15, 	3.04, 	(0.340812,-0.671459);
14:19:17.294, 	1, 	2, 	24.499, 	25.7719, 	1, 	-1.38778e-15, 	3.04, 	(0.523288,0.490099);
14:19:17.314, 	1, 	2, 	20.3543, 	18.3889, 	1, 	-1.38778e-15, 	3.04, 	(0.38104,0.118442);
14:19:17.334, 	1, 	2, 	22.813, 	18.3687, 	1, 	-1.38778e-15, 	3.04, 	(0.413127,0.00447841);
14:19:17.354, 	1, 	2, 	17.4576, 	21.2077, 	1, 	-1.38778e-15, 	3.04, 	(0.212567,-0.652029);
14:19:17.375, 	1, 	2, 	20.3078, 	24.1802, 	1, 	-1.38778e-15, 	3.04, 	(-0.580357,0.469893);
14:19:17.395, 	1, 	2, 	22.2013, 	24.195, 	1, 	-1.38778e-15, 	3.04, 	(-0.749863,-0.248778);
14:19:17.415, 	1, 	2, 	23.649, 	25.7965, 	1, 	-1.38778e-15, 	3.04, 	(0.280291,0.721764);
14:19:17.435, 	1, 	2, 	23.5798, 	25.6243, 	1, 	-1.38778e-15, 	3.04, 	(0.038856,0.74388);
14:19:17.455, 	1, 	2, 	21.3358, 	24.6132, 	1, 	-1.38778e-15, 	3.04, 	(0.375422,0.672585);
14:19:17.475, 	1, 	2, 	23.7919, 	24.3218, 	1, 	-1.38778e-15, 	3.04, 	(0.610078,-0.181535);
14:19:17.495, 	1, 	2, 	23.302, 	25.9142, 	1, 	-1.38778e-15, 	3.04, 	(0.427157,0.662937);
14:19:17.516, 	1, 	2, 	18.7897, 	23.0299, 	1, 	-1.38778e-15, 	3.04, 	(-0.710426,0.188967);
14:19:17.536, 	1, 	2, 	20.8122, 	24.3062, 	1, 	-1.38778e-15, 	3.04, 	(-0.471487,-0.603227);
14:19:17.556, 	1, 	2, 	24.7404, 	25.0582, 	1, 	-1.38778e-15, 	3.04, 	(-0.106053,-0.572025);
14:19:17.576, 	1, 	2, 	25.6584, 	25.97, 	1, 	-1.38778e-15, 	3.04, 	(-0.736192,0.196465);
14:19:17.596, 	1, 	2, 	20.448, 	25.97, 	1, 	-1.38778e-15, 	3.04, 	(-0.736192,0.196465);
14:19:17.617, 	1, 	2, 	25.739, 	24.2905, 	1, 	-1.38778e-15, 	3.04, 	(-0.593939,-0.243721);
14:19:17.637, 	1, 	2, 	25.2986, 	25.7742, 	1, 	-1.38778e-15, 	3.04, 	(-0.0779636,0.53591);
14:19:17.657, 	1, 	2, 	25.9141, 	24.8675, 	1, 	-1.38778e-15, 	3.04, 	(-0.177027,0.734734);
14:19:17.681, 	1, 	2, 	24.2784, 	25.2499, 	1, 	-1.38778e-15, 	3.04, 	(0.504844,0.153511);
14:19:17.697, 	1, 	2, 	26.5462, 	24.9986, 	1, 	-1.38778e-15, 	3.04, 	(-0.17231,0.546705);
14:19:17.717, 	1, 	2, 	18.5659, 	21.6386, 	1, 	-1.38778e-15, 	3.04, 	(-0.544954,0.426979);
14:19:17.738, 	1, 	2, 	24.8423, 	25.6461, 	1, 	-1.38778e-15, 	3.04, 	(0.546732,0.434433);
14:19:17.758, 	1, 	2, 	22.0756, 	25.2606, 	1, 	-1.38778e-15, 	3.04, 	(-0.704099,0.31118);
14:19:17.778, 	1, 	2, 	24.4893, 	25.8397, 	1, 	-1.38778e-15, 	3.04, 	(0.347118,-0.675023);
14:19:17.798, 	1, 	2, 	25.8714, 	25.5668, 	1, 	-1.38778e-15, 	3.04, 	(0.0758111,0.719414);
14:19:17.818, 	1, 	2, 	24.3293, 	25.7211, 	1, 	-1.38778e-15, 	3.04, 	(0.298128,-0.590247);
14:19:17.838, 	1, 	2, 	23.6523, 	25.893, 	1, 	-1.38778e-15, 	3.04, 	(0.573096,0.0678889);
14:19:17.858, 	1, 	2, 	25.1472, 	26.014, 	1, 	-1.38778e-15, 	3.04, 	(-0.704086,0.266342);
14:19:17.879, 	1, 	2, 	21.3437, 	23.846, 	1, 	-1.38778e-15, 	3.04, 	(-0.692972,-0.266564);
14:19:17.899, 	1, 	2, 	21.9696, 	25.456, 	1, 	-1.38778e-15, 	3.04, 	(-0.374531,-0.671423);
14:19:17.919, 	0, 	2, 	25.3279, 	17.9253, 	1, 	-1.38778e-15, 	3.04, 	(0.18659,-0.0693641);
14:19:17.939, 	1, 	2, 	18.9271, 	23.3082, 	1, 	4, 	2.736, 	(-0.33671,-0.618198);
14:19:17.953, 	1, 	1, 	24.6974, 	15.5574, 	0, 	4, 	2.432, 	(1.07548,0.73761);(0.289656,-1.54842);(-0.891512,0.766473);(1.2395,-0.30744);
14:19:17.980, 	1, 	2, 	22.9897, 	25.6952, 	1, 	4, 	2.432, 	(0.768956,-0.238634);
14:19:17.999, 	1, 	2, 	24.9535, 	26.5121, 	1, 	4, 	2.432, 	(0.464366,0.656301);
14:19:18.020, 	1, 	2, 	19.1892, 	23.569, 	1, 	4, 	2.432, 	(-0.749806,0.0354605);
14:19:18.040, 	1, 	2, 	26.6634, 	25.5885, 	1, 	4, 	2.432, 	(0.167331,-0.674244);
14:19:18.060, 	1, 	2, 	25.6861, 	25.6106, 	1, 	4, 	2.432, 	(-0.474134,-0.326653);
14:19:18.080, 	1, 	2, 	25.6991, 	24.2394, 	1, 	4, 	2.432, 	(-0.172048,-0.43121);
14:19:18.101, 	1, 	2, 	20.1041, 	23.7458, 	1, 	4, 	2.432, 	(0.273481,-0.705231);
14:19:18.121, 	1, 	2, 	26.823, 	24.7295, 	1, 	4, 	2.736, 	(-0.608974,-0.163022);
14:19:18.141, 	1, 	2, 	24.186, 	25.6674, 	1, 	4, 	2.736, 	(-0.633533,0.460387);
14:19:18.161, 	1, 	2, 	26.146, 	26.012, 	1, 	4, 	3.04, 	(-0.683253,0.31767);
14:19:18.181, 	1, 	2, 	25.1627, 	24.961, 	1, 	4, 	3.04, 	(0.393206,-0.557447);
14:19:18.201, 	1, 	2, 	24.4442, 	24.551, 	1, 	4, 	3.04, 	(-0.456966,-0.36544);
14:19:18.222, 	1, 	2, 	25.7743, 	25.6608, 	1, 	4, 	3.04, 	(0.763332,-0.0652035);
14:19:18.242, 	1, 	2, 	20.6687, 	17.5231, 	1, 	4, 	3.04, 	(-0.104099,0.150431);
14:19:18.262, 	1, 	2, 	23.112, 	25.7679, 	1, 	4, 	3.04, 	(-0.677902,0.397833);
14:19:18.282, 	1, 	2, 	24.5696, 	25.8888, 	1, 	4, 	3.04, 	(0.0600241,-0.772866);
14:19:18.303, 	1, 	2, 	25.6516, 	25.8422, 	1, 	4, 	3.04, 	(-0.577531,-0.470373);
14:19:18.322, 	1, 	2, 	24.6124, 	25.0851, 	1, 	4, 	3.04, 	(-0.428147,-0.54979);
