(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:10:11.029, 	1, 	2, 	21.0711, 	25.2717, 	1, 	-1.38778e-15, 	3.04, 	(0.33376,-0.456439);
18:10:11.049, 	1, 	2, 	20.1946, 	25.3111, 	1, 	-1.38778e-15, 	3.04, 	(0.4172,-0.281646);
18:10:11.070, 	1, 	2, 	16.7442, 	21.583, 	1, 	-1.38778e-15, 	3.04, 	(-0.602442,-0.0105567);
18:10:11.090, 	1, 	2, 	18.3564, 	23.8924, 	1, 	-1.38778e-15, 	3.04, 	(-0.272259,0.589042);
18:10:11.110, 	1, 	2, 	19.8172, 	24.3338, 	1, 	-1.38778e-15, 	3.04, 	(-0.282932,0.480479);
18:10:11.133, 	1, 	2, 	21.607, 	25.2029, 	1, 	-1.38778e-15, 	3.04, 	(0.175265,0.621712);
18:10:11.150, 	1, 	2, 	21.0691, 	25.7376, 	1, 	-1.38778e-15, 	3.04, 	(0.423521,-0.071321);
18:10:11.170, 	1, 	2, 	21.6832, 	24.3219, 	1, 	-1.38778e-15, 	3.04, 	(-0.0825706,0.625111);
18:10:11.191, 	1, 	2, 	21.8485, 	24.8384, 	1, 	-1.38778e-15, 	3.04, 	(0.133987,0.565692);
18:10:11.210, 	1, 	2, 	22.1967, 	24.5635, 	1, 	-1.38778e-15, 	3.04, 	(0.157492,-0.493887);
18:10:11.231, 	1, 	2, 	24.127, 	16.9941, 	1, 	-1.38778e-15, 	3.04, 	(-0.0385824,-0.0757168);
18:10:11.251, 	1, 	2, 	18.0388, 	22.846, 	1, 	-1.38778e-15, 	3.04, 	(-0.415823,-0.47723);
18:10:11.271, 	1, 	2, 	22.9856, 	25.4749, 	1, 	-1.38778e-15, 	3.04, 	(-0.0783826,0.57608);
18:10:11.291, 	1, 	2, 	23.1578, 	24.8348, 	1, 	-1.38778e-15, 	3.04, 	(-0.478576,-0.22246);
18:10:11.312, 	1, 	2, 	22.4455, 	18.9279, 	1, 	-1.38778e-15, 	3.04, 	(-0.291839,0.0483655);
18:10:11.332, 	1, 	2, 	17.8059, 	21.6157, 	1, 	-1.38778e-15, 	3.04, 	(-0.631689,0.0435488);
18:10:11.352, 	1, 	2, 	22.05, 	25.1857, 	1, 	-1.38778e-15, 	3.04, 	(0.279317,-0.563772);
18:10:11.372, 	1, 	2, 	21.7318, 	23.6492, 	1, 	-1.38778e-15, 	3.04, 	(0.118877,-0.532482);
18:10:11.392, 	1, 	2, 	21.4195, 	24.2189, 	1, 	-1.38778e-15, 	3.04, 	(-0.614172,0.312859);
18:10:11.412, 	1, 	2, 	17.7471, 	21.2129, 	1, 	-1.38778e-15, 	3.04, 	(-0.48311,-0.398905);
18:10:11.434, 	1, 	2, 	20.7877, 	24.3724, 	1, 	-1.38778e-15, 	3.04, 	(0.360419,-0.580555);
18:10:11.453, 	1, 	2, 	20.791, 	24.4865, 	1, 	-1.38778e-15, 	3.04, 	(0.335224,-0.646208);
18:10:11.473, 	1, 	2, 	22.333, 	24.9739, 	1, 	-1.38778e-15, 	3.04, 	(-0.522189,0.18506);
18:10:11.493, 	1, 	2, 	21.8138, 	25.5238, 	1, 	-1.38778e-15, 	3.04, 	(0.0506905,0.46759);
18:10:11.513, 	1, 	2, 	17.5408, 	22.524, 	1, 	-1.38778e-15, 	3.04, 	(0.421183,-0.541774);
18:10:11.533, 	1, 	2, 	23.2295, 	25.1124, 	1, 	-1.38778e-15, 	3.04, 	(-0.421674,-0.500572);
18:10:11.554, 	1, 	2, 	23.6453, 	25.5728, 	1, 	-1.38778e-15, 	3.04, 	(-0.532756,-0.224731);
18:10:11.574, 	1, 	2, 	21.8371, 	24.5938, 	1, 	-1.38778e-15, 	3.04, 	(-0.485382,-0.0896008);
18:10:11.594, 	1, 	2, 	18.6553, 	21.9159, 	1, 	-1.38778e-15, 	3.04, 	(-0.654585,0.0998991);
18:10:11.614, 	1, 	2, 	24.7167, 	21.334, 	1, 	-1.38778e-15, 	3.04, 	(0.0287751,-0.51538);
18:10:11.634, 	1, 	2, 	24.4999, 	24.374, 	1, 	-1.38778e-15, 	3.04, 	(-0.536667,-0.0919571);
18:10:11.654, 	1, 	2, 	23.0096, 	25.0494, 	1, 	-1.38778e-15, 	3.04, 	(0.324502,-0.390085);
18:10:11.674, 	1, 	2, 	23.8183, 	25.3513, 	1, 	-1.38778e-15, 	3.04, 	(0.261848,0.665687);
18:10:11.694, 	1, 	2, 	23.541, 	26.4884, 	1, 	-1.38778e-15, 	3.04, 	(0.506511,0.43965);
18:10:11.715, 	1, 	2, 	23.0104, 	25.3746, 	1, 	-1.38778e-15, 	3.04, 	(-0.482713,-0.364968);
18:10:11.735, 	1, 	2, 	23.1815, 	25.1033, 	1, 	-1.38778e-15, 	3.04, 	(0.349354,-0.391989);
18:10:11.755, 	1, 	2, 	21.6473, 	26.2352, 	1, 	-1.38778e-15, 	3.04, 	(-0.707938,0.0999078);
