(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:13:41.851, 	1, 	1, 	14.3372, 	7.94587, 	0, 	40, 	1.216, 	(0.609,-0.786512);(-1.06802,0.879352);(0.563874,-1.49237);(0.571758,1.27757);
19:13:41.866, 	1, 	1, 	15.5558, 	7.43526, 	0, 	36, 	0.912, 	(0.906351,0.107347);(-1.19219,-0.463516);(1.63017,-0.244664);(-0.842903,1.11728);
19:13:41.896, 	1, 	2, 	13.3083, 	19.4597, 	1, 	32, 	1.216, 	(0.251583,-0.44074);
19:13:41.910, 	0, 	1, 	15.7587, 	9.17915, 	1, 	32, 	1.216, 	(-0.588995,-0.631972);(0.574978,1.14334);(-1.40957,-0.89122);(1.3928,-0.286854);
19:13:41.926, 	0, 	1, 	15.115, 	13.0203, 	0, 	36, 	0.912, 	(-0.535354,1.06567);(0.741162,-1.30498);(0.0642525,1.39618);(-0.794746,-0.855941);
19:13:41.966, 	0, 	1, 	15.1155, 	8.56279, 	0, 	40, 	0.912, 	(-0.419412,-0.24203);(0.48035,0.534006);(-1.43875,-0.440718);(1.07692,-0.570404);
19:13:41.986, 	0, 	1, 	14.6383, 	10.9118, 	0, 	44, 	0.912, 	(0.513128,0.973098);(-0.478835,-1.47709);(1.27777,0.930588);(-1.27908,0.134821);
19:13:42.007, 	1, 	2, 	15.3604, 	22.3702, 	1, 	48, 	0.912, 	(0.57183,0.23641);
19:13:42.028, 	1, 	1, 	15.6881, 	9.69338, 	0, 	44, 	0.912, 	(-0.838153,-0.754657);(1.06868,1.17138);(-1.22903,-0.216882);(0.890063,-0.486676);
19:13:42.047, 	1, 	2, 	14.3292, 	20.0039, 	1, 	44, 	0.912, 	(-0.449868,-0.178566);
19:13:42.067, 	1, 	2, 	15.7064, 	24.687, 	1, 	44, 	1.216, 	(-0.462675,-0.476615);
19:13:42.094, 	1, 	1, 	15.6106, 	9.5479, 	0, 	40, 	1.216, 	(0.13862,-0.66458);(-0.343801,0.899749);(-0.34671,-1.64026);(1.09945,0.866501);
19:13:42.109, 	1, 	2, 	15.9973, 	23.9407, 	1, 	40, 	1.216, 	(0.542525,-0.387516);
