(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);

 NEW RECORD - 08-21-2023 19:10:44time, CRC, type, snr, data_snr, reward, per_val, Throughput
19:10:46.446, 	0, 	2, 	22.7329, 	10.1576, 	0, 	52, 	0, 	(0.117204,0.0616371);
19:10:46.496, 	1, 	1, 	22.3031, 	14.0861, 	0, 	52, 	0, 	(0.546721,0.819387);(-1.38959,-1.60655);(2.58278,0.748385);(-1.97299,-0.182604);
19:10:46.547, 	0, 	2, 	25.7474, 	14.043, 	0, 	52, 	0, 	(0.0920535,-0.0263155);
19:10:46.596, 	1, 	1, 	24.8095, 	16.008, 	0, 	52, 	0, 	(-0.860016,0.919285);(1.17804,-2.18208);(0.253028,1.70815);(-0.373772,-1.26827);
19:10:46.646, 	0, 	2, 	24.1286, 	13.5944, 	0, 	52, 	0, 	(0.0790038,0.0371968);
19:10:46.696, 	1, 	1, 	23.5992, 	14.1776, 	0, 	52, 	0, 	(1.21521,-0.336831);(-1.94613,1.27201);(0.490108,-1.40036);(-0.263132,1.07218);
19:10:46.746, 	0, 	2, 	19.2484, 	13.3245, 	0, 	52, 	0, 	(-0.00693826,0.008135);
19:10:46.809, 	1, 	1, 	22.5578, 	13.4001, 	0, 	52, 	0, 	(-1.22247,0.0607946);(2.4531,-0.576572);(-1.64079,1.83557);(0.9875,-1.53411);
19:10:46.896, 	1, 	1, 	23.7969, 	13.5766, 	0, 	48, 	0, 	(-1.29247,0.434636);(2.00568,-1.45366);(-0.794497,2.20066);(0.351379,-1.66728);
19:10:46.946, 	0, 	2, 	23.5931, 	15.2046, 	0, 	48, 	0, 	(0.106674,-0.0576718);
19:10:46.997, 	1, 	1, 	22.4161, 	14.9496, 	0, 	48, 	0, 	(-0.690959,-0.615329);(1.65064,1.10558);(-2.69245,-0.0923843);(1.95636,-0.284896);
19:10:47.047, 	0, 	2, 	22.032, 	13.9773, 	0, 	48, 	0, 	(-0.0718193,-0.0241512);
19:10:47.097, 	1, 	1, 	21.1423, 	13.5081, 	0, 	48, 	0, 	(-1.02261,-0.454655);(2.07366,0.308226);(-2.49954,1.0603);(1.67144,-1.05227);
19:10:47.147, 	0, 	2, 	23.3108, 	15.0907, 	0, 	48, 	0, 	(0.128083,-0.0191944);
19:10:47.248, 	0, 	2, 	18.14, 	11.8732, 	0, 	48, 	0, 	(0.00363897,-0.0526107);
19:10:53.566, 	1, 	1, 	23.7137, 	14.2391, 	0, 	48, 	0, 	(1.11553,-0.00989837);(-2.05805,0.604976);(0.63079,-0.863472);(-0.42498,0.721813);
19:10:53.609, 	1, 	1, 	23.2238, 	13.6887, 	0, 	48, 	0, 	(-0.38464,1.21401);(0.11619,-2.46621);(0.957583,1.4483);(-0.853032,-0.997825);
19:10:53.659, 	1, 	1, 	23.9288, 	12.9891, 	0, 	44, 	0, 	(1.07302,0.710991);(-2.38745,-0.854097);(2.17453,-0.602816);(-1.53788,0.657557);
