(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:52:57.049, 	1, 	2, 	24.3394, 	25.2795, 	1, 	-1.249e-14, 	3.04, 	(-0.399766,-0.661034);
14:52:57.069, 	1, 	2, 	19.8177, 	22.5192, 	1, 	-1.249e-14, 	3.04, 	(0.618191,0.364577);
14:52:57.089, 	1, 	2, 	24.1149, 	16.6446, 	1, 	-1.249e-14, 	3.04, 	(-0.187113,-0.232868);
14:52:57.109, 	1, 	2, 	25.4602, 	20.0788, 	1, 	-1.249e-14, 	3.04, 	(0.112181,0.391327);
14:52:57.129, 	1, 	2, 	27.0534, 	25.828, 	1, 	-1.249e-14, 	3.04, 	(-0.0628501,0.767774);
14:52:57.149, 	1, 	2, 	20.9389, 	23.9343, 	1, 	-1.249e-14, 	3.04, 	(0.345032,-0.685213);
14:52:57.170, 	1, 	2, 	24.1979, 	25.7347, 	1, 	-1.249e-14, 	3.04, 	(0.604966,-0.512114);
14:52:57.190, 	1, 	2, 	26.2353, 	26.5571, 	1, 	-1.249e-14, 	3.04, 	(0.781018,-0.0873138);
14:52:57.210, 	1, 	2, 	19.7852, 	23.9398, 	1, 	-1.249e-14, 	3.04, 	(0.733163,-0.237755);
14:52:57.230, 	1, 	2, 	26.2849, 	25.5901, 	1, 	-1.249e-14, 	3.04, 	(-0.657384,-0.0366465);
14:52:57.251, 	1, 	2, 	25.7039, 	26.5388, 	1, 	-1.249e-14, 	3.04, 	(0.786063,-0.241659);
14:52:57.270, 	1, 	2, 	19.0947, 	22.6678, 	1, 	-1.249e-14, 	3.04, 	(0.630376,-0.419273);
14:52:57.291, 	1, 	2, 	21.3112, 	25.5002, 	1, 	-1.249e-14, 	3.04, 	(0.769002,-0.231681);
14:52:57.311, 	1, 	2, 	24.4895, 	26.4277, 	1, 	-1.249e-14, 	3.04, 	(-0.623799,0.562518);
14:52:57.331, 	1, 	2, 	25.4845, 	25.8334, 	1, 	-1.249e-14, 	3.04, 	(-0.513168,-0.0660599);
14:52:57.351, 	1, 	2, 	20.4616, 	23.2624, 	1, 	-1.249e-14, 	3.04, 	(-0.224562,0.789773);
14:52:57.371, 	1, 	2, 	27.6546, 	26.06, 	1, 	-1.249e-14, 	3.04, 	(0.240447,0.660427);
14:52:57.391, 	1, 	2, 	26.4643, 	26.2459, 	1, 	-1.249e-14, 	3.04, 	(0.580757,0.549755);
14:52:57.411, 	1, 	2, 	26.7747, 	27.1138, 	1, 	-1.249e-14, 	3.04, 	(0.781941,0.190307);
14:52:57.431, 	1, 	2, 	22.6627, 	25.4261, 	1, 	-1.249e-14, 	3.04, 	(0.70245,-0.412668);
14:52:57.452, 	1, 	2, 	27.3044, 	25.802, 	1, 	-1.249e-14, 	3.04, 	(-0.782304,-0.30687);
14:52:57.472, 	1, 	2, 	27.8985, 	26.1965, 	1, 	-1.249e-14, 	3.04, 	(0.082156,-0.798178);
14:52:57.492, 	1, 	2, 	21.6248, 	24.4555, 	1, 	-1.249e-14, 	3.04, 	(0.331159,-0.757716);
14:52:57.512, 	1, 	2, 	27.6, 	24.5454, 	1, 	-1.249e-14, 	3.04, 	(0.399573,0.535448);
14:52:57.533, 	1, 	2, 	26.9546, 	25.5476, 	1, 	-1.249e-14, 	3.04, 	(-0.224666,0.846358);
14:52:57.553, 	1, 	2, 	20.6299, 	23.9769, 	1, 	-1.249e-14, 	3.04, 	(-0.826624,0.183264);
14:52:57.573, 	1, 	2, 	28.1592, 	25.1736, 	1, 	-1.249e-14, 	3.04, 	(0.440645,0.534342);
14:52:57.593, 	1, 	2, 	26.7714, 	26.2429, 	1, 	-1.249e-14, 	3.04, 	(0.682715,0.512784);
14:52:57.613, 	1, 	2, 	29.7918, 	25.9278, 	1, 	-1.249e-14, 	3.04, 	(-0.809026,0.204945);
14:52:57.633, 	1, 	2, 	22.0436, 	24.6356, 	1, 	-1.249e-14, 	3.04, 	(0.471634,-0.718956);
14:52:57.653, 	1, 	2, 	27.5041, 	26.664, 	1, 	-1.249e-14, 	3.04, 	(-0.499072,0.429085);
14:52:57.673, 	1, 	2, 	28.5019, 	25.8455, 	1, 	-1.249e-14, 	3.04, 	(0.473947,0.694044);
14:52:57.694, 	1, 	2, 	28.9655, 	25.9912, 	1, 	-1.249e-14, 	3.04, 	(0.54233,-0.603652);
14:52:57.714, 	1, 	2, 	24.3404, 	25.484, 	1, 	-1.249e-14, 	3.04, 	(-0.171649,0.883676);
14:52:57.736, 	1, 	2, 	28.6584, 	26.1319, 	1, 	-1.249e-14, 	3.04, 	(-0.285024,-0.514576);
14:52:57.754, 	1, 	2, 	20.1189, 	23.455, 	1, 	-1.249e-14, 	3.04, 	(-0.798755,-0.40859);
14:52:57.774, 	1, 	2, 	28.61, 	26.2734, 	1, 	-1.249e-14, 	3.04, 	(-0.701274,-0.39325);
