(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:39:40.490, 	1, 	2, 	26.2844, 	22.5857, 	1, 	-1.38778e-15, 	1.824, 	(-0.256055,0.302458);
14:39:40.503, 	1, 	1, 	23.7982, 	17.4565, 	0, 	-1.38778e-15, 	1.52, 	(1.00613,-0.23754);(-0.431015,-1.43727);(-0.633424,1.86465);(1.36761,-1.63361);
14:39:40.531, 	1, 	2, 	23.3775, 	21.124, 	1, 	-1.38778e-15, 	1.824, 	(0.431718,-0.106602);
14:39:40.551, 	1, 	2, 	25.2543, 	22.8846, 	1, 	-1.38778e-15, 	2.128, 	(-0.0184297,-0.285208);
14:39:40.563, 	1, 	1, 	25.0916, 	16.8673, 	0, 	-1.38778e-15, 	1.824, 	(0.93601,0.655692);(0.521245,-1.58889);(-1.27966,0.917629);(1.67419,-0.317078);
14:39:40.591, 	1, 	2, 	25.1829, 	23.4793, 	1, 	-1.38778e-15, 	2.128, 	(-0.342246,-0.035085);
14:39:40.611, 	1, 	2, 	24.3083, 	21.4909, 	1, 	-1.38778e-15, 	2.128, 	(-0.417365,0.0799129);
14:39:40.623, 	1, 	1, 	25.4055, 	16.69, 	0, 	-1.38778e-15, 	1.824, 	(-1.26535,-0.0694716);(0.435874,1.63221);(0.694884,-1.62413);(-1.42319,1.28379);
14:39:40.652, 	1, 	2, 	18.9744, 	21.0202, 	1, 	-1.38778e-15, 	2.128, 	(-0.227094,-0.354114);
14:39:40.672, 	1, 	2, 	21.1902, 	20.6322, 	1, 	-1.38778e-15, 	2.128, 	(0.352671,-0.216837);
14:39:40.684, 	1, 	1, 	26.4169, 	16.6473, 	0, 	-1.38778e-15, 	1.824, 	(-0.284336,-1.43682);(-1.32153,0.792369);(1.0638,0.137399);(-0.901283,-0.625784);
14:39:40.712, 	1, 	2, 	26.3014, 	22.1349, 	1, 	-1.38778e-15, 	2.128, 	(-0.105158,-0.344684);
14:39:40.726, 	1, 	1, 	27.1508, 	15.7791, 	0, 	-1.38778e-15, 	1.824, 	(-0.774991,1.18688);(1.63668,0.597639);(-0.670657,-1.2049);(-0.00553524,1.42631);
14:39:40.744, 	1, 	1, 	25.8885, 	18.6393, 	0, 	-1.38778e-15, 	1.52, 	(-0.981978,0.624751);(0.982654,1.40346);(0.351158,-2.11344);(-1.30058,1.7038);
14:39:40.773, 	1, 	2, 	26.5961, 	22.9325, 	1, 	-1.38778e-15, 	1.824, 	(0.199103,-0.126543);
14:39:40.786, 	1, 	1, 	26.3636, 	18.4092, 	0, 	-1.38778e-15, 	1.52, 	(1.3015,-0.138731);(-0.622745,-1.63031);(-0.599197,1.5653);(1.29873,-0.960322);
14:39:40.804, 	1, 	1, 	23.9289, 	18.5896, 	0, 	-1.38778e-15, 	1.216, 	(0.600717,0.733221);(1.18463,-1.01324);(-2.19536,-0.116472);(1.78238,1.20659);
14:39:40.833, 	1, 	2, 	26.0248, 	22.9134, 	1, 	-1.38778e-15, 	1.52, 	(0.0997081,0.239536);
14:39:40.847, 	1, 	1, 	23.3761, 	17.6017, 	0, 	-1.38778e-15, 	1.216, 	(-0.891046,-0.13665);(-0.160985,1.37041);(1.7961,-1.25686);(-2.19093,0.0979415);
14:39:40.865, 	1, 	1, 	26.688, 	18.8748, 	0, 	-1.38778e-15, 	0.912, 	(0.968696,-0.888341);(-1.49285,-0.873508);(0.43344,1.69515);(0.668861,-1.66496);
14:39:40.893, 	1, 	2, 	26.9369, 	21.6713, 	1, 	-1.38778e-15, 	1.216, 	(-0.155034,-0.224739);
14:39:40.908, 	1, 	1, 	27.8537, 	19.0826, 	0, 	-1.38778e-15, 	0.912, 	(-0.533295,-1.35181);(-1.42919,0.944357);(1.82514,0.391674);(-1.2811,-1.49008);
14:39:40.934, 	1, 	2, 	27.0445, 	20.7488, 	1, 	-1.38778e-15, 	1.216, 	(0.260666,-0.112182);
14:39:40.954, 	1, 	2, 	19.8248, 	20.1477, 	1, 	-1.38778e-15, 	1.52, 	(-0.271966,-0.205326);
14:39:40.965, 	1, 	1, 	25.2725, 	20.5965, 	0, 	-1.38778e-15, 	1.216, 	(-0.884827,-0.883017);(-1.33444,1.09021);(2.12116,0.534793);(-1.43082,-1.70878);
14:39:40.994, 	1, 	2, 	27.0992, 	26.4543, 	1, 	-1.38778e-15, 	1.52, 	(-0.438394,0.436993);
14:39:41.014, 	1, 	2, 	28.2542, 	26.3465, 	1, 	-1.38778e-15, 	1.824, 	(0.446305,0.70036);
14:39:41.026, 	1, 	1, 	28.1492, 	19.0507, 	0, 	-1.38778e-15, 	1.52, 	(0.585748,-1.23705);(-1.75431,-0.68819);(0.437342,1.68831);(0.768445,-1.56517);
14:39:41.055, 	1, 	2, 	27.2908, 	25.3046, 	1, 	-1.38778e-15, 	1.824, 	(0.297802,-0.632497);
14:39:41.075, 	1, 	2, 	27.076, 	25.8377, 	1, 	-1.38778e-15, 	2.128, 	(-0.3399,-0.48456);
14:39:41.086, 	1, 	1, 	27.4666, 	17.1726, 	0, 	-1.38778e-15, 	1.824, 	(-1.10801,-0.681509);(-0.751667,1.71096);(1.93645,-0.385002);(-1.6274,-1.07695);
14:39:41.115, 	1, 	2, 	26.2861, 	26.788, 	1, 	-1.38778e-15, 	2.128, 	(-0.202335,-0.755154);
14:39:41.136, 	1, 	2, 	26.7521, 	25.8365, 	1, 	-1.38778e-15, 	2.128, 	(-0.14907,0.675783);
14:39:41.146, 	1, 	1, 	28.2765, 	21.1794, 	0, 	-1.38778e-15, 	1.824, 	(-0.0463082,-1.44166);(-1.85254,0.117286);(1.36654,1.64748);(0.331037,-2.13846);
14:39:41.176, 	1, 	2, 	28.1624, 	25.5738, 	1, 	-1.38778e-15, 	2.128, 	(-0.608904,-0.553025);
14:39:41.196, 	1, 	2, 	27.8125, 	25.6773, 	1, 	-1.38778e-15, 	2.128, 	(-0.738281,0.088568);
14:39:41.207, 	1, 	1, 	27.9691, 	18.8394, 	0, 	-1.38778e-15, 	1.824, 	(-1.2045,-0.930156);(-1.00259,1.51371);(1.27379,-0.0530655);(-0.81911,-1.02329);
14:39:41.236, 	1, 	2, 	27.2191, 	26.3488, 	1, 	-1.38778e-15, 	2.128, 	(0.857261,0.270424);
14:39:41.250, 	1, 	1, 	28.252, 	18.9376, 	0, 	-1.38778e-15, 	1.824, 	(0.0948006,-1.58094);(-1.84944,-0.0686259);(0.682608,1.28003);(0.667447,-1.36463);
14:39:41.267, 	1, 	1, 	26.1118, 	17.7209, 	0, 	-1.38778e-15, 	1.52, 	(1.33795,-0.135865);(0.186219,-1.80581);(-2.12655,0.814109);(2.0301,1.20784);
14:39:41.297, 	1, 	2, 	28.1553, 	26.5907, 	1, 	-1.38778e-15, 	1.824, 	(0.194905,-0.611157);
14:39:41.311, 	1, 	1, 	25.5371, 	19.6716, 	0, 	-1.38778e-15, 	1.52, 	(1.10102,-1.5452);(-0.748119,-1.19798);(0.705605,1.8636);(1.05851,-0.87958);
14:39:41.327, 	1, 	1, 	23.9085, 	20.7572, 	0, 	-1.38778e-15, 	1.216, 	(0.0568197,-1.07384);(-1.62328,-0.507451);(0.171241,2.26825);(1.75041,-1.47256);
14:39:41.358, 	1, 	2, 	27.9753, 	26.3014, 	1, 	-1.38778e-15, 	1.52, 	(0.0665326,-0.72148);
14:39:41.371, 	1, 	1, 	23.5666, 	16.6761, 	0, 	-1.38778e-15, 	1.216, 	(1.00373,0.711083);(1.24271,-1.0846);(-2.06338,-1.06639);(0.278776,2.35232);
14:39:41.388, 	1, 	1, 	29.094, 	20.6103, 	0, 	-1.38778e-15, 	0.912, 	(-0.796329,-1.48925);(-1.80983,0.81201);(1.42734,1.39034);(0.402213,-1.98226);
14:39:41.418, 	1, 	2, 	22.7279, 	26.0211, 	1, 	-1.38778e-15, 	1.216, 	(0.897285,0.182502);
14:39:41.432, 	1, 	1, 	30.0174, 	19.4552, 	0, 	-1.38778e-15, 	0.912, 	(-1.32131,-1.00203);(-1.56516,1.21873);(1.65788,1.04778);(0.0190486,-1.92408);
14:39:41.448, 	1, 	1, 	30.0414, 	21.5791, 	0, 	-1.38778e-15, 	0.912, 	(-0.502334,-1.45209);(-1.94861,0.0306179);(0.710697,2.00786);(1.32349,-1.57274);
14:39:41.479, 	0, 	2, 	29.4846, 	21.5791, 	0, 	-1.38778e-15, 	0.912, 	(-0.502334,-1.45209);(-1.94861,0.0306179);(0.710697,2.00786);(1.32349,-1.57274);
14:39:41.492, 	1, 	1, 	29.4048, 	21.0765, 	0, 	4, 	0.608, 	(1.06296,0.943874);(1.72809,-0.931982);(-1.49359,-1.44871);(-0.606555,1.87996);
14:39:41.508, 	1, 	1, 	27.2212, 	19.6806, 	0, 	4, 	0.608, 	(1.32372,-0.379572);(-0.206537,-1.71676);(-1.21996,0.537617);(0.963625,0.83724);
14:39:41.529, 	1, 	2, 	26.2867, 	19.2621, 	1, 	4, 	0.912, 	(0.0446054,0.180525);
14:39:41.549, 	1, 	1, 	24.2549, 	16.7649, 	0, 	4, 	0.608, 	(-0.89629,0.941944);(0.55376,1.59959);(1.87249,-1.17006);(-1.83516,-1.17737);
14:39:41.569, 	1, 	2, 	23.0542, 	25.2945, 	1, 	4, 	0.912, 	(0.853019,0.168927);
14:39:41.589, 	1, 	2, 	27.6584, 	25.7761, 	1, 	4, 	1.216, 	(-0.270941,0.576581);
14:39:41.609, 	1, 	1, 	28.7598, 	21.3913, 	0, 	4, 	0.912, 	(1.7214,0.694823);(0.508977,-0.881339);(-1.75016,1.03382);(0.480214,0.8473);
14:39:41.629, 	1, 	2, 	20.6343, 	23.6161, 	1, 	4, 	1.216, 	(0.18857,-0.778098);
14:39:41.649, 	1, 	2, 	28.2951, 	25.8085, 	1, 	4, 	1.52, 	(0.71234,-0.161989);
14:39:41.669, 	1, 	1, 	28.6567, 	20.1079, 	0, 	4, 	1.52, 	(0.315162,1.50718);(1.93504,0.433083);(0.156769,-2.07892);(-2.04784,0.395122);
14:39:41.690, 	1, 	2, 	28.2781, 	26.2343, 	1, 	4, 	1.824, 	(-0.811295,0.253578);
14:39:41.710, 	1, 	2, 	30.6696, 	26.5471, 	1, 	4, 	2.128, 	(-0.519212,-0.621923);
14:39:41.729, 	1, 	1, 	29.069, 	21.1361, 	0, 	4, 	1.824, 	(1.24456,-0.92902);(-0.620753,-1.7473);(-1.34321,0.58723);(0.886313,1.18028);
14:39:41.750, 	1, 	2, 	28.6342, 	24.698, 	1, 	4, 	2.128, 	(-0.282855,-0.536478);
14:39:41.771, 	1, 	2, 	29.8951, 	26.5023, 	1, 	4, 	2.128, 	(0.132328,0.801278);
14:39:41.790, 	1, 	1, 	26.9515, 	20.2435, 	0, 	4, 	1.824, 	(0.136034,-1.43108);(-1.39634,-1.12298);(-1.47802,1.78981);(2.03775,1.14108);
14:39:41.811, 	1, 	2, 	29.0893, 	26.1044, 	1, 	4, 	2.128, 	(0.374177,0.538937);
14:39:41.831, 	1, 	2, 	28.262, 	26.124, 	1, 	4, 	2.128, 	(-0.532365,0.766762);
14:39:41.850, 	1, 	1, 	30.7441, 	22.3729, 	0, 	4, 	1.824, 	(1.50386,0.876868);(1.81238,-1.07957);(-0.940772,-1.69314);(-1.6221,1.18925);
14:39:41.871, 	1, 	2, 	28.6435, 	25.1042, 	1, 	4, 	2.128, 	(0.0178082,0.78545);
14:39:41.890, 	1, 	1, 	30.1843, 	21.9074, 	0, 	4, 	1.824, 	(0.741164,0.379063);(0.73817,-0.881552);(-0.73817,0.881552);(0.741164,0.379063);
14:39:41.910, 	1, 	1, 	30.7253, 	22.2626, 	0, 	4, 	1.52, 	(-1.78845,0.150636);(-1.02301,1.96439);(1.68395,1.22609);(1.14101,-1.8595);
14:39:41.932, 	1, 	2, 	31.5032, 	26.5021, 	1, 	4, 	1.824, 	(0.874194,-0.13817);
14:39:41.950, 	1, 	1, 	32.0297, 	22.2851, 	0, 	4, 	1.52, 	(0.933746,-1.45218);(-0.940394,-1.88666);(-1.60258,0.451353);(0.543607,1.61994);
14:39:41.971, 	1, 	1, 	28.7811, 	22.5063, 	0, 	-1.38778e-15, 	1.216, 	(-0.607599,1.48666);(1.0624,1.76176);(2.15321,-0.680806);(-0.810374,-2.22987);
14:39:41.992, 	1, 	2, 	30.8706, 	26.1735, 	1, 	-1.38778e-15, 	1.52, 	(0.472061,0.808707);
14:39:42.011, 	1, 	1, 	31.0392, 	22.3588, 	0, 	-1.38778e-15, 	1.216, 	(-1.62028,0.235071);(-1.05454,1.82058);(1.41581,1.27316);(1.28379,-1.41376);
14:39:42.031, 	1, 	1, 	30.8868, 	23.0335, 	0, 	-1.38778e-15, 	0.912, 	(-1.72383,-0.291558);(-1.54227,1.50022);(0.837532,1.29839);(1.43079,-0.765301);
14:39:42.053, 	1, 	2, 	29.5886, 	25.4508, 	1, 	-1.38778e-15, 	1.216, 	(-0.515745,-0.332521);
14:39:42.073, 	1, 	1, 	30.2005, 	20.4334, 	0, 	-1.38778e-15, 	0.912, 	(-0.98356,-1.145);(-1.66151,0.130844);(-0.124691,0.912777);(0.911385,0.218747);
