(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:21:10.503, 	0, 	1, 	15.017, 	8.55265, 	1, 	24, 	1.52, 	(-0.299875,-0.319103);(0.209487,0.583405);(-0.897288,-0.79685);(1.1199,0.0440903);
19:21:10.517, 	0, 	1, 	13.845, 	8.64694, 	0, 	28, 	1.216, 	(0.315788,0.955636);(-0.242718,-1.29762);(0.872164,0.985099);(-1.24319,-0.212415);
19:21:10.541, 	1, 	2, 	13.3915, 	18.7641, 	1, 	28, 	1.216, 	(0.337805,-0.180903);
19:21:10.557, 	1, 	1, 	14.115, 	9.8712, 	0, 	28, 	0.912, 	(0.685053,0.288236);(-0.912199,-0.774402);(1.39392,0.21202);(-1.07469,0.787784);
19:21:10.577, 	1, 	1, 	12.9698, 	7.16355, 	0, 	28, 	0.912, 	(0.205231,-0.29482);(-0.724336,0.0660091);(0.906443,-0.750288);(-0.0652024,1.08752);
19:21:10.603, 	1, 	2, 	13.5748, 	22.6524, 	1, 	28, 	1.216, 	(0.30837,-0.441339);
19:21:10.618, 	0, 	1, 	14.2118, 	7.53516, 	1, 	28, 	1.216, 	(-0.434451,-0.63472);(0.472356,0.763367);(-1.21305,-0.848103);(1.23549,-0.189396);
19:21:10.638, 	0, 	1, 	13.6034, 	6.34576, 	0, 	32, 	0.912, 	(-0.342244,0.693348);(0.920893,-0.791135);(-0.44522,1.41236);(-0.638775,-1.12014);
19:21:10.663, 	1, 	2, 	14.4403, 	21.4881, 	1, 	36, 	1.216, 	(-0.35718,-0.362553);
19:21:10.678, 	1, 	1, 	14.2952, 	9.33186, 	0, 	36, 	0.912, 	(0.525084,0.000821458);(-0.73208,-0.51922);(1.41752,0.0775956);(-0.900452,0.836891);
19:21:10.703, 	1, 	2, 	15.9626, 	24.7128, 	1, 	36, 	1.216, 	(-0.110385,-0.57732);
19:21:10.725, 	1, 	2, 	13.823, 	21.3306, 	1, 	36, 	1.52, 	(-0.443611,-0.242287);
19:21:10.738, 	1, 	1, 	13.7632, 	7.79285, 	0, 	36, 	1.216, 	(0.116986,-0.389863);(-0.597026,0.419793);(0.431541,-1.27532);(0.51627,0.985685);
19:21:10.763, 	1, 	2, 	13.7066, 	19.0641, 	1, 	36, 	1.52, 	(-0.154616,-0.351033);
19:21:10.783, 	1, 	2, 	13.5494, 	20.0946, 	1, 	36, 	1.824, 	(-0.145887,-0.44611);
19:21:10.799, 	0, 	1, 	14.6776, 	8.76147, 	1, 	36, 	1.824, 	(0.57379,-0.887039);(-0.890408,1.13536);(0.00439538,-1.16551);(0.569926,0.74424);
19:21:10.824, 	1, 	2, 	14.5716, 	22.0347, 	1, 	40, 	1.824, 	(0.00296393,0.574744);
19:21:10.844, 	1, 	2, 	12.9862, 	18.5596, 	1, 	36, 	2.128, 	(-0.270246,0.296472);
19:21:10.859, 	0, 	1, 	15.0225, 	9.18431, 	1, 	36, 	2.128, 	(0.705423,-0.0327145);(-1.10076,-0.127464);(1.37369,-0.820549);(-0.449252,1.31422);
19:21:10.885, 	1, 	2, 	15.4743, 	24.1387, 	1, 	36, 	2.128, 	(0.343829,0.497203);
19:21:10.904, 	1, 	2, 	14.2088, 	24.5085, 	1, 	32, 	2.128, 	(-0.11135,-0.568802);
19:21:10.919, 	1, 	1, 	16.3776, 	9.11207, 	0, 	32, 	1.824, 	(0.813255,0.782053);(-1.01016,-1.14258);(1.46639,0.222352);(-1.09642,0.657427);
19:21:10.945, 	1, 	2, 	13.9936, 	20.299, 	1, 	28, 	2.128, 	(0.0720978,0.495495);
19:21:10.959, 	1, 	1, 	17.1779, 	10.9324, 	0, 	24, 	1.824, 	(-0.97691,-0.478949);(1.41162,0.702347);(-1.06608,0.302769);(0.559182,-0.82387);
19:21:10.979, 	0, 	1, 	15.7264, 	10.0507, 	0, 	24, 	1.824, 	(-0.624127,0.767672);(0.973909,-1.21108);(0.035126,0.830947);(-0.560599,-0.58004);
19:21:11.005, 	1, 	2, 	14.3943, 	24.2302, 	1, 	24, 	1.824, 	(0.25025,0.57498);
19:21:11.066, 	1, 	2, 	14.1212, 	23.6651, 	1, 	20, 	1.824, 	(0.208348,-0.608754);
19:21:11.080, 	0, 	1, 	14.5589, 	9.66954, 	1, 	20, 	1.824, 	(-0.202492,-1.22481);(0.265166,1.52335);(-1.09173,-0.933184);(1.22429,-0.00935689);
19:21:11.126, 	1, 	2, 	15.0083, 	24.4645, 	1, 	24, 	1.824, 	(-0.202443,-0.598631);
19:21:11.140, 	0, 	1, 	14.974, 	6.61248, 	1, 	24, 	1.824, 	(-0.530377,-0.969296);(0.719911,1.38704);(-1.40562,-0.57458);(1.25532,-0.4597);
19:21:11.160, 	0, 	1, 	15.1923, 	8.44847, 	0, 	28, 	1.52, 	(-0.0757928,1.25854);(-0.0137287,-1.5582);(0.91319,1.08496);(-1.22153,-0.204839);
19:21:11.261, 	0, 	1, 	14.6856, 	10.4318, 	0, 	32, 	1.216, 	(-0.350377,-1.11457);(0.473148,1.62905);(-1.03035,-0.640897);(1.19333,-0.306745);
19:21:11.283, 	1, 	1, 	14.8306, 	10.3579, 	0, 	28, 	0.912, 	(0.247772,-0.367072);(-0.541176,0.485397);(0.283852,-1.45258);(0.823772,1.00918);
19:21:11.382, 	0, 	1, 	13.9184, 	10.2236, 	0, 	28, 	0.912, 	(-0.385662,0.738587);(0.436062,-0.772866);(0.260019,1.65578);(-1.24739,-0.782803);
19:21:11.429, 	1, 	2, 	14.1585, 	21.4463, 	1, 	32, 	1.216, 	(-0.245958,-0.602225);
19:21:11.442, 	1, 	1, 	15.6433, 	7.70561, 	0, 	32, 	0.912, 	(-0.223766,1.23731);(0.183153,-1.48923);(1.07226,1.38303);(-1.493,-0.0992045);
