(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:03:45.782, 	0, 	2, 	23.4758, 	15.4245, 	0, 	36, 	0.304, 	(0.129659,0.0311799);
14:03:45.802, 	0, 	2, 	23.7021, 	15.8596, 	0, 	40, 	0.304, 	(-0.0865111,-0.042725);
14:03:45.813, 	1, 	1, 	23.8594, 	16.8332, 	0, 	44, 	-6.39488e-16, 	(-0.923658,-0.969433);(-0.274733,1.29609);(0.409035,-0.698884);(-0.597123,0.58241);
14:03:45.833, 	1, 	1, 	24.7978, 	16.0952, 	0, 	44, 	-6.39488e-16, 	(-1.2486,0.793791);(1.44031,0.786802);(-0.998679,-1.18109);(0.741834,1.44116);
14:03:45.863, 	0, 	2, 	23.459, 	15.0468, 	0, 	44, 	-6.39488e-16, 	(0.0997426,0.144963);
14:03:45.883, 	0, 	2, 	26.15, 	14.8204, 	0, 	44, 	-6.39488e-16, 	(0.123889,0.0740993);
14:03:45.897, 	1, 	1, 	24.204, 	19.1923, 	0, 	48, 	-6.39488e-16, 	(-0.22877,-1.31393);(-1.40104,0.691054);(1.99789,-0.0583922);(-2.00965,-0.330946);
14:03:45.914, 	1, 	1, 	25.9053, 	15.4807, 	0, 	48, 	-6.39488e-16, 	(-0.867329,1.01758);(1.44245,0.524707);(-0.879708,-0.817905);(0.64622,1.01729);
14:03:45.943, 	1, 	2, 	25.7224, 	12.7476, 	1, 	44, 	0.304, 	(0.0876243,-0.06944);
14:03:45.964, 	0, 	2, 	21.4844, 	13.5683, 	1, 	44, 	0.304, 	(0.0995859,-0.105054);
14:03:45.974, 	0, 	2, 	23.435, 	13.826, 	0, 	44, 	0.304, 	(0.0418346,-0.0289289);
14:03:45.994, 	1, 	1, 	26.1626, 	16.5131, 	0, 	48, 	0.304, 	(-0.956466,-0.58304);(-0.27089,1.62331);(1.14967,-1.54534);(-1.50366,1.17817);
14:03:46.014, 	1, 	1, 	23.7753, 	16.7478, 	0, 	44, 	0.304, 	(-0.263027,1.12365);(1.57138,-0.433363);(-1.6146,-0.318758);(1.43313,0.751434);
14:03:46.034, 	0, 	2, 	22.8328, 	13.0111, 	0, 	44, 	0.304, 	(0.100077,0.0140409);
14:03:46.054, 	1, 	1, 	20.38, 	13.9375, 	0, 	44, 	0.304, 	(-0.0640241,-0.598892);(-1.10159,0.481837);(2.10541,0.388837);(-1.92174,-0.951182);
14:03:46.074, 	1, 	1, 	23.5831, 	16.7843, 	0, 	44, 	0.304, 	(-1.27632,-0.264476);(0.552863,1.49915);(0.118178,-1.63206);(-0.662015,1.47841);
14:03:46.095, 	0, 	2, 	23.3655, 	12.8897, 	0, 	44, 	0.304, 	(0.0745777,-0.0861827);
14:03:46.114, 	1, 	1, 	24.3078, 	18.7054, 	0, 	44, 	0.304, 	(0.160803,-1.29786);(-1.59087,0.678427);(1.94778,0.140368);(-1.80073,-0.856543);
14:03:46.135, 	1, 	1, 	23.6319, 	18.0612, 	0, 	40, 	-6.39488e-16, 	(-0.967926,-0.33117);(0.00277071,1.51345);(1.07722,-1.93608);(-1.72157,1.49814);
14:03:46.155, 	0, 	2, 	24.1689, 	11.9961, 	0, 	40, 	-6.39488e-16, 	(0.0151012,0.0510897);
14:03:46.175, 	1, 	1, 	25.0601, 	15.1408, 	0, 	44, 	-6.39488e-16, 	(0.363784,-1.29063);(-1.32712,0.33648);(0.811839,0.137587);(-0.698319,-0.515519);
14:03:46.195, 	1, 	1, 	23.2367, 	20.7374, 	0, 	40, 	-6.39488e-16, 	(-0.765793,0.895092);(1.38507,0.652423);(-1.22338,-1.78087);(0.511005,2.21655);
14:03:46.216, 	0, 	2, 	24.1152, 	10.5478, 	0, 	40, 	-6.39488e-16, 	(0.0158027,0.092706);
14:03:46.235, 	1, 	1, 	26.1275, 	18.4473, 	0, 	40, 	-6.39488e-16, 	(-0.0142191,1.30362);(1.37111,-0.478774);(-0.799999,-0.0536983);(0.744372,0.49356);
14:03:46.255, 	1, 	1, 	23.5437, 	20.3735, 	0, 	40, 	-6.39488e-16, 	(0.952361,0.549072);(0.678792,-1.45239);(-1.79885,1.19809);(2.30443,-0.408014);
14:03:46.277, 	1, 	2, 	25.4945, 	25.0371, 	1, 	36, 	0.304, 	(0.309401,-0.546003);
14:03:46.296, 	1, 	2, 	26.9848, 	26.5238, 	1, 	32, 	0.608, 	(0.824993,-0.0100519);
14:03:46.317, 	1, 	2, 	26.1096, 	25.647, 	1, 	32, 	0.912, 	(0.68275,-0.255255);
14:03:46.338, 	1, 	2, 	25.212, 	25.7643, 	1, 	32, 	1.216, 	(0.841555,-0.224521);
14:03:46.359, 	1, 	2, 	20.1914, 	22.1987, 	1, 	28, 	1.52, 	(-0.271162,0.778793);
14:03:46.377, 	1, 	2, 	25.7826, 	24.8296, 	1, 	24, 	1.824, 	(-0.623815,0.304677);
14:03:46.398, 	1, 	2, 	24.9484, 	26.258, 	1, 	24, 	2.128, 	(-0.712944,-0.489796);
14:03:46.418, 	1, 	2, 	20.3488, 	23.7491, 	1, 	24, 	2.432, 	(0.00188626,-0.855483);
14:03:46.438, 	1, 	2, 	25.3248, 	25.2678, 	1, 	24, 	2.736, 	(-0.43986,-0.572505);
14:03:46.458, 	1, 	2, 	25.1834, 	24.8132, 	1, 	20, 	3.04, 	(0.584907,-0.152693);
14:03:46.478, 	1, 	2, 	25.2459, 	26.4272, 	1, 	16, 	3.04, 	(0.0819093,0.827376);
14:03:46.499, 	1, 	2, 	25.7268, 	25.5144, 	1, 	16, 	3.04, 	(-0.679214,-0.280789);
14:03:46.519, 	1, 	2, 	25.9602, 	26.1823, 	1, 	16, 	3.04, 	(-0.828662,0.322709);
14:03:46.539, 	1, 	2, 	20.1778, 	24.2869, 	1, 	12, 	3.04, 	(-0.616016,-0.654139);
14:03:46.559, 	1, 	2, 	26.6596, 	26.5446, 	1, 	12, 	3.04, 	(-0.73273,-0.127485);
14:03:46.579, 	1, 	2, 	25.4853, 	25.5424, 	1, 	12, 	3.04, 	(0.0873972,-0.598069);
14:03:46.599, 	1, 	2, 	20.2332, 	24.5982, 	1, 	8, 	3.04, 	(-0.894682,0.135465);
14:03:46.619, 	1, 	2, 	23.3476, 	25.6709, 	1, 	8, 	3.04, 	(-0.88253,0.330524);
14:03:46.641, 	1, 	2, 	18.4914, 	21.4198, 	1, 	8, 	3.04, 	(-0.815256,0.291637);
14:03:46.660, 	1, 	2, 	27.452, 	24.7946, 	1, 	4, 	3.04, 	(-0.822363,0.116855);
14:03:46.680, 	1, 	2, 	27.4032, 	26.4142, 	1, 	4, 	3.04, 	(0.0979805,-0.715081);
14:03:46.700, 	1, 	2, 	25.8961, 	26.9904, 	1, 	4, 	3.04, 	(0.401328,0.804951);
14:03:46.720, 	1, 	2, 	27.5445, 	26.0507, 	1, 	-1.38778e-15, 	3.04, 	(-0.817533,-0.109303);
14:03:46.740, 	1, 	2, 	26.9994, 	26.281, 	1, 	-1.38778e-15, 	3.04, 	(-0.695631,-0.207102);
14:03:46.760, 	1, 	2, 	25.4957, 	26.7572, 	1, 	-1.38778e-15, 	3.04, 	(-0.823134,-0.469671);
14:03:46.781, 	1, 	2, 	25.4282, 	24.9375, 	1, 	-1.38778e-15, 	3.04, 	(-0.207,-0.824538);
14:03:46.801, 	1, 	2, 	24.4765, 	25.991, 	1, 	-1.38778e-15, 	3.04, 	(-0.873817,0.346454);
14:03:46.821, 	1, 	2, 	26.8747, 	26.6683, 	1, 	-1.38778e-15, 	3.04, 	(0.02044,0.916877);
14:03:46.841, 	1, 	2, 	26.7369, 	25.6429, 	1, 	-1.38778e-15, 	3.04, 	(-0.789372,0.264542);
14:03:46.861, 	1, 	2, 	24.3162, 	26.4049, 	1, 	-1.38778e-15, 	3.04, 	(0.693365,0.624903);
14:03:46.882, 	1, 	2, 	27.4412, 	26.1871, 	1, 	-1.38778e-15, 	3.04, 	(-0.222487,-0.889612);
14:03:46.902, 	1, 	2, 	27.843, 	25.9618, 	1, 	-1.38778e-15, 	3.04, 	(-0.809115,0.153708);
14:03:46.922, 	1, 	2, 	26.4147, 	24.9795, 	1, 	-1.38778e-15, 	3.04, 	(-0.395851,0.552736);
14:03:46.942, 	1, 	2, 	27.6854, 	26.3587, 	1, 	-1.38778e-15, 	3.04, 	(-0.0989394,-0.905329);
14:03:46.962, 	1, 	2, 	22.0686, 	25.0399, 	1, 	-1.38778e-15, 	3.04, 	(0.909905,0.194687);
14:03:46.982, 	1, 	2, 	27.0168, 	25.1347, 	1, 	-1.38778e-15, 	3.04, 	(0.427376,0.524881);
