(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:57:35.387, 	1, 	2, 	20.5522, 	24.1182, 	1, 	-1.249e-14, 	3.04, 	(-0.0423108,0.783586);
14:57:35.407, 	1, 	2, 	26.2197, 	25.1045, 	1, 	-1.249e-14, 	3.04, 	(-0.369759,0.554072);
14:57:35.428, 	1, 	2, 	24.6203, 	26.1332, 	1, 	-1.249e-14, 	3.04, 	(-0.78839,0.240935);
14:57:35.448, 	1, 	2, 	19.6818, 	22.7251, 	1, 	-1.249e-14, 	3.04, 	(0.143169,-0.80597);
14:57:35.468, 	1, 	2, 	22.247, 	25.1736, 	1, 	-1.249e-14, 	3.04, 	(-0.869815,0.00434459);
14:57:35.488, 	1, 	2, 	24.516, 	25.3079, 	1, 	-1.249e-14, 	3.04, 	(0.30785,0.819161);
14:57:35.508, 	1, 	2, 	26.2302, 	26.0445, 	1, 	-1.249e-14, 	3.04, 	(-0.575677,0.663985);
14:57:35.528, 	1, 	2, 	27.4219, 	17.2516, 	1, 	-1.249e-14, 	3.04, 	(-0.238167,-0.313287);
14:57:35.549, 	1, 	2, 	27.6979, 	25.3144, 	1, 	-1.249e-14, 	3.04, 	(-0.201797,0.691446);
14:57:35.569, 	1, 	2, 	29.4226, 	26.1401, 	1, 	-1.249e-14, 	3.04, 	(0.256197,0.536255);
14:57:35.589, 	1, 	2, 	29.2369, 	26.3428, 	1, 	-1.249e-14, 	3.04, 	(0.696198,0.466786);
14:57:35.609, 	1, 	2, 	29.1659, 	25.6879, 	1, 	-1.249e-14, 	3.04, 	(-0.331015,0.676412);
14:57:35.629, 	1, 	2, 	26.2756, 	25.5143, 	1, 	-1.249e-14, 	3.04, 	(-0.680362,0.539337);
14:57:35.650, 	1, 	2, 	18.5301, 	22.2906, 	1, 	-1.249e-14, 	3.04, 	(0.638957,-0.468664);
14:57:35.669, 	1, 	2, 	28.8057, 	26.018, 	1, 	-1.249e-14, 	3.04, 	(-0.141524,-0.776677);
14:57:35.690, 	1, 	2, 	26.7043, 	25.4811, 	1, 	-1.249e-14, 	3.04, 	(0.31933,0.614216);
14:57:35.710, 	1, 	2, 	27.7735, 	26.2544, 	1, 	-1.249e-14, 	3.04, 	(0.882218,-0.186226);
14:57:35.730, 	1, 	2, 	20.6869, 	23.2735, 	1, 	-1.249e-14, 	3.04, 	(0.118161,-0.858409);
14:57:35.750, 	1, 	2, 	23.7874, 	25.3377, 	1, 	-1.249e-14, 	3.04, 	(0.726856,0.502273);
14:57:35.770, 	1, 	2, 	26.9419, 	26.5127, 	1, 	-1.249e-14, 	3.04, 	(0.859641,-0.0216878);
14:57:35.790, 	1, 	2, 	28.5072, 	26.3415, 	1, 	-1.249e-14, 	3.04, 	(0.840739,0.0541982);
14:57:35.810, 	1, 	2, 	29.3574, 	26.1608, 	1, 	-1.249e-14, 	3.04, 	(0.276791,0.7541);
14:57:35.831, 	1, 	2, 	28.4547, 	26.3261, 	1, 	-1.249e-14, 	3.04, 	(-0.0407333,-0.67183);
14:57:35.851, 	1, 	2, 	28.1143, 	26.8407, 	1, 	-1.249e-14, 	3.04, 	(-0.391852,0.386221);
14:57:35.871, 	1, 	2, 	29.0203, 	25.5159, 	1, 	-1.249e-14, 	3.04, 	(-0.0793857,-0.78947);
14:57:35.892, 	1, 	2, 	27.8655, 	26.8564, 	1, 	-1.249e-14, 	3.04, 	(-0.0462857,-0.68119);
14:57:35.911, 	1, 	2, 	27.552, 	25.8436, 	1, 	-1.249e-14, 	3.04, 	(0.184861,-0.555028);
14:57:35.934, 	1, 	2, 	19.8343, 	22.8618, 	1, 	-1.249e-14, 	3.04, 	(-0.80228,-0.238399);
14:57:35.952, 	1, 	2, 	23.0111, 	26.2033, 	1, 	-1.249e-14, 	3.04, 	(-0.709254,-0.616431);
