(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:26:20.244, 	0, 	1, 	11.2382, 	16.0568, 	1, 	9.71445e-15, 	3.04, 	(-0.10798,-0.0961942);(0.295806,-0.0126096);(0.0537458,0.306816);(-0.385658,0.10622);
17:26:35.743, 	1, 	2, 	13.5067, 	17.7893, 	1, 	4, 	2.736, 	(0.143685,-0.136314);
17:26:35.763, 	1, 	2, 	15.5436, 	19.4717, 	1, 	4, 	2.736, 	(-0.0833079,0.177312);
17:26:35.785, 	1, 	2, 	16.1756, 	19.7223, 	1, 	4, 	2.736, 	(-0.193141,0.0126893);
17:26:35.803, 	1, 	2, 	16.248, 	19.3256, 	1, 	4, 	2.736, 	(0.0768608,0.0836023);
17:26:35.823, 	1, 	2, 	16.5174, 	21.0106, 	1, 	4, 	2.736, 	(-0.186379,0.0657191);
17:26:35.844, 	1, 	2, 	17.0948, 	19.1072, 	1, 	4, 	2.736, 	(-0.114075,-0.128772);
17:26:35.863, 	1, 	2, 	18.2056, 	20.3126, 	1, 	4, 	2.736, 	(-0.116341,-0.105613);
17:26:35.885, 	1, 	2, 	16.5816, 	19.9627, 	1, 	4, 	2.736, 	(-0.0592077,0.238297);
17:26:35.905, 	1, 	2, 	17.5241, 	20.201, 	1, 	4, 	2.736, 	(0.0536582,0.203541);
17:26:35.925, 	1, 	2, 	18.3702, 	21.0449, 	1, 	4, 	3.04, 	(-0.0917596,0.269153);
17:26:35.945, 	1, 	2, 	18.6248, 	19.5034, 	1, 	4, 	3.04, 	(0.158608,0.219028);
17:26:35.965, 	1, 	2, 	19.7415, 	20.8885, 	1, 	4, 	3.04, 	(-0.230473,0.124954);
17:26:35.985, 	1, 	2, 	19.5156, 	21.4743, 	1, 	4, 	3.04, 	(0.26503,0.200097);
17:26:36.005, 	1, 	2, 	20.0496, 	21.8395, 	1, 	4, 	3.04, 	(-0.221451,-0.0799995);
17:26:36.025, 	1, 	2, 	22.9946, 	22.4608, 	1, 	4, 	3.04, 	(0.267996,-0.266933);
17:26:36.045, 	1, 	2, 	19.8234, 	22.5723, 	1, 	4, 	3.04, 	(0.052928,0.419712);
17:26:36.065, 	1, 	2, 	19.4243, 	23.3463, 	1, 	4, 	3.04, 	(0.426987,-0.0857215);
