2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	2.23869, 	2.23869, 	26.1534, 	1, 	1.52
2, 	2.23869, 	2.23869, 	9.97526, 	0, 	2.736
1, 	2.23869, 	2.23869, 	13.6995, 	1, 	2.128
1, 	2.23869, 	2.23869, 	10.0631, 	0, 	2.128
1, 	2.23869, 	2.23869, 	10.7137, 	0, 	1.824
1, 	2.23869, 	2.23869, 	11.4038, 	1, 	1.216
2, 	2.23869, 	2.23869, 	10.0187, 	0, 	1.216
2, 	2.23869, 	2.23869, 	10.6924, 	0, 	0.912
1, 	2.23869, 	2.23869, 	11.9013, 	0, 	0.608
1, 	2.23869, 	2.23869, 	7.72918, 	0, 	0.304
1, 	2.23869, 	2.23869, 	10.6562, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	11.8992, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	9.20898, 	1, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	9.46504, 	1, 	-7.10543e-17
2, 	2.23869, 	2.23869, 	10.4068, 	0, 	-7.10543e-17
2, 	1.34299, 	1.34299, 	10.2193, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	7.80194, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	-1.52191, 	0, 	-7.10543e-17
1, 	-0.447628, 	-0.447628, 	10.3156, 	1, 	-7.10543e-17
1, 	-0.447628, 	-0.447628, 	-1.65048, 	0, 	-7.10543e-17
2, 	-1.34299, 	-1.34299, 	10.5128, 	0, 	-7.10543e-17
1, 	-1.34299, 	-1.34299, 	7.39982, 	1, 	-7.10543e-17
2, 	-1.34299, 	-1.34299, 	11.3729, 	0, 	-7.10543e-17
2, 	-1.34299, 	-1.34299, 	11.7589, 	0, 	-7.10543e-17
1, 	-1.34299, 	-1.34299, 	8.74712, 	1, 	-7.10543e-17
1, 	-1.34299, 	-1.34299, 	10.1531, 	1, 	-7.10543e-17
2, 	-1.34299, 	-1.34299, 	10.7331, 	0, 	-7.10543e-17
2, 	25.4477, 	25.4477, 	10.1519, 	0, 	-7.10543e-17
1, 	25.4477, 	25.4477, 	9.86293, 	0, 	-7.10543e-17
1, 	25.4477, 	25.4477, 	10.5223, 	1, 	-7.10543e-17
1, 	24.4603, 	24.4603, 	13.7344, 	0, 	-7.10543e-17
2, 	24.4603, 	24.4603, 	17.4282, 	1, 	0.304
1, 	24.4603, 	24.4603, 	12.9649, 	1, 	0.304
2, 	24.4603, 	24.4603, 	17.8626, 	1, 	0.608
2, 	19.6296, 	19.6296, 	18.0218, 	1, 	0.912
2, 	19.6296, 	19.6296, 	0, 	0, 	0.912
2, 	23.4805, 	23.4805, 	12.0069, 	0, 	0.912
2, 	23.4805, 	23.4805, 	18.7972, 	1, 	1.216
1, 	23.4805, 	23.4805, 	14.3932, 	1, 	1.216
2, 	-1.34299, 	-1.34299, 	19.8891, 	1, 	1.52
2, 	-1.34299, 	-1.34299, 	11.0793, 	0, 	1.52
2, 	23.4805, 	23.4805, 	14.7218, 	0, 	1.52
1, 	23.4805, 	23.4805, 	18.6835, 	1, 	1.216
2, 	21.5423, 	21.5423, 	19.7208, 	1, 	1.52
2, 	21.5423, 	21.5423, 	8.37864, 	0, 	1.52
2, 	25.4477, 	25.4477, 	8.83452, 	0, 	1.216
1, 	25.4477, 	25.4477, 	13.4037, 	0, 	0.912
1, 	25.4477, 	25.4477, 	14.2391, 	1, 	0.608
1, 	19.6296, 	19.6296, 	13.3554, 	0, 	0.608
1, 	19.6296, 	19.6296, 	13.3757, 	1, 	0.304
1, 	19.6296, 	19.6296, 	13.1764, 	1, 	0.304
2, 	19.6296, 	19.6296, 	9.14338, 	0, 	0.304
