(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:18:49.495, 	0, 	1, 	8.56872, 	4.94448, 	1, 	-1.38778e-15, 	3.04, 	(-0.169616,-0.0215474);(0.15899,0.0586582);(0.00077193,0.300954);(-0.330685,-0.0100411);
19:19:03.919, 	1, 	2, 	12.8884, 	16.0633, 	1, 	4, 	2.736, 	(0.0935162,-0.0842484);
19:19:03.939, 	1, 	2, 	12.7142, 	18.0089, 	1, 	4, 	2.736, 	(-0.104383,0.0162715);
19:19:03.958, 	1, 	2, 	13.4243, 	16.36, 	1, 	4, 	2.736, 	(-0.051879,0.0157795);
19:19:03.979, 	1, 	2, 	13.5108, 	16.8072, 	1, 	4, 	2.736, 	(0.0612492,-0.176113);
19:19:03.998, 	1, 	2, 	12.8293, 	16.4066, 	1, 	4, 	2.736, 	(0.130216,-0.032391);
19:19:04.019, 	1, 	2, 	14.2845, 	18.4294, 	1, 	4, 	2.736, 	(0.07825,0.0777272);
19:19:04.039, 	1, 	2, 	12.796, 	18.0425, 	1, 	4, 	2.736, 	(0.166865,0.080412);
19:19:04.060, 	1, 	2, 	14.5091, 	16.9392, 	1, 	4, 	2.736, 	(-0.185187,-0.082238);
19:19:04.079, 	1, 	2, 	13.8737, 	18.3363, 	1, 	4, 	2.736, 	(-0.157684,-0.118579);
19:19:04.100, 	1, 	2, 	13.4811, 	18.5451, 	1, 	4, 	3.04, 	(0.111842,0.0261718);
19:19:04.120, 	1, 	2, 	14.5811, 	18.5767, 	1, 	4, 	3.04, 	(-0.118068,-0.115415);
19:19:04.146, 	1, 	2, 	15.2304, 	18.984, 	1, 	4, 	3.04, 	(0.12174,0.073686);
19:19:04.160, 	1, 	2, 	14.1877, 	17.779, 	1, 	4, 	3.04, 	(-0.0621063,0.0984571);
19:19:04.180, 	1, 	2, 	14.222, 	19.1458, 	1, 	4, 	3.04, 	(0.194991,0.0604727);
19:19:04.200, 	1, 	2, 	14.3768, 	17.2634, 	1, 	4, 	3.04, 	(-0.104539,0.139709);
19:19:04.221, 	1, 	2, 	15.8879, 	16.9831, 	1, 	4, 	3.04, 	(0.099306,-0.0683278);
19:19:04.240, 	1, 	2, 	15.9158, 	17.6051, 	1, 	4, 	3.04, 	(-0.139033,0.106219);
19:19:04.261, 	1, 	2, 	15.0264, 	18.6024, 	1, 	4, 	3.04, 	(-0.193341,-0.07246);
19:19:04.281, 	1, 	2, 	16.6784, 	19.8344, 	1, 	4, 	3.04, 	(-0.0164633,-0.191324);
19:19:04.301, 	1, 	2, 	15.7323, 	19.8639, 	1, 	4, 	3.04, 	(-0.242036,-0.0651384);
19:19:04.321, 	1, 	2, 	15.4528, 	20.1277, 	1, 	4, 	3.04, 	(-0.240094,0.00612664);
19:19:04.342, 	1, 	2, 	16.964, 	17.5149, 	1, 	4, 	3.04, 	(0.0970252,0.0945445);
19:19:04.362, 	1, 	2, 	15.1858, 	18.4438, 	1, 	4, 	3.04, 	(-0.117421,0.0722163);
19:19:04.386, 	1, 	2, 	14.2803, 	17.786, 	1, 	4, 	3.04, 	(-0.0351652,0.199629);
19:19:04.402, 	1, 	2, 	15.9405, 	18.3463, 	1, 	-1.38778e-15, 	3.04, 	(-0.0531897,0.175303);
19:19:04.423, 	1, 	2, 	16.0186, 	20.9612, 	1, 	-1.38778e-15, 	3.04, 	(0.0741579,0.189754);
19:19:04.442, 	1, 	2, 	15.4916, 	19.9836, 	1, 	-1.38778e-15, 	3.04, 	(-0.0993561,-0.136608);
19:19:04.462, 	1, 	2, 	13.9312, 	18.9531, 	1, 	-1.38778e-15, 	3.04, 	(0.0234898,-0.274122);
19:19:04.483, 	1, 	2, 	16.3565, 	20.6473, 	1, 	-1.38778e-15, 	3.04, 	(-0.194934,0.121201);
19:19:04.503, 	1, 	2, 	17.807, 	21.0802, 	1, 	-1.38778e-15, 	3.04, 	(0.0232546,0.19851);
19:19:04.523, 	1, 	2, 	17.26, 	20.0183, 	1, 	-1.38778e-15, 	3.04, 	(-0.20365,-0.0401294);
19:19:04.543, 	1, 	2, 	16.7833, 	18.4936, 	1, 	-1.38778e-15, 	3.04, 	(0.102009,0.0160532);
19:19:04.563, 	0, 	2, 	16.4183, 	18.7384, 	1, 	-1.38778e-15, 	3.04, 	(-0.13252,0.175405);
19:19:04.584, 	1, 	2, 	16.2833, 	19.3625, 	1, 	4, 	2.736, 	(-0.177776,0.0224126);
19:19:04.597, 	1, 	1, 	16.1708, 	15.4109, 	0, 	4, 	2.432, 	(-0.36816,0.111144);(0.0752399,-0.596659);(0.703097,-0.0838938);(0.334181,0.631109);
19:19:04.624, 	0, 	2, 	15.4969, 	6.37748, 	0, 	4, 	2.432, 	(-0.0257503,-0.033566);
