
 NEW RECORD - 08-21-2023 18:30:47time, CRC, type, snr, data_snr, reward, per_val, Throughput
18:30:49.462, 	1, 	1, 	21.0143, 	15.5163, 	0, 	0, 	1.52, 	(-0.869361,0.270584);(1.38353,0.467533);(-1.44172,-0.806497);(0.880404,1.1269);
18:30:49.481, 	1, 	2, 	16.964, 	20.4073, 	1, 	0, 	1.52, 	(-0.135814,0.331098);
18:30:49.563, 	1, 	1, 	19.8916, 	13.7432, 	0, 	0, 	1.52, 	(-0.726545,-0.568484);(0.504334,1.40577);(-0.258032,-1.50934);(-0.320202,1.28857);
18:30:49.581, 	1, 	2, 	19.6441, 	22.1837, 	1, 	0, 	1.52, 	(-0.332345,0.0535746);
18:30:49.681, 	1, 	2, 	18.4911, 	21.5714, 	1, 	0, 	1.824, 	(-0.11408,0.337067);
18:30:49.713, 	1, 	1, 	20.367, 	13.014, 	0, 	0, 	1.52, 	(0.710765,-0.458016);(-1.47157,0.0528393);(1.67477,0.293833);(-1.21537,-0.809874);
18:30:49.781, 	0, 	2, 	19.0206, 	8.0185, 	0, 	0, 	1.52, 	(-0.00724778,-0.0593086);
18:30:49.813, 	1, 	1, 	20.5229, 	12.8675, 	0, 	4, 	1.216, 	(0.923474,0.161153);(-1.02251,-1.04687);(0.894184,1.30109);(-0.261776,-1.33257);
18:30:49.881, 	0, 	2, 	20.0303, 	9.45325, 	0, 	4, 	1.216, 	(-0.0471077,-0.0286947);
18:30:49.913, 	1, 	1, 	19.1569, 	12.8228, 	0, 	8, 	0.912, 	(-0.188896,-0.949038);(-0.582381,1.33567);(0.801729,-1.21488);(-1.04621,0.684769);
18:30:49.981, 	0, 	2, 	19.966, 	9.00762, 	0, 	8, 	0.912, 	(-0.0159289,-0.0613535);
18:30:50.013, 	1, 	1, 	19.9454, 	15.5311, 	0, 	12, 	0.608, 	(-0.789034,-0.0595771);(0.838048,0.918443);(-0.975508,-1.56185);(0.287968,1.55711);
18:30:50.081, 	0, 	2, 	17.7028, 	7.78915, 	0, 	12, 	0.608, 	(0.0449711,0.0176522);
18:30:50.114, 	1, 	1, 	20.6146, 	16.1632, 	0, 	16, 	0.304, 	(-0.932826,0.105265);(1.25,0.613802);(-0.941102,-0.624273);(0.49907,0.825636);
18:30:50.181, 	0, 	2, 	20.4649, 	8.71183, 	0, 	16, 	0.304, 	(-0.0139098,0.0607213);
18:30:50.214, 	1, 	1, 	18.8432, 	11.3719, 	0, 	20, 	-7.10543e-17, 	(0.777901,-0.21077);(-1.39131,-0.373213);(1.56369,0.826657);(-0.96386,-1.18403);
18:30:50.282, 	0, 	2, 	18.1646, 	8.68222, 	0, 	20, 	-7.10543e-17, 	(-0.0450821,0.023135);
18:30:50.314, 	1, 	1, 	19.9869, 	12.6912, 	0, 	24, 	-7.10543e-17, 	(0.133479,-0.877975);(-0.979943,1.08507);(1.32759,-1.01679);(-1.39132,0.345537);
18:30:50.381, 	0, 	2, 	17.9141, 	9.4176, 	0, 	24, 	-7.10543e-17, 	(0.0228549,-0.047456);
18:30:50.414, 	1, 	1, 	18.6528, 	13.0391, 	0, 	28, 	-7.10543e-17, 	(-0.0762439,-0.509443);(-0.457481,1.02493);(1.19016,-1.40529);(-1.38717,0.748194);
18:30:50.482, 	0, 	2, 	19.2246, 	8.26503, 	0, 	28, 	-7.10543e-17, 	(0.0202955,-0.0556445);
18:30:50.514, 	1, 	1, 	18.6362, 	14.0437, 	0, 	32, 	-7.10543e-17, 	(0.199628,0.580955);(0.288701,-1.18891);(-0.860992,1.64276);(1.20271,-1.03089);
18:30:50.582, 	0, 	2, 	19.9999, 	9.80248, 	0, 	32, 	-7.10543e-17, 	(0.0234011,-0.057443);
18:30:50.628, 	1, 	1, 	18.9947, 	13.278, 	0, 	36, 	-7.10543e-17, 	(0.934059,0.210924);(-0.994074,-1.02854);(0.72503,1.03046);(-0.192764,-1.0667);
18:30:50.682, 	0, 	2, 	19.4069, 	8.86437, 	0, 	36, 	-7.10543e-17, 	(0.0227114,0.056112);
18:30:50.728, 	1, 	1, 	19.6867, 	12.9652, 	0, 	40, 	-7.10543e-17, 	(0.60163,-0.581478);(-1.30621,0.479004);(1.03857,-0.219262);(-0.894127,-0.272133);
18:30:50.782, 	0, 	2, 	17.4865, 	9.15446, 	0, 	40, 	-7.10543e-17, 	(0.0430366,0.0239088);
18:30:50.815, 	1, 	1, 	19.1459, 	13.3301, 	0, 	44, 	-7.10543e-17, 	(0.421356,-0.68529);(-1.27878,0.719699);(1.65844,-0.470527);(-1.49841,-0.208776);
18:30:50.882, 	0, 	2, 	18.2868, 	8.49904, 	0, 	44, 	-7.10543e-17, 	(-0.0365581,-0.0275027);
18:30:50.916, 	1, 	1, 	19.2643, 	14.4741, 	0, 	48, 	-7.10543e-17, 	(0.410412,-0.375957);(-0.979408,-0.0351103);(1.74208,0.432361);(-1.27198,-0.865609);
18:30:50.982, 	0, 	2, 	18.0638, 	7.87147, 	0, 	48, 	-7.10543e-17, 	(0.0478066,-0.0217396);
18:30:51.017, 	1, 	1, 	19.9558, 	16.01, 	0, 	48, 	-7.10543e-17, 	(-0.904235,0.0587985);(1.32727,0.665052);(-1.21637,-0.903424);(0.629665,1.14762);
18:30:51.082, 	0, 	2, 	19.1639, 	9.34246, 	0, 	48, 	-7.10543e-17, 	(-0.0565482,0.00343539);
18:30:51.116, 	1, 	1, 	19.688, 	12.7526, 	0, 	48, 	-7.10543e-17, 	(0.566228,0.36983);(-0.454371,-1.15637);(0.244359,1.84337);(0.380421,-1.53766);
18:30:51.182, 	0, 	2, 	18.1781, 	8.24184, 	0, 	48, 	-7.10543e-17, 	(0.0456113,0.024949);
18:30:51.216, 	1, 	1, 	19.8643, 	14.6322, 	0, 	48, 	-7.10543e-17, 	(-0.531176,-0.469081);(0.383016,1.28379);(-0.071977,-1.82569);(-0.557064,1.48196);
18:30:51.282, 	0, 	2, 	19.6222, 	8.64187, 	0, 	48, 	-7.10543e-17, 	(-0.00829063,0.0596749);
18:30:51.317, 	0, 	1, 	20.1568, 	11.0744, 	0, 	52, 	-7.10543e-17, 	(-0.260557,0.865399);(0.97492,-0.925228);(-0.840591,0.600937);(0.892911,-0.128188);
18:30:51.383, 	1, 	2, 	19.5889, 	22.4245, 	1, 	52, 	0.304, 	(0.351483,0.0919819);
18:30:51.428, 	1, 	1, 	20.7609, 	13.9962, 	0, 	48, 	0.304, 	(0.751116,-0.509162);(-1.48757,-0.167004);(1.6897,0.37281);(-1.18565,-0.811704);
18:30:51.483, 	1, 	2, 	19.3562, 	19.8592, 	1, 	48, 	0.608, 	(-0.185763,0.0744373);
18:30:51.517, 	1, 	1, 	18.8757, 	14.2198, 	0, 	44, 	0.608, 	(-0.482018,-0.019571);(0.942556,0.582808);(-1.06735,-1.37903);(0.446667,1.57119);
18:30:51.583, 	0, 	2, 	20.4023, 	15.7873, 	0, 	44, 	0.608, 	(0.0342652,-0.0239743);
18:30:51.619, 	0, 	1, 	18.5448, 	12.5569, 	0, 	48, 	0.608, 	(-0.0466655,-0.633854);(-0.55888,1.11123);(1.25122,-1.32687);(-1.44524,0.733744);
18:30:51.683, 	0, 	2, 	18.2302, 	12.2246, 	0, 	48, 	0.608, 	(0.0320946,0.0674127);
