(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
20:23:38.290, 	0, 	1, 	9.54893, 	12.0847, 	0, 	72, 	0.304, 	(-0.443567,0.0783007);(0.268864,-0.257348);(0.111467,-0.0222756);(0.0933996,0.0548074);
20:23:38.308, 	1, 	1, 	16.573, 	11.7892, 	0, 	68, 	0.304, 	(-0.383993,-0.47236);(0.878019,0.309809);(-0.374853,0.43176);(-0.136794,-0.22077);
20:23:38.328, 	1, 	1, 	14.0888, 	10.4557, 	0, 	64, 	0.304, 	(-0.0475308,-0.0544113);(-0.0130198,0.466515);(-0.314932,-0.301239);(0.400341,-0.245933);
20:23:38.366, 	1, 	2, 	14.3322, 	16.6365, 	1, 	60, 	0.608, 	(-0.00590549,-0.147701);
20:23:38.382, 	1, 	2, 	12.2381, 	16.3525, 	1, 	56, 	0.912, 	(-0.0428331,0.0369483);
20:23:38.403, 	1, 	2, 	16.7025, 	21.4967, 	1, 	52, 	1.216, 	(-0.0640818,-0.217599);
20:23:38.423, 	1, 	2, 	12.9761, 	18.1651, 	1, 	48, 	1.52, 	(-0.130718,-0.0613497);
20:23:38.443, 	0, 	2, 	13.1154, 	11.3782, 	1, 	48, 	1.52, 	(0.0256151,-0.0654209);
20:23:38.463, 	1, 	2, 	13.893, 	17.7586, 	1, 	44, 	1.52, 	(0.155073,0.126584);
20:23:38.483, 	1, 	2, 	15.8517, 	18.932, 	1, 	40, 	1.824, 	(-0.164034,-0.0832882);
20:23:38.503, 	1, 	2, 	15.5873, 	18.2158, 	1, 	36, 	2.128, 	(0.162499,0.152356);
20:23:38.523, 	1, 	2, 	16.0837, 	17.3545, 	1, 	32, 	2.432, 	(0.0763288,-0.169972);
20:23:38.543, 	1, 	2, 	15.8676, 	17.9892, 	1, 	28, 	2.736, 	(-0.0212979,-0.217491);
20:23:38.563, 	0, 	2, 	15.2819, 	16.333, 	1, 	28, 	2.736, 	(0.0510566,0.117978);
20:23:38.583, 	1, 	2, 	15.5784, 	14.6632, 	1, 	28, 	2.432, 	(0.00751348,0.153128);
20:23:38.603, 	1, 	2, 	15.0737, 	17.2697, 	1, 	28, 	2.432, 	(-0.184626,0.0424906);
20:23:38.623, 	1, 	2, 	15.3453, 	18.1131, 	1, 	28, 	2.432, 	(-0.16983,-0.0904466);
20:23:38.643, 	1, 	2, 	16.1218, 	17.7972, 	1, 	24, 	2.736, 	(-0.185352,-0.0757449);
20:23:38.663, 	1, 	2, 	16.6024, 	19.6505, 	1, 	20, 	2.736, 	(0.029169,-0.193529);
20:23:38.684, 	1, 	2, 	18.2254, 	18.713, 	1, 	20, 	2.736, 	(0.132825,-0.121488);
20:23:38.704, 	1, 	2, 	17.7426, 	18.617, 	1, 	20, 	2.736, 	(0.146516,-0.0649045);
20:23:38.724, 	1, 	2, 	20.3003, 	21.5414, 	1, 	16, 	2.736, 	(0.0194684,0.244505);
20:23:38.744, 	1, 	2, 	16.4047, 	20.5784, 	1, 	16, 	2.736, 	(0.0491852,-0.275547);
20:23:38.764, 	1, 	2, 	19.4547, 	20.7124, 	1, 	16, 	3.04, 	(0.278118,-0.106484);
20:23:38.784, 	1, 	2, 	20.1412, 	22.3433, 	1, 	12, 	3.04, 	(-0.250237,0.188573);
20:23:38.804, 	1, 	2, 	20.9838, 	21.8185, 	1, 	8, 	3.04, 	(-0.00835774,-0.177079);
20:23:38.824, 	1, 	2, 	18.4764, 	20.9256, 	1, 	8, 	3.04, 	(-0.187397,-0.272801);
20:23:38.844, 	1, 	2, 	19.8022, 	21.1816, 	1, 	8, 	3.04, 	(-0.101746,0.332325);
20:23:38.864, 	1, 	2, 	21.6215, 	23.1332, 	1, 	8, 	3.04, 	(-0.360714,-0.129288);
20:23:38.884, 	1, 	2, 	21.8213, 	22.9032, 	1, 	8, 	3.04, 	(-0.377092,-0.0953643);
20:23:38.905, 	1, 	2, 	22.2359, 	23.1361, 	1, 	8, 	3.04, 	(-0.132858,-0.357462);
20:23:38.925, 	1, 	2, 	18.6565, 	22.4592, 	1, 	8, 	3.04, 	(-0.373799,-0.150462);
20:23:38.945, 	1, 	2, 	21.7602, 	23.1427, 	1, 	4, 	3.04, 	(0.0109688,0.301993);
20:23:38.965, 	1, 	2, 	23.2809, 	24.1226, 	1, 	4, 	3.04, 	(0.0804174,0.25663);
20:23:38.985, 	1, 	2, 	24.8674, 	23.5739, 	1, 	4, 	3.04, 	(0.0863212,0.433246);
20:23:39.005, 	1, 	2, 	20.1224, 	22.696, 	1, 	4, 	3.04, 	(-0.336821,-0.293836);
20:23:39.025, 	1, 	2, 	21.5211, 	22.996, 	1, 	4, 	3.04, 	(-0.232873,-0.407487);
20:23:39.045, 	1, 	2, 	25.7238, 	23.8354, 	1, 	4, 	3.04, 	(-0.229063,-0.229214);
20:23:39.066, 	1, 	2, 	26.361, 	25.2892, 	1, 	-1.38778e-15, 	3.04, 	(-0.182722,-0.459322);
20:23:39.086, 	1, 	2, 	26.3425, 	24.6, 	1, 	-1.38778e-15, 	3.04, 	(-0.130829,-0.448077);
20:23:39.106, 	1, 	2, 	23.2365, 	24.8662, 	1, 	-1.38778e-15, 	3.04, 	(0.571595,-0.0145434);
20:23:39.126, 	1, 	2, 	24.7954, 	24.4606, 	1, 	-1.38778e-15, 	3.04, 	(0.0701975,0.589522);
20:23:39.146, 	1, 	2, 	26.606, 	25.3679, 	1, 	-1.38778e-15, 	3.04, 	(0.567632,0.0288728);
20:23:39.166, 	1, 	2, 	19.1535, 	22.7698, 	1, 	-1.38778e-15, 	3.04, 	(0.50954,-0.261929);
20:23:39.186, 	1, 	2, 	26.9999, 	24.393, 	1, 	-1.38778e-15, 	3.04, 	(0.0401095,-0.522224);
20:23:39.206, 	1, 	2, 	25.7715, 	25.4911, 	1, 	-1.38778e-15, 	3.04, 	(-0.463984,0.394273);
20:23:39.226, 	1, 	2, 	26.8472, 	24.8436, 	1, 	-1.38778e-15, 	3.04, 	(-0.499003,0.370824);
20:23:39.246, 	1, 	2, 	27.7673, 	25.749, 	1, 	-1.38778e-15, 	3.04, 	(0.182529,-0.570326);
20:23:39.267, 	1, 	2, 	28.2909, 	24.9335, 	1, 	-1.38778e-15, 	3.04, 	(0.179907,0.555125);
20:23:39.288, 	1, 	2, 	27.2812, 	24.5309, 	1, 	-1.38778e-15, 	3.04, 	(0.121063,0.416719);
20:23:39.306, 	1, 	2, 	25.719, 	24.7219, 	1, 	-1.38778e-15, 	3.04, 	(0.624611,0.0476169);
20:23:39.327, 	1, 	2, 	27.2672, 	24.6954, 	1, 	-1.38778e-15, 	3.04, 	(0.301699,-0.202526);
20:23:39.346, 	1, 	2, 	29.7625, 	25.5612, 	1, 	-1.38778e-15, 	3.04, 	(-0.63896,0.106606);
20:23:39.366, 	1, 	2, 	28.9864, 	25.4398, 	1, 	-1.38778e-15, 	3.04, 	(0.581024,0.215577);
20:23:39.387, 	1, 	2, 	29.1647, 	25.9107, 	1, 	-1.38778e-15, 	3.04, 	(-0.311286,-0.445369);
20:23:39.407, 	1, 	2, 	27.7267, 	25.6264, 	1, 	-1.38778e-15, 	3.04, 	(-0.416719,0.000429626);
20:23:39.427, 	1, 	2, 	20.0867, 	23.5373, 	1, 	-1.38778e-15, 	3.04, 	(-0.393999,-0.640488);
20:23:39.447, 	1, 	2, 	30.1101, 	24.8834, 	1, 	-1.38778e-15, 	3.04, 	(0.241745,-0.612696);
20:23:39.467, 	1, 	2, 	25.7698, 	25.8705, 	1, 	-1.38778e-15, 	3.04, 	(0.614846,-0.624729);
20:23:39.487, 	1, 	2, 	29.7962, 	26.5592, 	1, 	-1.38778e-15, 	3.04, 	(0.413908,0.772188);
20:23:39.507, 	1, 	2, 	19.8972, 	24.1172, 	1, 	-1.38778e-15, 	3.04, 	(0.78686,-0.322866);
20:23:39.527, 	1, 	2, 	29.0362, 	26.0357, 	1, 	-1.38778e-15, 	3.04, 	(0.137792,-0.776995);
20:23:39.547, 	1, 	2, 	29.643, 	25.4415, 	1, 	-1.38778e-15, 	3.04, 	(0.104516,-0.715089);
20:23:39.567, 	1, 	2, 	28.996, 	26.5838, 	1, 	-1.38778e-15, 	3.04, 	(-0.952945,0.144908);
20:23:39.587, 	1, 	2, 	19.9317, 	23.1828, 	1, 	-1.38778e-15, 	3.04, 	(-0.891724,-0.210956);
20:23:39.607, 	1, 	2, 	21.9238, 	25.1431, 	1, 	-1.38778e-15, 	3.04, 	(0.772388,-0.553578);
20:23:39.628, 	1, 	2, 	24.9316, 	25.7436, 	1, 	-1.38778e-15, 	3.04, 	(0.625999,0.759153);
20:23:39.648, 	1, 	2, 	27.3903, 	26.1775, 	1, 	-1.38778e-15, 	3.04, 	(0.678741,0.713345);
20:23:39.668, 	1, 	2, 	19.0287, 	23.1084, 	1, 	-1.38778e-15, 	3.04, 	(-0.512372,-0.815593);
20:23:39.688, 	1, 	2, 	21.6733, 	21.8787, 	1, 	-1.38778e-15, 	3.04, 	(0.728247,-0.287407);
20:23:39.708, 	1, 	2, 	23.8327, 	26.0935, 	1, 	-1.38778e-15, 	3.04, 	(-0.853361,0.571252);
20:23:39.728, 	1, 	2, 	28.3123, 	26.1348, 	1, 	-1.38778e-15, 	3.04, 	(1.02075,-0.162001);
20:23:39.748, 	1, 	2, 	30.3683, 	25.2582, 	1, 	-1.38778e-15, 	3.04, 	(-0.927032,0.322673);
20:23:39.768, 	1, 	2, 	20.1241, 	24.4531, 	1, 	-1.38778e-15, 	3.04, 	(0.195158,0.943676);
20:23:39.788, 	1, 	2, 	31.3742, 	25.1858, 	1, 	-1.38778e-15, 	3.04, 	(-0.744138,0.264307);
20:23:39.808, 	1, 	2, 	26.1562, 	23.8686, 	1, 	-1.38778e-15, 	3.04, 	(-0.721272,0.404568);
20:23:39.829, 	1, 	2, 	29.2586, 	26.1321, 	1, 	-1.38778e-15, 	3.04, 	(-0.882864,0.211434);
20:23:39.851, 	1, 	2, 	32.206, 	26.0947, 	1, 	-1.38778e-15, 	3.04, 	(0.805806,0.382306);
20:23:39.868, 	1, 	2, 	22.4897, 	25.5225, 	1, 	-1.38778e-15, 	3.04, 	(-0.208522,0.940232);
20:23:39.889, 	1, 	2, 	29.4298, 	24.2826, 	1, 	-1.38778e-15, 	3.04, 	(-0.318655,-0.611035);
20:23:39.909, 	1, 	2, 	28.5507, 	24.7429, 	1, 	-1.38778e-15, 	3.04, 	(0.713816,0.205387);
20:23:39.929, 	1, 	2, 	30.9285, 	26.22, 	1, 	-1.38778e-15, 	3.04, 	(-0.638197,0.355537);
20:23:39.949, 	1, 	2, 	31.1872, 	24.8627, 	1, 	-1.38778e-15, 	3.04, 	(0.336099,-0.561016);
20:23:39.969, 	1, 	2, 	25.0624, 	24.7697, 	1, 	-1.38778e-15, 	3.04, 	(-0.603591,-0.408825);
20:23:39.989, 	1, 	2, 	28.1569, 	26.0418, 	1, 	-1.38778e-15, 	3.04, 	(0.788745,-0.268593);
20:23:40.009, 	1, 	2, 	30.3795, 	26.2477, 	1, 	-1.38778e-15, 	3.04, 	(0.185122,0.75225);
20:23:40.030, 	1, 	2, 	22.7533, 	24.7899, 	1, 	-1.38778e-15, 	3.04, 	(-0.580426,-0.578577);
20:23:40.050, 	1, 	2, 	25.6474, 	23.1279, 	1, 	-1.38778e-15, 	3.04, 	(0.283035,0.448896);
20:23:40.069, 	1, 	2, 	28.6497, 	22.3915, 	1, 	-1.38778e-15, 	3.04, 	(0.234383,0.217544);
20:23:40.089, 	1, 	2, 	19.2852, 	21.9179, 	1, 	-1.38778e-15, 	3.04, 	(-0.332271,-0.318423);
20:23:40.113, 	1, 	2, 	28.2311, 	22.9665, 	1, 	-1.38778e-15, 	3.04, 	(0.358756,0.298224);
20:23:40.130, 	1, 	2, 	27.8168, 	23.2459, 	1, 	-1.38778e-15, 	3.04, 	(-0.330825,-0.195443);
20:23:40.149, 	1, 	2, 	25.9085, 	22.1297, 	1, 	-1.38778e-15, 	3.04, 	(0.0458823,-0.306093);
20:23:40.170, 	1, 	2, 	18.806, 	22.3917, 	1, 	-1.38778e-15, 	3.04, 	(0.433529,-0.363095);
20:23:40.190, 	1, 	2, 	26.6134, 	23.9725, 	1, 	-1.38778e-15, 	3.04, 	(-0.453878,-0.245417);
20:23:40.211, 	1, 	2, 	25.6605, 	23.9899, 	1, 	-1.38778e-15, 	3.04, 	(-0.410422,0.196056);
20:23:40.230, 	1, 	2, 	25.3548, 	22.1557, 	1, 	-1.38778e-15, 	3.04, 	(-0.439034,0.0345533);
20:23:40.250, 	1, 	2, 	25.1818, 	24.3459, 	1, 	-1.38778e-15, 	3.04, 	(-0.228733,0.190283);
20:23:40.270, 	1, 	2, 	25.9204, 	23.0679, 	1, 	-1.38778e-15, 	3.04, 	(-0.0142546,0.438744);
20:23:40.291, 	1, 	2, 	21.7443, 	14.4975, 	1, 	-1.38778e-15, 	3.04, 	(-0.0700248,0.0980167);
20:23:40.310, 	1, 	2, 	23.9948, 	22.6975, 	1, 	-1.38778e-15, 	3.04, 	(0.256893,0.16946);
20:23:40.331, 	1, 	2, 	24.211, 	23.4011, 	1, 	-1.38778e-15, 	3.04, 	(-0.332772,-0.244266);
20:23:40.350, 	1, 	2, 	23.7153, 	23.7904, 	1, 	-1.38778e-15, 	3.04, 	(0.383104,0.100588);
20:23:40.371, 	1, 	2, 	21.4504, 	21.9852, 	1, 	-1.38778e-15, 	3.04, 	(-0.283925,0.292814);
20:23:40.391, 	1, 	2, 	22.5448, 	22.5736, 	1, 	-1.38778e-15, 	3.04, 	(-0.0164318,-0.388041);
20:23:40.411, 	1, 	2, 	22.1518, 	22.1178, 	1, 	-1.38778e-15, 	3.04, 	(0.135051,-0.333665);
20:23:40.431, 	1, 	2, 	19.0237, 	20.8571, 	1, 	-1.38778e-15, 	3.04, 	(-0.118182,-0.308973);
20:23:40.451, 	1, 	2, 	19.3444, 	20.3984, 	1, 	-1.38778e-15, 	3.04, 	(0.0844883,0.310985);
20:23:40.471, 	1, 	2, 	20.0595, 	18.4062, 	1, 	-1.38778e-15, 	3.04, 	(-0.034047,-0.220063);
20:23:40.491, 	1, 	2, 	20.2273, 	21.0787, 	1, 	-1.38778e-15, 	3.04, 	(0.0858208,-0.146014);
20:23:40.511, 	1, 	2, 	20.9561, 	19.8329, 	1, 	-1.38778e-15, 	3.04, 	(-0.104399,-0.243713);
20:23:40.531, 	1, 	2, 	19.8281, 	19.3821, 	1, 	-1.38778e-15, 	3.04, 	(-0.00171752,-0.232789);
20:23:40.551, 	1, 	2, 	19.4101, 	19.4023, 	1, 	-1.38778e-15, 	3.04, 	(-0.133393,0.130465);
20:23:40.571, 	1, 	2, 	16.8883, 	18.786, 	1, 	-1.38778e-15, 	3.04, 	(0.215252,0.0505233);
20:23:40.591, 	1, 	2, 	17.4829, 	14.9745, 	1, 	-1.38778e-15, 	3.04, 	(-0.0664279,-0.0619112);
20:23:40.612, 	1, 	2, 	18.2291, 	19.0329, 	1, 	-1.38778e-15, 	3.04, 	(0.0674638,0.221959);
20:23:40.632, 	1, 	2, 	16.2329, 	17.0164, 	1, 	-1.38778e-15, 	3.04, 	(0.136598,0.0476203);
20:23:40.652, 	1, 	2, 	16.506, 	18.7531, 	1, 	-1.38778e-15, 	3.04, 	(-0.204487,-0.121888);
20:23:40.672, 	1, 	2, 	17.1836, 	17.3235, 	1, 	-1.38778e-15, 	3.04, 	(-0.162924,-0.0992086);
20:23:40.692, 	1, 	2, 	15.0812, 	18.0304, 	1, 	-1.38778e-15, 	3.04, 	(0.0930957,-0.123961);
20:23:40.712, 	1, 	2, 	17.1807, 	18.6474, 	1, 	-1.38778e-15, 	3.04, 	(-0.0569404,-0.201278);
20:23:40.732, 	1, 	2, 	14.6883, 	15.8462, 	1, 	-1.38778e-15, 	3.04, 	(0.0667586,-0.151791);
20:23:40.752, 	1, 	2, 	16.3169, 	15.6424, 	1, 	-1.38778e-15, 	3.04, 	(-0.0159343,0.139753);
20:23:40.772, 	1, 	2, 	16.6368, 	18.5732, 	1, 	-1.38778e-15, 	3.04, 	(0.00657831,-0.191244);
20:23:40.792, 	1, 	2, 	12.8603, 	15.6294, 	1, 	-1.38778e-15, 	3.04, 	(-0.133422,-0.00484015);
20:23:40.812, 	1, 	2, 	13.2015, 	15.1739, 	1, 	-1.38778e-15, 	3.04, 	(0.0498348,-0.117278);
20:23:40.832, 	1, 	2, 	15.7178, 	17.6358, 	1, 	-1.38778e-15, 	3.04, 	(0.11617,0.133569);
20:23:40.852, 	1, 	2, 	15.6509, 	16.2239, 	1, 	-1.38778e-15, 	3.04, 	(-0.0858483,0.117381);
20:23:40.873, 	1, 	2, 	14.902, 	18.2396, 	1, 	-1.38778e-15, 	3.04, 	(0.0508905,-0.208438);
20:23:40.893, 	1, 	2, 	14.182, 	17.1239, 	1, 	-1.38778e-15, 	3.04, 	(-0.172355,0.0251001);
20:23:40.913, 	1, 	2, 	15.9313, 	20.1239, 	1, 	-1.38778e-15, 	3.04, 	(-0.0855876,-0.252292);
20:23:40.933, 	1, 	2, 	14.3721, 	19.0144, 	1, 	-1.38778e-15, 	3.04, 	(-0.132766,-0.0739095);
20:23:40.953, 	1, 	2, 	15.3703, 	17.7828, 	1, 	-1.38778e-15, 	3.04, 	(0.0491353,-0.19042);
20:23:40.979, 	1, 	2, 	16.6493, 	17.0371, 	1, 	-1.38778e-15, 	3.04, 	(0.171523,0.0847597);
20:23:40.993, 	0, 	2, 	15.6325, 	15.8141, 	1, 	-1.38778e-15, 	3.04, 	(-0.0956421,-0.065751);
20:23:41.022, 	1, 	1, 	17.0117, 	14.6851, 	0, 	4, 	2.432, 	(0.0411105,-0.59432);(-0.459447,0.2229);(0.206942,0.0658804);(-0.0119592,0.0585344);
20:23:41.074, 	1, 	2, 	11.9993, 	16.5148, 	1, 	4, 	2.432, 	(0.125524,-0.00703375);
20:23:41.094, 	1, 	2, 	17.4446, 	17.8626, 	1, 	4, 	2.432, 	(0.101643,-0.179854);
20:23:41.114, 	1, 	2, 	10.1471, 	15.9185, 	1, 	4, 	2.432, 	(-0.0825792,0.112857);
20:23:41.134, 	1, 	2, 	12.4484, 	14.2146, 	1, 	4, 	2.432, 	(0.0486921,-0.0756623);
