(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:37:14.580, 	1, 	2, 	20.1538, 	24.6408, 	1, 	12, 	2.432, 	(0.105696,0.501368);
14:37:14.601, 	1, 	2, 	19.3698, 	25.9087, 	1, 	12, 	2.432, 	(-0.283557,0.288271);
14:37:14.621, 	1, 	2, 	18.2414, 	24.2137, 	1, 	12, 	2.432, 	(0.754015,-0.160838);
14:37:14.641, 	0, 	2, 	19.4988, 	16.3166, 	1, 	12, 	2.432, 	(0.207121,-0.17978);
14:37:14.661, 	1, 	2, 	21.8778, 	25.5755, 	1, 	16, 	2.432, 	(-0.733254,0.05569);
14:37:14.673, 	1, 	1, 	22.3745, 	16.9664, 	0, 	16, 	2.128, 	(0.763302,1.19708);(-1.73883,-0.597162);(0.721234,-1.09138);(0.70613,0.955408);
14:37:14.701, 	1, 	2, 	23.078, 	25.3599, 	1, 	16, 	2.432, 	(-0.458836,-0.39836);
14:37:14.723, 	1, 	2, 	21.8174, 	26.0068, 	1, 	16, 	2.432, 	(0.724741,0.267162);
14:37:14.742, 	1, 	2, 	22.7503, 	25.9283, 	1, 	16, 	2.432, 	(-0.115618,0.706747);
14:37:14.762, 	1, 	2, 	22.5036, 	19.715, 	1, 	16, 	2.432, 	(-0.412746,0.0832634);
14:37:14.782, 	1, 	2, 	23.8674, 	24.4348, 	1, 	16, 	2.432, 	(0.143539,0.544769);
14:37:14.802, 	1, 	2, 	22.3503, 	26.3257, 	1, 	16, 	2.432, 	(-0.325093,-0.298795);
14:37:14.822, 	1, 	2, 	24.8308, 	25.791, 	1, 	16, 	2.432, 	(0.701855,0.0732595);
14:37:14.843, 	1, 	2, 	21.549, 	26.2323, 	1, 	12, 	2.736, 	(0.0459014,0.790722);
14:37:14.863, 	1, 	2, 	22.3868, 	25.6384, 	1, 	8, 	2.736, 	(-0.391008,0.301794);
14:37:14.883, 	1, 	2, 	18.3596, 	23.9498, 	1, 	8, 	3.04, 	(-0.726201,0.26549);
14:37:14.903, 	1, 	2, 	21.5958, 	25.2873, 	1, 	8, 	3.04, 	(0.741873,-0.35176);
14:37:14.923, 	1, 	2, 	22.4142, 	25.2873, 	1, 	8, 	3.04, 	(0.741873,-0.35176);
14:37:14.943, 	1, 	2, 	24.6262, 	25.2599, 	1, 	8, 	3.04, 	(0.00132846,0.770515);
14:37:14.963, 	1, 	2, 	19.7289, 	24.1955, 	1, 	4, 	3.04, 	(-0.584642,-0.529695);
14:37:14.984, 	1, 	2, 	22.954, 	26.1914, 	1, 	4, 	3.04, 	(-0.824475,0.12134);
14:37:15.004, 	1, 	2, 	24.9762, 	26.1792, 	1, 	4, 	3.04, 	(-0.486561,0.0277324);
14:37:15.026, 	1, 	2, 	24.8841, 	26.1942, 	1, 	4, 	3.04, 	(-0.401686,0.629781);
14:37:15.044, 	1, 	2, 	21.3715, 	25.8093, 	1, 	4, 	3.04, 	(0.256124,-0.78265);
14:37:15.064, 	1, 	2, 	25.5122, 	25.1321, 	1, 	4, 	3.04, 	(-0.454874,0.314142);
14:37:15.085, 	1, 	2, 	19.3256, 	24.4249, 	1, 	4, 	3.04, 	(0.695386,0.410997);
14:37:15.105, 	1, 	2, 	21.973, 	25.2503, 	1, 	4, 	3.04, 	(-0.72314,-0.445102);
14:37:15.130, 	1, 	2, 	23.2557, 	26.4597, 	1, 	4, 	3.04, 	(-0.82149,0.231326);
14:37:15.145, 	1, 	2, 	26.4486, 	25.5992, 	1, 	-1.249e-14, 	3.04, 	(-0.764193,0.310855);
14:37:15.165, 	1, 	2, 	18.9076, 	24.5993, 	1, 	-1.249e-14, 	3.04, 	(0.452719,-0.552697);
14:37:15.185, 	1, 	2, 	23.0871, 	25.1415, 	1, 	-1.249e-14, 	3.04, 	(0.656918,-0.506522);
14:37:15.205, 	1, 	2, 	27.5186, 	17.1525, 	1, 	-1.249e-14, 	3.04, 	(0.282765,0.223799);
14:37:15.226, 	1, 	2, 	18.4766, 	23.7036, 	1, 	-1.249e-14, 	3.04, 	(-0.591039,-0.308247);
14:37:15.248, 	1, 	2, 	23.225, 	25.8915, 	1, 	-1.249e-14, 	3.04, 	(0.0996272,0.807318);
14:37:15.266, 	1, 	2, 	24.6958, 	25.2662, 	1, 	-1.249e-14, 	3.04, 	(-0.609933,-0.525909);
14:37:15.286, 	1, 	2, 	25.4945, 	20.4988, 	1, 	-1.249e-14, 	3.04, 	(-0.106487,-0.224437);
14:37:15.306, 	1, 	2, 	26.4969, 	26.212, 	1, 	-1.249e-14, 	3.04, 	(0.415721,-0.538115);
14:37:15.326, 	1, 	2, 	24.176, 	26.1034, 	1, 	-1.249e-14, 	3.04, 	(0.147265,0.784643);
14:37:15.347, 	1, 	2, 	25.4774, 	25.7733, 	1, 	-1.249e-14, 	3.04, 	(0.392051,-0.32689);
14:37:15.369, 	1, 	2, 	27.5284, 	25.8854, 	1, 	-1.249e-14, 	3.04, 	(0.596952,-0.443656);
14:37:15.387, 	1, 	2, 	22.651, 	25.6837, 	1, 	-1.249e-14, 	3.04, 	(-0.828857,0.120163);
14:37:15.407, 	1, 	2, 	26.4657, 	26.4101, 	1, 	-1.249e-14, 	3.04, 	(0.54149,-0.64391);
14:37:15.427, 	1, 	2, 	26.8018, 	26.0448, 	1, 	-1.249e-14, 	3.04, 	(0.370303,0.21851);
14:37:15.448, 	1, 	2, 	28.2508, 	25.8271, 	1, 	-1.249e-14, 	3.04, 	(-0.697169,0.102102);
14:37:15.458, 	1, 	2, 	27.0325, 	25.7007, 	1, 	-1.249e-14, 	3.04, 	(-0.624633,0.166278);
14:37:15.478, 	1, 	2, 	27.1168, 	26.2973, 	1, 	-1.249e-14, 	3.04, 	(-0.452503,-0.682661);
14:37:15.498, 	1, 	2, 	28.213, 	26.6367, 	1, 	-1.249e-14, 	3.04, 	(0.392293,-0.688512);
14:37:15.518, 	1, 	2, 	21.7699, 	25.9153, 	1, 	-1.249e-14, 	3.04, 	(0.094003,-0.840757);
14:37:15.538, 	1, 	2, 	27.1447, 	25.3277, 	1, 	-1.249e-14, 	3.04, 	(-0.580193,-0.101946);
14:37:15.558, 	1, 	2, 	27.8901, 	26.5038, 	1, 	-1.249e-14, 	3.04, 	(-0.504129,0.688399);
14:37:15.578, 	1, 	2, 	21.6204, 	25.0344, 	1, 	-1.249e-14, 	3.04, 	(-0.826145,0.0165741);
14:37:15.598, 	1, 	2, 	27.3017, 	25.3889, 	1, 	-1.249e-14, 	3.04, 	(-0.410563,0.482321);
14:37:15.619, 	1, 	2, 	27.0637, 	26.9688, 	1, 	-1.249e-14, 	3.04, 	(-0.776695,-0.327081);
14:37:15.639, 	1, 	2, 	27.2847, 	26.266, 	1, 	-1.249e-14, 	3.04, 	(0.473544,0.679567);
14:37:15.659, 	1, 	2, 	23.4358, 	26.1465, 	1, 	-1.249e-14, 	3.04, 	(0.0507366,-0.933431);
14:37:15.679, 	1, 	2, 	25.691, 	25.6671, 	1, 	-1.249e-14, 	3.04, 	(-0.523864,0.203913);
14:37:15.699, 	1, 	2, 	28.6236, 	24.0031, 	1, 	-1.249e-14, 	3.04, 	(-0.368015,-0.0163686);
14:37:15.719, 	1, 	2, 	21.6177, 	24.5316, 	1, 	-1.249e-14, 	3.04, 	(0.763631,-0.387434);
14:37:15.739, 	1, 	2, 	24.6102, 	25.2171, 	1, 	-1.249e-14, 	3.04, 	(-0.849005,-0.207606);
14:37:15.759, 	1, 	2, 	27.0726, 	26.8684, 	1, 	-1.249e-14, 	3.04, 	(0.49374,-0.0738715);
