(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
21:52:11.854, 	0, 	2, 	15.8323, 	10.9839, 	0, 	52, 	-7.10543e-17, 	(-0.0517955,0.0609874);
21:52:11.899, 	0, 	1, 	11.5032, 	11.0648, 	0, 	56, 	-7.10543e-17, 	(0.153332,0.00848631);(0.0739082,0.186965);(0.0280542,0.121565);(0.062144,0.149137);
21:52:11.999, 	1, 	1, 	16.8754, 	15.5026, 	0, 	56, 	-7.10543e-17, 	(0.220369,-0.0535229);(0.219383,0.135725);(0.101607,0.0329072);(0.0840419,0.076658);
21:52:12.055, 	0, 	2, 	17.6586, 	10.6645, 	0, 	56, 	-7.10543e-17, 	(0.0326953,0.0536506);
21:52:12.099, 	1, 	1, 	18.2511, 	17.7667, 	0, 	56, 	-7.10543e-17, 	(-0.271752,-0.162122);(-0.0868371,-0.393762);(-0.0915009,-0.502246);(-0.120974,-0.541066);
21:52:12.155, 	1, 	2, 	14.6505, 	15.3417, 	1, 	56, 	0.304, 	(-0.148621,0.0197104);
21:52:12.217, 	0, 	1, 	-2.85164, 	2.20347, 	1, 	56, 	0.304, 	(-0.0258164,-0.00117902);(-0.00114165,-0.0107669);(-0.0099719,-0.00863641);(-0.024939,0.00814726);
21:52:12.250, 	0, 	1, 	10.2128, 	8.20416, 	0, 	56, 	0.304, 	(-0.0567566,0.00383529);(-0.115203,-0.0770565);(-0.0293086,-0.0793033);(0.00901845,-0.0484187);
21:52:12.300, 	1, 	1, 	13.4779, 	11.6718, 	0, 	56, 	0.304, 	(-0.0197971,0.204692);(0.0808307,0.168186);(-0.0686167,0.102028);(0.0500591,0.0221822);
21:52:12.356, 	0, 	2, 	15.9517, 	5.07317, 	0, 	56, 	0.304, 	(0.0189278,0.00368136);
21:52:12.400, 	1, 	1, 	19.1213, 	18.4486, 	0, 	56, 	0.304, 	(-0.0309975,0.238941);(-0.314143,0.29126);(-0.0908088,0.149727);(-0.0732197,0.20365);
21:52:12.456, 	1, 	2, 	17.6587, 	19.158, 	1, 	52, 	0.608, 	(0.195704,-0.111365);
21:52:12.516, 	1, 	2, 	16.8015, 	18.0201, 	1, 	52, 	0.912, 	(-0.231878,-0.00279);
21:52:12.557, 	0, 	2, 	17.8932, 	4.87453, 	1, 	52, 	0.912, 	(0.0161774,-0.0282705);
21:52:12.600, 	1, 	1, 	21.5717, 	16.96, 	0, 	48, 	0.912, 	(-0.476835,-0.0844933);(-0.479468,0.393057);(-0.324912,-0.0273122);(-0.200928,0.3162);
21:52:12.657, 	1, 	2, 	19.3039, 	16.6853, 	1, 	44, 	0.912, 	(-0.00370182,0.0859407);
21:52:12.726, 	0, 	2, 	17.9839, 	16.383, 	1, 	44, 	0.912, 	(-0.0321457,0.0594228);
21:52:12.751, 	1, 	1, 	22.0349, 	18.8478, 	0, 	44, 	0.912, 	(-0.801265,0.126871);(-0.0102369,0.790617);(-0.750997,0.0575106);(0.375385,0.605562);
21:52:12.817, 	0, 	2, 	18.439, 	14.1473, 	0, 	44, 	0.912, 	(-0.1111,0.0593412);
21:52:12.851, 	1, 	1, 	20.0597, 	15.749, 	0, 	44, 	0.912, 	(0.300903,-0.192754);(-1.02445,0.43675);(0.644585,0.212802);(-0.573416,0.936021);
21:52:12.918, 	0, 	2, 	23.3824, 	18.7958, 	0, 	44, 	0.912, 	(-0.0592063,-0.147826);
21:52:12.951, 	1, 	1, 	19.807, 	17.3467, 	0, 	44, 	0.608, 	(-0.270301,0.670508);(-0.211259,-0.194434);(-0.587278,0.892259);(0.116017,0.38764);
21:52:13.019, 	1, 	2, 	15.3058, 	16.4603, 	1, 	44, 	0.608, 	(-0.0522372,0.0321897);
21:52:13.058, 	1, 	2, 	21.786, 	20.4039, 	1, 	40, 	0.912, 	(0.118292,-0.209474);
21:52:13.119, 	1, 	2, 	24.2124, 	23.0048, 	1, 	40, 	1.216, 	(-0.0536196,0.332764);
21:52:13.159, 	1, 	2, 	18.3008, 	18.1538, 	1, 	36, 	1.216, 	(0.0655391,0.176796);
21:52:13.219, 	1, 	2, 	19.0505, 	18.8197, 	1, 	32, 	1.52, 	(0.212911,0.0271273);
21:52:13.259, 	1, 	2, 	14.2576, 	14.2506, 	1, 	32, 	1.824, 	(-0.118979,-0.0397313);
21:52:13.320, 	0, 	2, 	12.7565, 	11.2525, 	1, 	32, 	1.824, 	(0.0896931,0.0121469);
21:52:13.352, 	1, 	1, 	20.7418, 	16.9064, 	0, 	32, 	1.824, 	(0.00161348,0.672024);(0.246738,0.186981);(-0.0684322,0.399067);(0.223686,-0.30606);
21:52:13.420, 	1, 	2, 	23.8997, 	22.6515, 	1, 	32, 	2.128, 	(0.236811,-0.0878161);
21:52:13.461, 	1, 	2, 	24.2506, 	22.2933, 	1, 	28, 	2.432, 	(0.125821,-0.174664);
21:52:13.521, 	1, 	2, 	23.3754, 	24.5971, 	1, 	24, 	2.432, 	(0.32429,0.254158);
21:52:13.561, 	1, 	2, 	23.7276, 	22.4351, 	1, 	24, 	2.432, 	(-0.250132,0.156588);
21:52:13.621, 	1, 	2, 	18.3265, 	20.809, 	1, 	20, 	2.432, 	(-0.354733,-0.0341154);
21:52:13.661, 	1, 	2, 	23.6624, 	10.8633, 	1, 	20, 	2.432, 	(-0.0191159,-0.0876503);
21:52:13.721, 	1, 	2, 	23.8668, 	15.6991, 	1, 	20, 	2.432, 	(-0.0777411,-0.0817609);
21:52:13.761, 	1, 	2, 	22.4536, 	18.7596, 	1, 	20, 	2.432, 	(0.00812034,0.0344321);
21:52:13.821, 	1, 	2, 	22.4404, 	19.0252, 	1, 	16, 	2.736, 	(-0.0333117,-0.202518);
21:52:13.861, 	1, 	2, 	22.2151, 	23.0471, 	1, 	16, 	3.04, 	(0.434312,0.062823);
21:52:13.922, 	1, 	2, 	26.7995, 	23.6467, 	1, 	16, 	3.04, 	(0.373547,0.225917);
21:52:13.962, 	1, 	2, 	29.0173, 	24.5771, 	1, 	12, 	3.04, 	(0.339846,-0.441825);
21:52:14.024, 	1, 	2, 	28.3488, 	23.9215, 	1, 	12, 	3.04, 	(-0.518948,0.0128369);
21:52:14.063, 	1, 	2, 	29.738, 	25.4984, 	1, 	8, 	3.04, 	(0.572944,0.279079);
21:52:14.123, 	1, 	2, 	21.2685, 	22.7967, 	1, 	8, 	3.04, 	(0.210078,-0.789335);
21:52:14.163, 	1, 	2, 	28.4789, 	25.2183, 	1, 	4, 	3.04, 	(-0.722502,0.368308);
21:52:14.224, 	1, 	2, 	28.3733, 	26.2926, 	1, 	4, 	3.04, 	(0.159117,0.803643);
21:52:14.263, 	1, 	2, 	34.0215, 	21.3426, 	1, 	4, 	3.04, 	(-0.112661,0.117995);
21:52:14.323, 	1, 	2, 	21.4088, 	21.512, 	1, 	4, 	3.04, 	(0.110013,-0.258751);
21:52:14.364, 	1, 	2, 	26.4774, 	19.9461, 	1, 	4, 	3.04, 	(0.191802,-0.181055);
21:52:14.424, 	1, 	2, 	26.4418, 	21.5579, 	1, 	4, 	3.04, 	(0.127964,0.0880962);
21:52:14.464, 	1, 	2, 	22.0814, 	20.5653, 	1, 	4, 	3.04, 	(-0.382443,-0.345715);
21:52:14.524, 	1, 	2, 	20.5082, 	20.187, 	1, 	4, 	3.04, 	(-0.0592945,-0.286609);
21:52:14.564, 	1, 	2, 	25.52, 	24.5181, 	1, 	-1.38778e-15, 	3.04, 	(-0.2078,0.358687);
21:52:14.625, 	1, 	2, 	23.2171, 	21.1626, 	1, 	-1.38778e-15, 	3.04, 	(0.287516,0.0513679);
21:52:14.665, 	1, 	2, 	18.7759, 	17.8323, 	1, 	-1.38778e-15, 	3.04, 	(-0.38687,0.0954747);
21:52:14.725, 	1, 	2, 	26.1739, 	24.6206, 	1, 	-1.38778e-15, 	3.04, 	(0.0351064,-0.276558);
21:52:14.765, 	1, 	2, 	27.9381, 	23.0064, 	1, 	-1.38778e-15, 	3.04, 	(0.00924166,0.311794);
