(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:44:14.150, 	1, 	2, 	18.5012, 	25.242, 	1, 	80, 	0.608, 	(-0.307652,0.424975);
14:44:14.170, 	1, 	2, 	19.4481, 	25.6216, 	1, 	76, 	0.912, 	(-0.400174,-0.0914261);
14:44:14.191, 	1, 	2, 	20.9792, 	25.4228, 	1, 	72, 	1.216, 	(0.119896,-0.667137);
14:44:14.211, 	1, 	2, 	20.4173, 	25.3024, 	1, 	68, 	1.52, 	(0.767443,-0.14102);
14:44:14.231, 	1, 	2, 	21.6955, 	25.6278, 	1, 	64, 	1.824, 	(-0.228605,-0.411947);
14:44:14.251, 	1, 	2, 	21.5081, 	26.0305, 	1, 	60, 	2.128, 	(-0.178281,-0.285464);
14:44:14.271, 	1, 	2, 	19.4262, 	25.2432, 	1, 	56, 	2.432, 	(0.151164,0.772102);
14:44:14.291, 	1, 	2, 	21.0439, 	25.0059, 	1, 	52, 	2.432, 	(-0.512602,0.0606139);
14:44:14.313, 	1, 	2, 	20.1343, 	25.6621, 	1, 	48, 	2.736, 	(-0.0522482,0.371742);
14:44:14.332, 	1, 	2, 	20.7747, 	25.5712, 	1, 	44, 	3.04, 	(0.553261,0.375927);
14:44:14.353, 	1, 	2, 	20.7973, 	25.6022, 	1, 	40, 	3.04, 	(-0.135845,-0.744995);
14:44:14.372, 	1, 	2, 	21.2412, 	26.423, 	1, 	36, 	3.04, 	(-0.358064,0.213284);
14:44:14.392, 	1, 	2, 	18.7834, 	24.9124, 	1, 	32, 	3.04, 	(-0.678363,0.388122);
14:44:14.412, 	1, 	2, 	19.9346, 	25.246, 	1, 	28, 	3.04, 	(-0.609765,-0.53871);
14:44:14.432, 	1, 	2, 	21.8207, 	25.4933, 	1, 	24, 	3.04, 	(-0.388462,0.671696);
14:44:14.453, 	1, 	2, 	18.6102, 	25.0624, 	1, 	20, 	3.04, 	(-0.754614,-0.239097);
14:44:14.473, 	1, 	2, 	22.4679, 	25.5925, 	1, 	16, 	3.04, 	(0.111933,0.632128);
14:44:14.493, 	1, 	2, 	21.2695, 	25.3485, 	1, 	12, 	3.04, 	(-0.509792,-0.597842);
14:44:14.513, 	1, 	2, 	22.848, 	25.617, 	1, 	12, 	3.04, 	(0.400204,0.0181154);
14:44:14.533, 	1, 	2, 	23.8508, 	25.3998, 	1, 	8, 	3.04, 	(-0.482564,0.486516);
14:44:14.553, 	1, 	2, 	23.3139, 	24.9068, 	1, 	8, 	3.04, 	(0.0311306,-0.568908);
14:44:14.574, 	1, 	2, 	23.9414, 	26.2432, 	1, 	4, 	3.04, 	(-0.774051,-0.119324);
14:44:14.594, 	1, 	2, 	19.9166, 	25.0827, 	1, 	4, 	3.04, 	(-0.58809,-0.557503);
14:44:14.614, 	1, 	2, 	24.4994, 	24.8981, 	1, 	-1.249e-14, 	3.04, 	(0.625298,-0.0110899);
14:44:14.634, 	1, 	2, 	25.1327, 	26.9757, 	1, 	-1.249e-14, 	3.04, 	(0.58369,-0.579451);
14:44:14.655, 	1, 	2, 	24.7288, 	24.9657, 	1, 	-1.249e-14, 	3.04, 	(-0.758101,-0.089734);
14:44:14.675, 	1, 	2, 	25.2004, 	25.8055, 	1, 	-1.249e-14, 	3.04, 	(-0.65006,-0.147437);
14:44:14.695, 	1, 	2, 	24.5341, 	24.642, 	1, 	-1.249e-14, 	3.04, 	(0.244791,-0.459432);
14:44:14.716, 	1, 	2, 	25.4544, 	25.3154, 	1, 	-1.249e-14, 	3.04, 	(-0.623326,-0.47536);
14:44:14.735, 	1, 	2, 	21.2036, 	24.6961, 	1, 	-1.249e-14, 	3.04, 	(-0.0428039,0.865198);
14:44:14.755, 	1, 	2, 	24.72, 	24.6295, 	1, 	-1.249e-14, 	3.04, 	(0.578197,0.0755667);
14:44:14.775, 	1, 	2, 	24.7668, 	25.4858, 	1, 	-1.249e-14, 	3.04, 	(0.38783,0.231187);
14:44:14.796, 	1, 	2, 	26.2846, 	25.5565, 	1, 	-1.249e-14, 	3.04, 	(-0.107136,0.746162);
14:44:14.816, 	1, 	2, 	25.9765, 	25.0002, 	1, 	-1.249e-14, 	3.04, 	(0.499079,-0.428685);
14:44:14.836, 	1, 	2, 	25.5813, 	24.7941, 	1, 	-1.249e-14, 	3.04, 	(-0.483028,-0.23024);
14:44:14.856, 	1, 	2, 	19.93, 	23.8497, 	1, 	-1.249e-14, 	3.04, 	(0.520715,-0.689223);
14:44:14.876, 	1, 	2, 	25.0501, 	25.6702, 	1, 	-1.249e-14, 	3.04, 	(-0.102745,-0.578559);
14:44:14.896, 	1, 	2, 	25.7658, 	25.8103, 	1, 	-1.249e-14, 	3.04, 	(-0.843972,-0.274599);
14:44:14.917, 	1, 	2, 	26.9416, 	25.7653, 	1, 	-1.249e-14, 	3.04, 	(0.374462,0.702455);
14:44:14.937, 	1, 	2, 	22.1171, 	25.5871, 	1, 	-1.249e-14, 	3.04, 	(-0.799806,0.435344);
14:44:14.957, 	1, 	2, 	24.9363, 	25.1993, 	1, 	-1.249e-14, 	3.04, 	(0.874229,-0.169358);
14:44:14.977, 	1, 	2, 	25.2706, 	24.8827, 	1, 	-1.249e-14, 	3.04, 	(0.156023,-0.458796);
14:44:14.997, 	1, 	2, 	20.4985, 	24.5264, 	1, 	-1.249e-14, 	3.04, 	(-0.456816,-0.756765);
14:44:15.017, 	1, 	2, 	26.2346, 	25.957, 	1, 	-1.249e-14, 	3.04, 	(-0.229269,0.619629);
14:44:15.037, 	1, 	2, 	27.3816, 	26.2185, 	1, 	-1.249e-14, 	3.04, 	(-0.465077,0.743187);
14:44:15.057, 	1, 	2, 	19.4435, 	24.0773, 	1, 	-1.249e-14, 	3.04, 	(-0.858335,0.168475);
14:44:15.078, 	1, 	2, 	22.8353, 	25.9462, 	1, 	-1.249e-14, 	3.04, 	(-0.90365,0.0330276);
14:44:15.098, 	1, 	2, 	25.1022, 	25.1751, 	1, 	-1.249e-14, 	3.04, 	(-0.461478,-0.375172);
14:44:15.118, 	1, 	2, 	27.5213, 	25.2224, 	1, 	-1.249e-14, 	3.04, 	(-0.225963,-0.804189);
14:44:15.138, 	1, 	2, 	22.1588, 	25.165, 	1, 	-1.249e-14, 	3.04, 	(-0.682714,0.602358);
14:44:15.158, 	1, 	2, 	25.6119, 	26.4924, 	1, 	-1.249e-14, 	3.04, 	(0.0661937,-0.911884);
14:44:15.178, 	1, 	2, 	27.6367, 	26.3838, 	1, 	-1.249e-14, 	3.04, 	(-0.255253,0.834339);
14:44:15.199, 	1, 	2, 	20.471, 	24.6991, 	1, 	-1.249e-14, 	3.04, 	(-0.766269,-0.388118);
14:44:15.219, 	1, 	2, 	27.1876, 	25.6652, 	1, 	-1.249e-14, 	3.04, 	(-0.6099,-0.27709);
14:44:15.239, 	1, 	2, 	27.3008, 	26.0177, 	1, 	-1.249e-14, 	3.04, 	(0.301158,0.815395);
14:44:15.260, 	1, 	2, 	28.7258, 	25.8983, 	1, 	-1.249e-14, 	3.04, 	(0.0888493,0.778054);
14:44:15.279, 	1, 	2, 	27.3692, 	26.2352, 	1, 	-1.249e-14, 	3.04, 	(-0.0230179,0.70192);
14:44:15.299, 	1, 	2, 	26.3946, 	26.0067, 	1, 	-1.249e-14, 	3.04, 	(0.887464,0.00722497);
14:44:15.319, 	1, 	2, 	28.055, 	26.8249, 	1, 	-1.249e-14, 	3.04, 	(-0.635705,-0.567145);
14:44:15.340, 	1, 	2, 	27.5232, 	25.7938, 	1, 	-1.249e-14, 	3.04, 	(-0.473037,0.594614);
14:44:15.360, 	1, 	2, 	25.8385, 	26.5932, 	1, 	-1.249e-14, 	3.04, 	(-0.702148,-0.624511);
14:44:15.382, 	1, 	2, 	20.8366, 	25.7301, 	1, 	-1.249e-14, 	3.04, 	(0.627876,0.693416);
14:44:15.401, 	1, 	2, 	27.9768, 	26.4296, 	1, 	-1.249e-14, 	3.04, 	(0.604252,-0.465897);
14:44:15.420, 	1, 	2, 	27.5585, 	25.0557, 	1, 	-1.249e-14, 	3.04, 	(-0.163867,-0.670964);
14:44:15.441, 	1, 	2, 	27.3273, 	22.4824, 	1, 	-1.249e-14, 	3.04, 	(0.15928,-0.605875);
14:44:15.461, 	1, 	2, 	29.4648, 	25.6718, 	1, 	-1.249e-14, 	3.04, 	(-0.780383,0.27082);
14:44:15.481, 	1, 	2, 	23.4649, 	26.3029, 	1, 	-1.249e-14, 	3.04, 	(-0.66514,0.604728);
