(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
16:36:09.680, 	0, 	2, 	8.37893, 	0.665257, 	0, 	100, 	-7.10543e-17, 	(-0.0105307,0.0070096);
16:36:09.689, 	0, 	2, 	10.557, 	0.225769, 	0, 	100, 	-7.10543e-17, 	(-0.0011014,-0.00544022);
16:36:09.705, 	0, 	1, 	16.6591, 	3.13761, 	0, 	100, 	-7.10543e-17, 	(-0.0649963,0.0389896);(0.0360014,-0.158516);(0.0575908,-0.109146);(0.100096,-0.120827);
16:36:09.725, 	0, 	2, 	14.0651, 	11.1094, 	0, 	100, 	-7.10543e-17, 	(-0.0210253,0.0268161);
16:36:09.745, 	0, 	2, 	10.6604, 	7.33647, 	0, 	100, 	-7.10543e-17, 	(0.0194394,-0.00931851);
16:36:09.780, 	0, 	2, 	11.2654, 	7.22084, 	0, 	100, 	-7.10543e-17, 	(-0.0135652,-0.027688);
16:36:09.787, 	0, 	2, 	13.525, 	9.82267, 	0, 	100, 	-7.10543e-17, 	(-0.0298699,-0.0561981);
16:36:09.805, 	0, 	2, 	11.2136, 	9.93399, 	0, 	100, 	-7.10543e-17, 	(0.0276479,-0.0587519);
16:36:09.826, 	0, 	2, 	13.4507, 	11.4077, 	0, 	100, 	-7.10543e-17, 	(0.0203293,0.0763285);
16:36:09.846, 	0, 	2, 	14.3892, 	14.3194, 	0, 	100, 	-7.10543e-17, 	(0.0698164,-0.066234);
16:36:09.881, 	1, 	2, 	14.4703, 	14.0545, 	1, 	96, 	0.304, 	(0.0435574,-0.113118);
16:36:09.889, 	0, 	2, 	14.2101, 	13.0162, 	1, 	96, 	0.304, 	(0.0912462,-0.0232639);
16:36:09.906, 	0, 	2, 	14.0012, 	13.6975, 	0, 	96, 	0.304, 	(-0.0191094,0.107617);
16:36:09.926, 	0, 	2, 	14.8123, 	14.8286, 	0, 	96, 	0.304, 	(-0.0517972,0.060234);
16:36:09.946, 	0, 	2, 	13.1595, 	15.4403, 	0, 	96, 	0.304, 	(-0.076767,-0.0170434);
16:36:09.982, 	1, 	2, 	14.8463, 	16.0506, 	1, 	92, 	0.608, 	(0.0307394,-0.108928);
16:36:09.989, 	0, 	2, 	12.645, 	11.9387, 	1, 	92, 	0.608, 	(-0.022871,-0.107221);
16:36:10.007, 	0, 	2, 	16.0119, 	15.061, 	0, 	92, 	0.608, 	(0.0792562,-0.0749159);
16:36:10.027, 	0, 	2, 	11.1254, 	10.8477, 	0, 	92, 	0.608, 	(-0.0738682,0.0319862);
16:36:10.047, 	0, 	2, 	13.4441, 	13.7213, 	0, 	92, 	0.608, 	(-0.0448991,0.0586699);
16:36:10.082, 	0, 	2, 	14.0247, 	11.1665, 	0, 	92, 	0.608, 	(0.0764014,-0.0430792);
16:36:10.089, 	0, 	2, 	11.1703, 	10.7596, 	0, 	92, 	0.304, 	(0.0105481,0.0281839);
16:36:10.107, 	0, 	2, 	15.6535, 	12.3746, 	0, 	92, 	0.304, 	(0.0256939,0.0683127);
16:36:10.128, 	0, 	2, 	17.0618, 	13.0905, 	0, 	92, 	0.304, 	(0.0241375,0.0676294);
16:36:10.148, 	0, 	2, 	12.8715, 	12.4566, 	0, 	92, 	0.304, 	(0.0281933,0.0163365);
16:36:10.182, 	0, 	2, 	15.376, 	14.5267, 	0, 	92, 	0.304, 	(-0.0631164,0.0693356);
16:36:10.189, 	0, 	2, 	18.6365, 	10.8999, 	0, 	92, 	-7.10543e-17, 	(-0.0189045,-0.0179672);
16:36:10.212, 	0, 	2, 	17.5711, 	8.90531, 	0, 	92, 	-7.10543e-17, 	(0.0279323,0.0575713);
16:36:10.229, 	0, 	2, 	12.623, 	13.0295, 	0, 	92, 	-7.10543e-17, 	(0.0497447,-0.0631053);
16:36:10.249, 	0, 	2, 	18.8541, 	14.1608, 	0, 	92, 	-7.10543e-17, 	(0.0491778,-0.0251132);
16:36:10.281, 	0, 	2, 	15.4985, 	13.4184, 	0, 	92, 	-7.10543e-17, 	(-0.10323,-0.0378104);
16:36:10.290, 	0, 	2, 	14.1975, 	13.9029, 	0, 	92, 	-7.10543e-17, 	(-0.076776,0.0566016);
16:36:10.309, 	0, 	2, 	16.8109, 	13.9632, 	0, 	92, 	-7.10543e-17, 	(0.0511552,-0.0244762);
16:36:10.330, 	0, 	2, 	16.722, 	11.738, 	0, 	92, 	-7.10543e-17, 	(0.0104153,0.0733645);
16:36:10.350, 	0, 	2, 	16.9944, 	8.71359, 	0, 	92, 	-7.10543e-17, 	(-0.00566132,0.0234368);
16:36:10.383, 	0, 	2, 	12.6092, 	9.16585, 	0, 	92, 	-7.10543e-17, 	(0.0316994,-0.0105711);
16:36:10.390, 	0, 	2, 	15.1305, 	7.29646, 	0, 	96, 	-7.10543e-17, 	(0.0569236,0.012073);
16:36:10.410, 	0, 	2, 	16.8172, 	4.15902, 	0, 	96, 	-7.10543e-17, 	(-0.0078824,-0.0333293);
16:36:10.430, 	0, 	2, 	16.1709, 	8.40138, 	0, 	96, 	-7.10543e-17, 	(0.0461358,-0.0188623);
16:36:10.450, 	0, 	2, 	20.1935, 	12.1924, 	0, 	96, 	-7.10543e-17, 	(0.00367145,-0.0428753);
