(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:57:20.494, 	1, 	1, 	14.4087, 	8.09711, 	0, 	48, 	0.304, 	(0.617767,-0.259892);(-0.550746,1.65136);(0.319725,-0.838304);(0.386745,0.553164);
18:57:20.514, 	1, 	1, 	15.1112, 	8.90534, 	0, 	48, 	-7.10543e-17, 	(-0.687306,0.688787);(1.16019,-0.782556);(-0.521882,1.24818);(-0.219988,-1.25226);
18:57:20.540, 	1, 	2, 	13.9645, 	19.66, 	1, 	48, 	0.304, 	(0.265725,-0.36677);
18:57:20.554, 	1, 	1, 	15.0462, 	8.07944, 	0, 	48, 	0.304, 	(0.389218,0.922702);(-0.362728,-1.38754);(0.79007,0.666007);(-1.0001,-0.117918);
18:57:20.574, 	1, 	1, 	15.6788, 	8.04701, 	0, 	48, 	0.304, 	(0.775026,0.299206);(-1.06504,-0.927006);(1.37609,0.170984);(-1.13885,0.688234);
18:57:20.601, 	1, 	2, 	15.388, 	23.7585, 	1, 	44, 	0.608, 	(0.00889217,-0.592025);
18:57:20.615, 	0, 	1, 	15.0252, 	8.90456, 	1, 	44, 	0.608, 	(-0.591526,-0.819848);(0.641106,1.30677);(-0.9994,-0.570195);(1.10685,-0.148078);
18:57:20.635, 	1, 	1, 	14.0612, 	8.08703, 	0, 	44, 	0.608, 	(0.239639,-0.772482);(-0.602472,1.05556);(-0.0290047,-1.43353);(0.825339,1.02323);
18:57:20.675, 	1, 	1, 	13.1324, 	9.06997, 	0, 	40, 	0.608, 	(0.593998,-0.0770028);(-0.817388,-0.042947);(1.23155,-0.581614);(-0.550336,1.07285);
18:57:20.696, 	0, 	1, 	13.9879, 	7.97348, 	0, 	40, 	0.608, 	(-0.146884,-1.05936);(0.108113,1.3662);(-0.705667,-0.919676);(1.02487,0.330806);
18:57:20.721, 	1, 	2, 	13.1181, 	21.3314, 	1, 	44, 	0.912, 	(-0.039952,-0.507244);
18:57:20.735, 	1, 	1, 	15.0151, 	21.3314, 	0, 	44, 	0.912, 	(-0.039952,-0.507244);
18:57:20.755, 	1, 	1, 	13.638, 	8.09252, 	0, 	40, 	0.608, 	(0.0593809,1.00756);(0.0184606,-1.33939);(0.63971,1.07904);(-1.11287,-0.438912);
18:57:20.782, 	1, 	2, 	13.4464, 	24.7661, 	1, 	36, 	0.912, 	(0.427031,-0.401725);
