(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:17:59.734, 	1, 	2, 	16.9266, 	25.4139, 	1, 	8, 	3.04, 	(0.467936,0.403679);
14:17:59.774, 	1, 	2, 	17.0895, 	25.2651, 	1, 	8, 	3.04, 	(-0.444649,0.124235);
14:17:59.795, 	1, 	2, 	18.1985, 	25.7579, 	1, 	8, 	3.04, 	(0.3165,0.591344);
14:17:59.855, 	1, 	2, 	18.3906, 	26.1245, 	1, 	8, 	3.04, 	(-0.160471,-0.638314);
14:17:59.916, 	1, 	2, 	17.8942, 	25.9345, 	1, 	8, 	3.04, 	(0.355906,0.660778);
14:17:59.936, 	1, 	2, 	17.2503, 	25.5424, 	1, 	8, 	3.04, 	(-0.65925,0.227653);
14:17:59.976, 	1, 	2, 	18.5448, 	26.0044, 	1, 	4, 	3.04, 	(-0.704535,0.304675);
14:18:00.016, 	1, 	2, 	19.4922, 	25.3488, 	1, 	4, 	3.04, 	(-0.553689,-0.43132);
14:18:00.057, 	1, 	2, 	19.7677, 	26.0719, 	1, 	0, 	3.04, 	(-0.4353,0.607072);
14:18:00.077, 	1, 	2, 	21.3496, 	24.9157, 	1, 	0, 	3.04, 	(0.144003,-0.390985);
14:18:00.097, 	1, 	2, 	20.7349, 	25.1259, 	1, 	0, 	3.04, 	(-0.611122,-0.313691);
14:18:00.117, 	1, 	2, 	19.3761, 	16.4188, 	1, 	0, 	3.04, 	(0.206444,-0.216384);
14:18:00.138, 	1, 	2, 	20.4794, 	25.9789, 	1, 	0, 	3.04, 	(-0.00684637,0.797709);
14:18:00.158, 	1, 	2, 	20.5874, 	25.9425, 	1, 	0, 	3.04, 	(-0.725292,0.217353);
14:18:00.177, 	1, 	2, 	21.2494, 	25.3845, 	1, 	0, 	3.04, 	(0.108626,-0.619529);
14:18:00.198, 	1, 	2, 	20.8405, 	25.4767, 	1, 	0, 	3.04, 	(0.54471,-0.11221);
14:18:00.218, 	1, 	2, 	22.4482, 	25.5588, 	1, 	0, 	3.04, 	(-0.709029,0.258697);
14:18:00.238, 	1, 	2, 	21.3439, 	25.3622, 	1, 	0, 	3.04, 	(0.659567,-0.18508);
14:18:00.258, 	1, 	2, 	22.6255, 	24.8403, 	1, 	0, 	3.04, 	(0.157973,0.579574);
14:18:00.278, 	1, 	2, 	22.2206, 	25.3043, 	1, 	0, 	3.04, 	(0.211804,0.461241);
14:18:00.298, 	1, 	2, 	21.447, 	25.2239, 	1, 	0, 	3.04, 	(0.29833,-0.278964);
14:18:00.319, 	1, 	2, 	18.6853, 	18.2709, 	1, 	0, 	3.04, 	(-0.129353,-0.122492);
14:18:00.339, 	1, 	2, 	22.1852, 	24.7985, 	1, 	0, 	3.04, 	(-0.260394,0.554475);
14:18:00.359, 	1, 	2, 	20.3417, 	26.0755, 	1, 	0, 	3.04, 	(0.693268,0.425141);
14:18:00.379, 	1, 	2, 	20.5317, 	26.1693, 	1, 	0, 	3.04, 	(-0.0023998,-0.379139);
14:18:00.399, 	1, 	2, 	23.14, 	25.5992, 	1, 	0, 	3.04, 	(-0.304193,-0.483224);
14:18:00.420, 	1, 	2, 	20.8695, 	25.289, 	1, 	0, 	3.04, 	(-0.341184,-0.615498);
14:18:00.440, 	1, 	2, 	22.4457, 	25.6539, 	1, 	0, 	3.04, 	(-0.581796,0.35067);
14:18:00.460, 	1, 	2, 	22.1338, 	25.3434, 	1, 	0, 	3.04, 	(0.454903,0.525704);
14:18:00.480, 	1, 	2, 	21.1924, 	25.7197, 	1, 	0, 	3.04, 	(-0.123913,0.765523);
14:18:00.500, 	1, 	2, 	22.3869, 	25.9145, 	1, 	0, 	3.04, 	(-0.707535,-0.319269);
14:18:00.520, 	1, 	2, 	23.6104, 	25.9419, 	1, 	0, 	3.04, 	(0.489052,-0.500356);
14:18:00.541, 	1, 	2, 	19.5678, 	24.7306, 	1, 	0, 	3.04, 	(-0.463278,-0.590773);
14:18:00.561, 	1, 	2, 	22.0006, 	25.1089, 	1, 	0, 	3.04, 	(0.649175,-0.39577);
14:18:00.581, 	1, 	2, 	24.2745, 	26.0122, 	1, 	0, 	3.04, 	(-0.148187,-0.439931);
14:18:00.601, 	1, 	2, 	18.9733, 	24.1025, 	1, 	0, 	3.04, 	(-0.196512,-0.710776);
14:18:00.622, 	1, 	2, 	20.9291, 	24.3755, 	1, 	0, 	3.04, 	(-0.703319,-0.275127);
14:18:00.642, 	1, 	2, 	22.902, 	26.678, 	1, 	0, 	3.04, 	(0.357361,-0.698285);
14:18:00.662, 	1, 	2, 	24.0855, 	26.2352, 	1, 	0, 	3.04, 	(-0.181252,0.739003);
14:18:00.682, 	1, 	2, 	19.3069, 	24.8564, 	1, 	0, 	3.04, 	(0.234069,0.755907);
14:18:00.702, 	1, 	2, 	24.5854, 	25.4036, 	1, 	0, 	3.04, 	(-0.262603,0.560052);
14:18:00.722, 	1, 	2, 	22.7525, 	26.7629, 	1, 	0, 	3.04, 	(-0.551074,0.566046);
14:18:00.743, 	1, 	2, 	23.806, 	26.4422, 	1, 	0, 	3.04, 	(-0.196785,0.349368);
14:18:00.762, 	1, 	2, 	19.8328, 	24.4401, 	1, 	0, 	3.04, 	(0.5905,0.551539);
14:18:00.782, 	1, 	2, 	25.0148, 	25.6409, 	1, 	0, 	3.04, 	(-0.609028,0.0640899);
14:18:00.803, 	1, 	2, 	25.1827, 	25.7862, 	1, 	0, 	3.04, 	(0.532728,-0.616239);
14:18:00.823, 	1, 	2, 	24.5666, 	23.5917, 	1, 	0, 	3.04, 	(-0.180194,0.36672);
14:18:00.843, 	1, 	2, 	21.5929, 	21.1247, 	1, 	0, 	3.04, 	(-0.272243,0.257179);
14:18:00.863, 	0, 	2, 	23.4863, 	21.6494, 	1, 	0, 	3.04, 	(0.09243,0.343118);
14:18:00.883, 	0, 	2, 	24.096, 	23.4218, 	0, 	4, 	2.736, 	(-0.0248555,0.229064);
14:18:00.901, 	1, 	1, 	24.7069, 	20.5607, 	0, 	8, 	2.128, 	(-0.137345,-1.28599);(1.2781,0.490558);(-0.0885727,0.445043);(-0.405473,-0.1193);
14:18:00.930, 	0, 	2, 	23.6031, 	23.1324, 	0, 	8, 	2.128, 	(0.138279,0.405186);
14:18:00.945, 	1, 	2, 	25.7895, 	22.7991, 	1, 	12, 	1.824, 	(-0.279653,-0.0575026);
14:18:00.962, 	1, 	1, 	26.4277, 	20.9446, 	0, 	12, 	1.52, 	(-0.259827,1.40242);(-1.22558,-0.813158);(0.237141,-0.516746);(0.508306,0.272951);
14:18:00.985, 	0, 	2, 	21.8096, 	23.2824, 	0, 	12, 	1.52, 	(0.420275,0.166985);
14:18:01.005, 	0, 	2, 	24.0346, 	22.5181, 	0, 	16, 	1.216, 	(0.0492786,-0.441411);
14:18:01.023, 	1, 	1, 	25.4456, 	20.0897, 	0, 	20, 	0.608, 	(0.7065,-1.3343);(0.941791,1.21422);(-0.526139,0.554989);(-0.602019,-0.504533);
14:18:01.045, 	1, 	2, 	19.7057, 	25.8255, 	1, 	20, 	0.608, 	(0.728044,-0.472044);
14:18:01.065, 	1, 	2, 	23.3426, 	14.9471, 	1, 	20, 	0.912, 	(0.0449792,-0.207399);
14:18:01.085, 	1, 	2, 	26.5152, 	24.4072, 	1, 	20, 	1.216, 	(0.289979,0.10742);
14:18:01.106, 	1, 	2, 	19.0146, 	20.7204, 	1, 	20, 	1.52, 	(-0.1922,-0.40082);
14:18:01.126, 	1, 	2, 	25.8823, 	23.6723, 	1, 	20, 	1.824, 	(0.110523,-0.362242);
14:18:01.145, 	1, 	2, 	25.2568, 	24.0022, 	1, 	20, 	1.824, 	(-0.163479,-0.29425);
14:18:01.165, 	1, 	2, 	25.8983, 	23.2627, 	1, 	20, 	2.128, 	(-0.0154368,0.409197);
14:18:01.186, 	1, 	2, 	24.8666, 	23.7951, 	1, 	20, 	2.432, 	(-0.000433975,-0.231182);
14:18:01.206, 	1, 	2, 	21.394, 	23.0042, 	1, 	20, 	2.736, 	(-0.47323,0.0421588);
14:18:01.226, 	1, 	2, 	25.6942, 	24.392, 	1, 	20, 	3.04, 	(-0.292622,0.171492);
14:18:01.246, 	1, 	2, 	26.0658, 	23.8363, 	1, 	20, 	3.04, 	(-0.421486,0.186859);
14:18:01.267, 	1, 	2, 	26.9193, 	24.5345, 	1, 	20, 	3.04, 	(-0.36941,0.208543);
14:18:01.287, 	1, 	2, 	23.1698, 	20.3123, 	1, 	20, 	3.04, 	(0.173645,0.545394);
14:18:01.307, 	1, 	2, 	25.1895, 	20.6332, 	1, 	20, 	3.04, 	(0.29676,-0.18178);
14:18:01.327, 	1, 	2, 	26.7428, 	26.2219, 	1, 	20, 	3.04, 	(-0.798804,-0.139172);
14:18:01.347, 	1, 	2, 	27.1662, 	25.5428, 	1, 	20, 	3.04, 	(0.630852,-0.365995);
14:18:01.367, 	1, 	2, 	24.4162, 	25.0986, 	1, 	16, 	3.04, 	(-0.346036,-0.358201);
14:18:01.388, 	1, 	2, 	26.8811, 	24.5335, 	1, 	12, 	3.04, 	(-0.067441,-0.300429);
14:18:01.408, 	1, 	2, 	19.475, 	23.5759, 	1, 	12, 	3.04, 	(0.339464,0.739589);
14:18:01.428, 	1, 	2, 	22.9524, 	23.8796, 	1, 	8, 	3.04, 	(0.41281,-0.382076);
14:18:01.448, 	1, 	2, 	28.1695, 	24.7225, 	1, 	8, 	3.04, 	(-0.208576,-0.327185);
14:18:01.468, 	1, 	2, 	27.089, 	24.7784, 	1, 	8, 	3.04, 	(-0.180805,-0.248401);
14:18:01.488, 	1, 	2, 	27.2091, 	24.9774, 	1, 	4, 	3.04, 	(0.0911679,0.729416);
14:18:01.508, 	1, 	2, 	27.1752, 	25.3163, 	1, 	-1.38778e-15, 	3.04, 	(0.543307,0.34901);
14:18:01.529, 	1, 	2, 	26.7404, 	25.5932, 	1, 	-1.38778e-15, 	3.04, 	(0.24119,-0.791267);
14:18:01.549, 	1, 	2, 	28.7953, 	24.6788, 	1, 	-1.38778e-15, 	3.04, 	(-0.781123,-0.0403868);
14:18:01.569, 	1, 	2, 	27.5712, 	24.6658, 	1, 	-1.38778e-15, 	3.04, 	(-0.301285,0.63722);
14:18:01.589, 	1, 	2, 	26.0461, 	26.493, 	1, 	-1.38778e-15, 	3.04, 	(0.548649,-0.640634);
14:18:01.609, 	1, 	2, 	27.1814, 	26.5009, 	1, 	-1.38778e-15, 	3.04, 	(-0.0610822,0.828142);
14:18:01.630, 	1, 	2, 	28.1117, 	26.0277, 	1, 	-1.38778e-15, 	3.04, 	(-0.697462,0.0699145);
14:18:01.650, 	1, 	2, 	27.9678, 	25.6009, 	1, 	-1.38778e-15, 	3.04, 	(0.615915,0.0530258);
14:18:01.670, 	1, 	2, 	28.188, 	25.9204, 	1, 	-1.38778e-15, 	3.04, 	(-0.0111341,-0.508761);
14:18:01.691, 	1, 	2, 	19.7587, 	23.2713, 	1, 	-1.38778e-15, 	3.04, 	(0.791853,-0.145859);
14:18:01.711, 	1, 	2, 	22.1856, 	25.3158, 	1, 	-1.38778e-15, 	3.04, 	(0.744463,0.391199);
14:18:01.731, 	1, 	2, 	25.1086, 	26.3067, 	1, 	-1.38778e-15, 	3.04, 	(0.365721,0.76411);
14:18:01.750, 	1, 	2, 	28.1633, 	25.7294, 	1, 	-1.38778e-15, 	3.04, 	(-0.414791,-0.738082);
14:18:01.771, 	1, 	2, 	27.6947, 	25.2994, 	1, 	-1.38778e-15, 	3.04, 	(-0.503944,0.591499);
14:18:01.791, 	1, 	2, 	22.5854, 	24.5138, 	1, 	-1.38778e-15, 	3.04, 	(0.873735,0.045945);
14:18:01.811, 	1, 	2, 	26.9024, 	25.5568, 	1, 	-1.38778e-15, 	3.04, 	(-0.589167,-0.0553257);
14:18:01.831, 	1, 	2, 	27.4384, 	25.2726, 	1, 	-1.38778e-15, 	3.04, 	(-0.357531,0.306219);
14:18:01.851, 	1, 	2, 	20.4767, 	25.5731, 	1, 	-1.38778e-15, 	3.04, 	(0.633435,-0.625236);
14:18:01.872, 	1, 	2, 	26.8759, 	25.7719, 	1, 	-1.38778e-15, 	3.04, 	(-0.674096,0.100272);
14:18:01.892, 	1, 	2, 	27.4685, 	24.3823, 	1, 	-1.38778e-15, 	3.04, 	(0.227054,0.509921);
14:18:01.912, 	1, 	2, 	19.773, 	23.1295, 	1, 	-1.38778e-15, 	3.04, 	(0.692958,0.535501);
14:18:01.932, 	1, 	2, 	28.095, 	25.7188, 	1, 	-1.38778e-15, 	3.04, 	(0.140927,-0.738776);
14:18:01.952, 	1, 	2, 	27.4824, 	18.9718, 	1, 	-1.38778e-15, 	3.04, 	(-0.248277,-0.24005);
14:18:01.972, 	1, 	2, 	26.5583, 	21.621, 	1, 	-1.38778e-15, 	3.04, 	(0.230583,-0.282836);
14:18:01.993, 	1, 	2, 	20.1261, 	24.4434, 	1, 	-1.38778e-15, 	3.04, 	(-0.717429,0.521816);
14:18:02.013, 	1, 	2, 	28.2169, 	26.3553, 	1, 	-1.38778e-15, 	3.04, 	(-0.251408,-0.662253);
14:18:02.033, 	1, 	2, 	28.5554, 	25.5504, 	1, 	-1.38778e-15, 	3.04, 	(0.324247,-0.48299);
14:18:02.053, 	1, 	2, 	27.0809, 	25.9119, 	1, 	-1.38778e-15, 	3.04, 	(-0.461029,-0.00444985);
14:18:02.073, 	1, 	2, 	28.5194, 	26.05, 	1, 	-1.38778e-15, 	3.04, 	(-0.512974,0.584687);
14:18:02.093, 	1, 	2, 	28.4552, 	15.1082, 	1, 	-1.38778e-15, 	3.04, 	(0.0956931,-0.136443);
14:18:02.114, 	1, 	2, 	29.2707, 	25.3384, 	1, 	-1.38778e-15, 	3.04, 	(0.317754,-0.843705);
14:18:02.134, 	1, 	2, 	29.2605, 	26.5202, 	1, 	-1.38778e-15, 	3.04, 	(0.834332,-0.0615187);
14:18:02.154, 	1, 	2, 	28.697, 	25.0494, 	1, 	-1.38778e-15, 	3.04, 	(0.66044,0.333302);
14:18:02.174, 	1, 	2, 	27.4151, 	25.6589, 	1, 	-1.38778e-15, 	3.04, 	(0.425383,0.467539);
14:18:02.194, 	1, 	2, 	27.4798, 	25.6338, 	1, 	-1.38778e-15, 	3.04, 	(-0.176984,-0.465012);
14:18:02.214, 	1, 	2, 	29.9186, 	25.6004, 	1, 	-1.38778e-15, 	3.04, 	(-0.178361,0.773174);
14:18:02.234, 	1, 	2, 	23.859, 	26.5034, 	1, 	-1.38778e-15, 	3.04, 	(-0.589735,-0.702092);
14:18:02.255, 	1, 	2, 	27.8129, 	26.5831, 	1, 	-1.38778e-15, 	3.04, 	(0.267813,0.507471);
14:18:02.275, 	1, 	2, 	19.5767, 	23.2782, 	1, 	-1.38778e-15, 	3.04, 	(-0.78007,-0.40414);
14:18:02.296, 	1, 	2, 	22.8615, 	25.7244, 	1, 	-1.38778e-15, 	3.04, 	(-0.122456,0.913093);
14:18:02.315, 	1, 	2, 	26.8907, 	26.9848, 	1, 	-1.38778e-15, 	3.04, 	(0.458032,0.817928);
14:18:02.336, 	1, 	2, 	28.2128, 	26.2761, 	1, 	-1.38778e-15, 	3.04, 	(-0.522206,-0.0718212);
14:18:02.356, 	1, 	2, 	21.2228, 	24.6614, 	1, 	-1.38778e-15, 	3.04, 	(0.739342,0.538377);
14:18:02.376, 	1, 	2, 	24.0535, 	27.1794, 	1, 	-1.38778e-15, 	3.04, 	(0.940797,0.156092);
14:18:02.396, 	1, 	2, 	28.3826, 	26.089, 	1, 	-1.38778e-15, 	3.04, 	(0.318338,0.510815);
14:18:02.416, 	1, 	2, 	27.5533, 	25.3784, 	1, 	-1.38778e-15, 	3.04, 	(0.209226,0.43027);
14:18:02.436, 	1, 	2, 	22.2492, 	25.5506, 	1, 	-1.38778e-15, 	3.04, 	(0.725894,-0.593513);
14:18:02.456, 	1, 	2, 	25.7605, 	26.6363, 	1, 	-1.38778e-15, 	3.04, 	(0.116593,0.889564);
14:18:02.477, 	1, 	2, 	28.7189, 	26.7889, 	1, 	-1.38778e-15, 	3.04, 	(0.388304,-0.366161);
14:18:02.497, 	1, 	2, 	30.011, 	26.2614, 	1, 	-1.38778e-15, 	3.04, 	(-0.000849656,0.818005);
14:18:02.517, 	1, 	2, 	31.2543, 	25.6885, 	1, 	-1.38778e-15, 	3.04, 	(-0.729295,-0.0745189);
