0:(0,0);(0,0);(0,0);(0,0)
1:(0,0);(0,0);(0,0);(0,0)
2:(0,0);(0,0);(0,0);(0,0)
3:(0,0);(0,0);(0,0);(0,0)
4:(0.000793392,4.59642e-05);(0.000395676,0.000675815);(-0.000454345,0.000649019);(-0.000789355,-8.39236e-05)
5:(0.000802185,8.3652e-06);(0.000337831,0.00070422);(-0.000485322,0.000639619);(-0.000762763,-0.000109334)
6:(0.000778206,3.49379e-05);(0.000317281,0.000729584);(-0.000450061,0.000634885);(-0.000782472,-0.000123312)
7:(0.000791302,7.30379e-05);(0.000365401,0.000760435);(-0.00051619,0.000642284);(-0.000788127,-0.000127418)
8:(0.000791697,3.51291e-05);(0.000360284,0.000690521);(-0.000480088,0.000661346);(-0.000796885,-8.07789e-05)
9:(0.000805476,2.06408e-05);(0.000307828,0.000716303);(-0.000463487,0.00064174);(-0.000736092,-8.89304e-05)
10:(0.000831215,5.73804e-05);(0.000328371,0.000717183);(-0.000491435,0.000668718);(-0.000764892,-0.000150325)
11:(0.000778909,-4.71898e-06);(0.000332825,0.000723977);(-0.000483208,0.00062848);(-0.000748177,-0.000108712)
12:(0.000835649,7.02631e-05);(0.000314227,0.000688499);(-0.000493428,0.000645504);(-0.000801052,-0.000102072)
13:(0.000806954,6.25998e-05);(0.00034344,0.000692127);(-0.000421185,0.000629997);(-0.000769703,-8.55426e-05)
14:(0.000768686,-1.07849e-05);(0.000277887,0.000720915);(-0.00048832,0.000651638);(-0.00082205,-0.000125862)
15:(0.000752856,3.10984e-05);(0.000310748,0.000688923);(-0.00050592,0.000662585);(-0.000777977,-9.97285e-05)
16:(0.000795584,8.34942e-05);(0.000366244,0.000717032);(-0.000448042,0.000700815);(-0.000763245,-0.000100401)
17:(0.000776314,9.02919e-05);(0.00029943,0.000715297);(-0.000491171,0.000640134);(-0.000811918,-0.000102159)
18:(0.000805645,6.22027e-05);(0.000385769,0.00069452);(-0.000488024,0.000680168);(-0.000741459,-0.000128736)
19:(0.000766021,5.06058e-05);(0.000330256,0.000717791);(-0.000460325,0.000669835);(-0.000805764,-0.000149934)
20:(0.000754268,3.57195e-05);(0.000361175,0.000687002);(-0.000499348,0.000670633);(-0.000795633,-6.97702e-05)
21:(0.000785763,5.85406e-05);(0.000300399,0.000719269);(-0.00048928,0.000664029);(-0.000876084,-0.000105141)
22:(0.000774901,1.76989e-05);(0.000341332,0.00071309);(-0.000469594,0.000676089);(-0.000780824,-0.000113157)
23:(0.000763431,3.0389e-05);(0.000368642,0.000720626);(-0.000474464,0.000668036);(-0.000778162,-0.000122685)
24:(0.000790076,2.84397e-05);(0.000326757,0.000715373);(-0.000481196,0.000636171);(-0.000788823,-0.000108196)
