25:(0.000802743,5.0162e-05);(0.000282394,0.000702589);(-0.000459177,0.000653078);(-0.000754946,-9.51656e-05)
26:(0.00077609,4.82145e-05);(0.000332685,0.000766259);(-0.00047228,0.000707586);(-0.000805377,-0.00017793)
27:(0.000762848,5.61225e-05);(0.000314483,0.000699873);(-0.000488444,0.000676042);(-0.000821373,-0.000135348)
28:(0.000745385,5.73433e-05);(0.000343192,0.000712681);(-0.000422446,0.000646905);(-0.000745883,-7.39785e-05)
29:(0.000820589,4.64065e-05);(0.000322383,0.000709178);(-0.000465468,0.000670236);(-0.000794064,-0.000155237)
30:(0.000770683,-1.9831e-05);(0.000330306,0.000710596);(-0.00052269,0.000662397);(-0.00080735,-0.000105126)
31:(0.000756768,4.7144e-05);(0.000316376,0.000709329);(-0.000472535,0.000655106);(-0.0007923,-0.000122428)
32:(0,0);(0,0);(0,0);(0,0)
33:(0.000782451,1.92673e-05);(0.000350071,0.000747018);(-0.000470342,0.00069603);(-0.000790547,-0.000161793)
34:(0.000800848,4.29493e-05);(0.000302384,0.000730095);(-0.000464638,0.000673569);(-0.000783474,-0.000141017)
35:(0.000763743,0.000101397);(0.000300774,0.00072776);(-0.000491835,0.000642603);(-0.000765157,-6.93431e-05)
36:(0.000778119,-2.9384e-05);(0.000314667,0.000745781);(-0.000479785,0.000676432);(-0.000764915,-0.000153895)
37:(0.000806995,4.31428e-05);(0.00036493,0.000757177);(-0.000467396,0.000711687);(-0.000778647,-0.000103385)
38:(0.000812803,1.62591e-05);(0.000307705,0.000681092);(-0.000456619,0.000679961);(-0.00076401,-0.000122906)
39:(0.000790963,7.10809e-05);(0.000336568,0.000699599);(-0.000437142,0.000689645);(-0.000799153,-0.000138092)
40:(0.000809114,2.54915e-05);(0.00031491,0.000740004);(-0.000517566,0.000681078);(-0.000759018,-0.000101873)
41:(0.000800932,3.1951e-05);(0.000378291,0.000693562);(-0.000463367,0.000652482);(-0.000792899,-0.000161511)
42:(0.00076948,3.76078e-05);(0.00036203,0.000702461);(-0.000477248,0.000599734);(-0.000733613,-0.000123045)
43:(0.00079607,3.97198e-05);(0.000321514,0.000681919);(-0.000467496,0.000650872);(-0.000840557,-0.000147469)
44:(0.000788601,7.3098e-05);(0.000363116,0.000736626);(-0.000522021,0.00065864);(-0.000773136,-7.88522e-05)
45:(0.000837638,4.10104e-05);(0.000337644,0.000725619);(-0.000481212,0.000666434);(-0.000830552,-0.000104891)
46:(0.000751014,6.31257e-05);(0.00030026,0.000728024);(-0.000442192,0.000695606);(-0.000756747,-0.00011949)
47:(0.000805738,4.5979e-05);(0.000340848,0.000715002);(-0.000478995,0.000661663);(-0.000783307,-0.00013205)
48:(0.000811051,2.07375e-05);(0.000319693,0.000744509);(-0.000465506,0.000674176);(-0.000791052,-5.07111e-05)
49:(0.000779209,6.39651e-05);(0.000338623,0.000727719);(-0.00041057,0.000605807);(-0.000756909,-0.000117782)
50:(0.000808399,4.51202e-05);(0.000385621,0.000737119);(-0.000468888,0.000694225);(-0.000774066,-6.35088e-05)
51:(0.000815046,8.978e-05);(0.000304334,0.000736803);(-0.000447859,0.000639259);(-0.000812561,-0.000124038)
52:(0.000738305,-1.46927e-05);(0.000292143,0.000731635);(-0.000525429,0.000665447);(-0.000773793,-0.000148851)
53:(0.00078044,4.76295e-05);(0.000359321,0.000680592);(-0.000449491,0.000641859);(-0.000816748,-0.000141664)
54:(0.000773846,3.61224e-05);(0.000346129,0.000722895);(-0.000512003,0.000649074);(-0.0007842,-0.000132034)
55:(0.000779003,3.08244e-05);(0.000344093,0.000728635);(-0.000478023,0.000653986);(-0.000732998,-0.000128615)
56:(0.000778075,3.50268e-05);(0.000353962,0.000702114);(-0.000446589,0.000686248);(-0.000765299,-9.64406e-05)
57:(0.000781628,3.30801e-05);(0.000317683,0.000732247);(-0.000532437,0.000678174);(-0.000799248,-0.000101457)
58:(0.000805858,6.44026e-05);(0.00033922,0.000726569);(-0.000512998,0.00066672);(-0.000806644,-0.000138138)
59:(0.000769988,2.54644e-05);(0.000335985,0.000711469);(-0.000478715,0.000644055);(-0.000786912,-6.05739e-05)
60:(0.000800273,5.36053e-05);(0.000326129,0.000680869);(-0.000493489,0.000657762);(-0.000816075,-0.000143632)
61:(0,0);(0,0);(0,0);(0,0)
62:(0,0);(0,0);(0,0);(0,0)
63:(0,0);(0,0);(0,0);(0,0)
