(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:14:48.099, 	1, 	2, 	23.5059, 	25.2719, 	1, 	-1.249e-14, 	3.04, 	(0.032216,0.787244);
14:14:48.119, 	1, 	2, 	18.969, 	22.8793, 	1, 	-1.249e-14, 	3.04, 	(0.740503,0.0619735);
14:14:48.140, 	1, 	2, 	20.4202, 	23.7078, 	1, 	-1.249e-14, 	3.04, 	(0.265843,0.744698);
14:14:48.160, 	1, 	2, 	22.737, 	26.0824, 	1, 	-1.249e-14, 	3.04, 	(0.0329467,-0.811598);
14:14:48.180, 	1, 	2, 	23.7879, 	26.317, 	1, 	-1.249e-14, 	3.04, 	(0.26679,-0.754222);
14:14:48.200, 	1, 	2, 	25.8444, 	25.7717, 	1, 	-1.249e-14, 	3.04, 	(0.62211,0.416703);
14:14:48.220, 	1, 	2, 	25.7088, 	25.3607, 	1, 	-1.249e-14, 	3.04, 	(0.23556,-0.627628);
14:14:48.240, 	1, 	2, 	26.1974, 	25.0946, 	1, 	-1.249e-14, 	3.04, 	(0.0490477,0.564485);
14:14:48.261, 	1, 	2, 	26.1813, 	26.0957, 	1, 	-1.249e-14, 	3.04, 	(-0.765489,-0.00140856);
14:14:48.281, 	1, 	2, 	26.1448, 	24.6585, 	1, 	-1.249e-14, 	3.04, 	(0.488281,-0.492536);
14:14:48.301, 	1, 	2, 	25.1701, 	25.0355, 	1, 	-1.249e-14, 	3.04, 	(-0.482139,-0.356389);
14:14:48.321, 	1, 	2, 	25.1404, 	24.7369, 	1, 	-1.249e-14, 	3.04, 	(0.469628,-0.143157);
14:14:48.341, 	1, 	2, 	19.7869, 	23.7856, 	1, 	-1.249e-14, 	3.04, 	(0.734574,0.230353);
14:14:48.362, 	1, 	2, 	25.8222, 	20.9959, 	1, 	-1.249e-14, 	3.04, 	(-0.00856854,-0.444465);
14:14:48.382, 	1, 	2, 	24.8202, 	25.812, 	1, 	-1.249e-14, 	3.04, 	(-0.694128,0.41687);
14:14:48.402, 	1, 	2, 	19.1738, 	22.526, 	1, 	-1.249e-14, 	3.04, 	(0.23572,-0.706541);
14:14:48.422, 	1, 	2, 	21.0787, 	24.7063, 	1, 	-1.249e-14, 	3.04, 	(0.597923,0.566645);
14:14:48.442, 	1, 	2, 	25.4694, 	24.9278, 	1, 	-1.249e-14, 	3.04, 	(0.0329995,0.669744);
14:14:48.462, 	1, 	2, 	25.2128, 	25.7127, 	1, 	-1.249e-14, 	3.04, 	(-0.0366449,0.565292);
14:14:48.483, 	1, 	2, 	18.9858, 	22.3531, 	1, 	-1.249e-14, 	3.04, 	(-0.782982,0.174251);
14:14:48.503, 	1, 	2, 	26.028, 	25.2362, 	1, 	-1.249e-14, 	3.04, 	(0.0654263,-0.742959);
14:14:48.523, 	1, 	2, 	25.3184, 	26.2068, 	1, 	-1.249e-14, 	3.04, 	(-0.238284,0.848211);
14:14:48.543, 	1, 	2, 	18.2866, 	21.9455, 	1, 	-1.249e-14, 	3.04, 	(0.322888,0.719041);
14:14:48.565, 	1, 	2, 	20.4058, 	23.5356, 	1, 	-1.249e-14, 	3.04, 	(-0.836922,-0.127719);
14:14:48.583, 	1, 	2, 	23.0764, 	24.978, 	1, 	-1.249e-14, 	3.04, 	(-0.694033,0.525539);
14:14:48.603, 	1, 	2, 	24.9598, 	26.0489, 	1, 	-1.249e-14, 	3.04, 	(0.865445,0.00866814);
14:14:48.624, 	1, 	2, 	19.3669, 	23.5758, 	1, 	-1.249e-14, 	3.04, 	(-0.806717,0.0683416);
14:14:48.644, 	1, 	2, 	26.1188, 	25.5213, 	1, 	-1.249e-14, 	3.04, 	(0.725388,0.181865);
14:14:48.664, 	1, 	2, 	25.2253, 	25.1447, 	1, 	-1.249e-14, 	3.04, 	(0.0759323,0.63268);
14:14:48.684, 	1, 	2, 	18.8209, 	22.1906, 	1, 	-1.249e-14, 	3.04, 	(0.525512,0.552132);
14:14:48.704, 	1, 	2, 	27.4875, 	26.635, 	1, 	-1.249e-14, 	3.04, 	(-0.265129,0.739873);
14:14:48.724, 	1, 	2, 	25.8006, 	26.1266, 	1, 	-1.249e-14, 	3.04, 	(0.0228264,0.698404);
14:14:48.745, 	1, 	2, 	25.1619, 	25.9392, 	1, 	-1.249e-14, 	3.04, 	(0.403641,-0.441251);
14:14:48.765, 	1, 	2, 	18.7857, 	22.4723, 	1, 	-1.249e-14, 	3.04, 	(-0.34017,0.683421);
14:14:48.785, 	1, 	2, 	21.6393, 	24.2836, 	1, 	-1.249e-14, 	3.04, 	(0.83394,0.0808533);
14:14:48.805, 	1, 	2, 	25.1719, 	25.3984, 	1, 	-1.249e-14, 	3.04, 	(-0.387622,-0.54519);
14:14:48.825, 	1, 	2, 	25.3591, 	25.2756, 	1, 	-1.249e-14, 	3.04, 	(0.0552691,0.563166);
14:14:48.846, 	1, 	2, 	26.1404, 	16.8367, 	1, 	-1.249e-14, 	3.04, 	(0.358559,0.0863633);
14:14:48.866, 	1, 	2, 	25.9325, 	25.5946, 	1, 	-1.249e-14, 	3.04, 	(0.692356,-0.168508);
14:14:48.886, 	1, 	2, 	26.691, 	24.949, 	1, 	-1.249e-14, 	3.04, 	(-0.253794,-0.583001);
14:14:48.906, 	1, 	2, 	28.031, 	26.727, 	1, 	-1.249e-14, 	3.04, 	(0.0893273,-0.853583);
14:14:48.926, 	1, 	2, 	28.6242, 	26.7572, 	1, 	-1.249e-14, 	3.04, 	(-0.697785,-0.378473);
14:14:48.946, 	1, 	2, 	27.7965, 	26.2681, 	1, 	-1.249e-14, 	3.04, 	(0.686223,0.167607);
14:14:48.966, 	1, 	2, 	26.7494, 	26.4406, 	1, 	-1.249e-14, 	3.04, 	(-0.680828,0.550711);
14:14:48.987, 	1, 	2, 	18.743, 	22.5335, 	1, 	-1.249e-14, 	3.04, 	(0.333498,-0.756478);
14:14:49.007, 	1, 	2, 	21.6849, 	24.8987, 	1, 	-1.249e-14, 	3.04, 	(0.286595,-0.82928);
14:14:49.030, 	1, 	2, 	26.7339, 	27.1215, 	1, 	-1.249e-14, 	3.04, 	(0.580026,0.628958);
14:14:49.048, 	1, 	2, 	18.8828, 	22.8417, 	1, 	-1.249e-14, 	3.04, 	(0.795038,-0.0878048);
14:14:49.067, 	1, 	2, 	27.387, 	25.6422, 	1, 	-1.249e-14, 	3.04, 	(-0.757693,0.26254);
14:14:49.088, 	1, 	2, 	26.5785, 	26.2323, 	1, 	-1.249e-14, 	3.04, 	(-0.725141,-0.0257233);
14:14:49.108, 	1, 	2, 	25.4921, 	26.4327, 	1, 	-1.249e-14, 	3.04, 	(0.275887,-0.843954);
14:14:49.132, 	1, 	2, 	27.5441, 	26.5118, 	1, 	-1.249e-14, 	3.04, 	(-0.618823,-0.605138);
14:14:49.148, 	1, 	2, 	21.3646, 	25.0398, 	1, 	-1.249e-14, 	3.04, 	(-0.557738,0.701031);
14:14:49.169, 	1, 	2, 	24.5685, 	26.0115, 	1, 	-1.249e-14, 	3.04, 	(-0.693636,-0.606812);
14:14:49.188, 	1, 	2, 	27.2844, 	26.2543, 	1, 	-1.249e-14, 	3.04, 	(-0.164464,-0.56457);
14:14:49.209, 	1, 	2, 	27.7904, 	27.0025, 	1, 	-1.249e-14, 	3.04, 	(0.67538,0.526743);
14:14:49.229, 	1, 	2, 	26.6588, 	26.0486, 	1, 	-1.249e-14, 	3.04, 	(0.453557,-0.625688);
