2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	24.4603, 	24.4603, 	4.52375, 	0, 	0.0
1, 	24.4603, 	24.4603, 	10.2779, 	0, 	0.0
1, 	24.4603, 	24.4603, 	13.3308, 	0, 	0.0
1, 	31.5631, 	31.5631, 	11.2844, 	1, 	0.0
1, 	31.5631, 	31.5631, 	15.208, 	1, 	0.0
2, 	22.508, 	22.508, 	18.3435, 	1, 	0.506667
2, 	22.508, 	22.508, 	17.3248, 	1, 	0.868571
2, 	33.6892, 	33.6892, 	18.3349, 	1, 	1.14
2, 	33.6892, 	33.6892, 	19.2044, 	1, 	1.35111
2, 	23.4805, 	23.4805, 	18.1267, 	1, 	1.52
2, 	23.4805, 	23.4805, 	19.5771, 	1, 	1.824
2, 	20.5829, 	20.5829, 	17.7799, 	1, 	2.128
2, 	20.5829, 	20.5829, 	19.6727, 	1, 	2.432
2, 	19.6296, 	19.6296, 	19.9459, 	1, 	2.736
2, 	19.6296, 	19.6296, 	19.3576, 	1, 	3.04
2, 	18.6818, 	18.6818, 	19.8427, 	1, 	3.04
2, 	18.6818, 	18.6818, 	20.0247, 	1, 	3.04
2, 	19.6296, 	19.6296, 	21.6081, 	1, 	3.04
2, 	19.6296, 	19.6296, 	20.5523, 	1, 	3.04
2, 	17.7394, 	17.7394, 	20.6437, 	1, 	3.04
2, 	17.7394, 	17.7394, 	19.2567, 	1, 	3.04
2, 	17.7394, 	17.7394, 	21.3635, 	1, 	3.04
2, 	17.7394, 	17.7394, 	20.7629, 	1, 	3.04
2, 	16.8018, 	16.8018, 	22.5821, 	1, 	3.04
2, 	16.8018, 	16.8018, 	22.7575, 	1, 	3.04
2, 	15.8689, 	15.8689, 	22.3062, 	1, 	3.04
2, 	15.8689, 	15.8689, 	22.2345, 	1, 	3.04
2, 	14.9403, 	14.9403, 	22.8961, 	1, 	3.04
2, 	14.9403, 	14.9403, 	23.4441, 	1, 	3.04
2, 	14.0157, 	14.0157, 	22.1535, 	1, 	3.04
2, 	14.0157, 	14.0157, 	22.4065, 	1, 	3.04
2, 	14.9403, 	14.9403, 	22.4751, 	1, 	3.04
