(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-08-2023 17:35:25time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
17:35:25.255, 	0, 	2, 	12.1189, 	4.52375, 	0, 	0, 	0, 	(0.00254471,0.0138812);
17:35:25.272, 	0, 	1, 	13.1399, 	10.2779, 	0, 	100, 	0, 	(0.182075,-0.229647);(0.0940642,0.426642);(-0.34508,0.167975);(-0.285269,-0.322782);
17:35:25.292, 	0, 	1, 	12.4758, 	13.3308, 	0, 	100, 	0, 	(0.152116,-0.248592);(0.148223,0.417944);(-0.423861,0.254768);(-0.41402,-0.349486);
17:35:25.312, 	1, 	1, 	13.2973, 	11.2844, 	0, 	75, 	0, 	(0.151132,-0.277277);(0.236768,0.392495);(-0.368705,0.287697);(-0.406201,-0.283305);
17:35:25.332, 	1, 	1, 	13.6588, 	15.208, 	0, 	60, 	0, 	(0.128383,0.265308);(-0.381784,0.0158561);(-0.0838109,-0.196395);(0.186707,-0.133043);
17:35:25.356, 	1, 	2, 	15.7617, 	18.3435, 	1, 	50, 	0.506667, 	(0.0581484,-0.146753);
17:35:25.376, 	1, 	2, 	15.1979, 	17.3248, 	1, 	42.8571, 	0.868571, 	(-0.061404,0.215362);
17:35:25.397, 	1, 	2, 	14.6799, 	18.3349, 	1, 	37.5, 	1.14, 	(0.0968566,-0.168994);
17:35:25.417, 	1, 	2, 	13.3702, 	19.2044, 	1, 	33.3333, 	1.35111, 	(-0.187605,0.119073);
17:35:25.437, 	1, 	2, 	14.0872, 	18.1267, 	1, 	30, 	1.52, 	(0.204986,-0.0880983);
17:35:25.457, 	1, 	2, 	15.004, 	19.5771, 	1, 	27.2727, 	1.824, 	(0.0237282,0.228776);
17:35:25.477, 	1, 	2, 	15.2749, 	17.7799, 	1, 	25, 	2.128, 	(-0.172719,-0.121383);
17:35:25.497, 	1, 	2, 	16.076, 	19.6727, 	1, 	23.0769, 	2.432, 	(0.0567512,-0.185245);
17:35:25.517, 	1, 	2, 	17.2965, 	19.9459, 	1, 	21.4286, 	2.736, 	(-0.082861,0.138493);
17:35:25.537, 	1, 	2, 	16.2595, 	19.3576, 	1, 	20, 	3.04, 	(-0.240154,0.0305997);
