(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-10-2023 20:20:21time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
20:20:21.296, 	1, 	1, 	13.4442, 	14.4406, 	0, 	0, 	0, 	(-0.212605,0.0546953);(-0.144373,-0.089983);(-0.103506,-0.0694886);(-0.153519,-0.230808);
20:20:44.496, 	1, 	2, 	18.8198, 	14.1852, 	1, 	0, 	1.52, 	(-0.110517,-0.0519356);
20:20:44.536, 	1, 	2, 	13.1754, 	21.5326, 	1, 	0, 	2.02667, 	(0.168223,-0.28186);
20:20:44.597, 	1, 	2, 	14.0414, 	17.732, 	1, 	0, 	2.28, 	(-0.134941,0.164221);
20:20:44.637, 	0, 	2, 	14.7777, 	15.1257, 	1, 	0, 	2.28, 	(-0.0622591,-0.132028);
20:20:44.681, 	1, 	1, 	16.7512, 	15.5161, 	0, 	16.6667, 	1.52, 	(-0.368593,-0.19821);(0.346551,-0.393197);(0.324223,0.0276437);(0.0947444,0.350316);
20:20:44.737, 	1, 	2, 	16.5306, 	17.428, 	1, 	14.2857, 	1.73714, 	(-0.0299715,0.154258);
20:20:44.798, 	1, 	2, 	13.0219, 	12.4638, 	1, 	12.5, 	1.9, 	(-0.100467,-0.0434441);
20:20:44.838, 	1, 	2, 	16.344, 	15.3524, 	1, 	11.1111, 	2.02667, 	(-0.0578196,-0.083766);
20:20:44.898, 	0, 	2, 	10.9457, 	7.43909, 	1, 	11.1111, 	2.02667, 	(-0.011332,0.0232615);
20:20:44.932, 	1, 	1, 	13.9974, 	16.1558, 	0, 	18.1818, 	1.824, 	(0.126526,0.0377268);(0.0212363,0.317765);(-0.075538,0.233861);(-0.237275,0.0440927);
20:20:44.998, 	1, 	2, 	14.4505, 	14.5551, 	1, 	16.6667, 	1.824, 	(0.0318859,-0.0611993);
20:20:45.038, 	1, 	2, 	17.2381, 	17.6076, 	1, 	15.3846, 	1.824, 	(0.0944025,0.0361483);
20:20:45.099, 	0, 	2, 	14.1079, 	13.6342, 	1, 	15.3846, 	1.824, 	(0.0474192,0.0754897);
20:20:45.132, 	0, 	1, 	11.1435, 	7.04858, 	0, 	21.4286, 	1.52, 	(-0.0760152,0.0849111);(-0.0572918,-0.166547);(0.12129,-0.103036);(0.0979337,0.0996899);
20:20:45.182, 	0, 	1, 	8.31819, 	5.47715, 	0, 	26.6667, 	1.52, 	(-0.0854359,-0.0621769);(0.16795,-0.0807139);(0.136658,0.082439);(-0.0292781,0.181835);
20:20:45.233, 	1, 	1, 	12.6044, 	16.4403, 	0, 	29.4118, 	1.216, 	(0.0423624,0.247251);(-0.25452,0.0436462);(-0.088692,-0.112451);(0.137233,-0.0528804);
20:20:45.300, 	0, 	2, 	15.536, 	7.38016, 	0, 	29.4118, 	1.216, 	(-0.0258702,-0.0438211);
20:20:45.334, 	0, 	1, 	14.1871, 	0.621082, 	0, 	33.3333, 	0.912, 	(0.0803185,-0.0882791);(0.152749,0.241858);(0.192837,0.219694);(-0.000576869,0.302084);
20:20:45.383, 	1, 	1, 	12.6517, 	11.7623, 	0, 	35, 	0.608, 	(0.0252621,0.120804);(-0.199359,0.144149);(-0.295282,0.0358781);(-0.42513,-0.176033);
20:20:45.441, 	0, 	2, 	12.0359, 	12.2992, 	0, 	35, 	0.608, 	(0.0733982,-0.0385728);
20:20:45.584, 	1, 	1, 	10.4202, 	6.99346, 	0, 	36.3636, 	0.304, 	(0.0682472,0.0767633);(-0.0712979,0.0858954);(-0.0508309,0.0181604);(-0.0414355,-0.0339838);
20:20:45.641, 	0, 	2, 	10.3809, 	10.064, 	0, 	36.3636, 	0.304, 	(-0.0410906,-0.018946);
20:20:45.684, 	0, 	1, 	11.262, 	7.29369, 	0, 	39.1304, 	-3.55271e-16, 	(0.215085,0.102349);(-0.235631,0.145125);(-0.250935,-0.0350465);(-0.242882,-0.26469);
20:20:45.784, 	0, 	1, 	10.5113, 	7.11285, 	0, 	41.6667, 	-3.55271e-16, 	(0.0422383,-0.0605521);(-0.0510907,0.257039);(-0.182804,-0.057364);(-0.112904,0.0333263);
20:20:45.834, 	0, 	1, 	9.08223, 	11.5221, 	0, 	44, 	-3.55271e-16, 	(0.0512455,-0.100637);(0.118079,-0.0443857);(0.201162,0.0745995);(-0.00597312,0.266977);
20:20:45.884, 	1, 	1, 	13.3761, 	11.4696, 	0, 	48, 	-3.55271e-16, 	(-0.129583,-0.0602688);(-0.0257255,-0.208413);(0.0793583,-0.071566);(0.0688284,0.0341345);
20:20:45.942, 	0, 	2, 	8.267, 	9.1362, 	0, 	48, 	-3.55271e-16, 	(0.0396822,-0.0563633);
