(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:35:55.495, 	1, 	2, 	23.8687, 	24.9907, 	1, 	-1.249e-14, 	3.04, 	(-0.0279943,0.597215);
14:35:55.516, 	1, 	2, 	24.4188, 	24.7845, 	1, 	-1.249e-14, 	3.04, 	(-0.495866,0.0418458);
14:35:55.536, 	1, 	2, 	18.2662, 	22.0825, 	1, 	-1.249e-14, 	3.04, 	(-0.69728,0.189288);
14:35:55.556, 	1, 	2, 	22.0472, 	24.743, 	1, 	-1.249e-14, 	3.04, 	(0.325817,-0.688449);
14:35:55.576, 	1, 	2, 	22.2343, 	25.7182, 	1, 	-1.249e-14, 	3.04, 	(0.624981,0.463003);
14:35:55.596, 	1, 	2, 	24.8571, 	25.6704, 	1, 	-1.249e-14, 	3.04, 	(-0.642747,-0.395233);
14:35:55.617, 	1, 	2, 	23.1768, 	25.1679, 	1, 	-1.249e-14, 	3.04, 	(-0.0925594,-0.701528);
14:35:55.636, 	1, 	2, 	24.038, 	25.6104, 	1, 	-1.249e-14, 	3.04, 	(0.341786,0.534595);
14:35:55.656, 	1, 	2, 	22.8429, 	24.9242, 	1, 	-1.249e-14, 	3.04, 	(-0.0655354,0.524726);
14:35:55.677, 	1, 	2, 	24.1517, 	26.1455, 	1, 	-1.249e-14, 	3.04, 	(-0.622097,0.435676);
14:35:55.697, 	1, 	2, 	25.1405, 	26.1199, 	1, 	-1.249e-14, 	3.04, 	(0.00726267,-0.679763);
14:35:55.717, 	1, 	2, 	24.3344, 	25.118, 	1, 	-1.249e-14, 	3.04, 	(0.213829,0.540218);
14:35:55.737, 	1, 	2, 	18.462, 	21.2163, 	1, 	-1.249e-14, 	3.04, 	(0.588293,0.452003);
14:35:55.757, 	1, 	2, 	26.4221, 	25.5475, 	1, 	-1.249e-14, 	3.04, 	(-0.389749,0.589025);
14:35:55.777, 	1, 	2, 	23.9502, 	25.4351, 	1, 	-1.249e-14, 	3.04, 	(-0.422378,-0.666413);
14:35:55.798, 	1, 	2, 	25.3626, 	25.6399, 	1, 	-1.249e-14, 	3.04, 	(0.142343,0.45877);
14:35:55.818, 	1, 	2, 	20.2709, 	23.8399, 	1, 	-1.249e-14, 	3.04, 	(-0.162175,-0.737672);
14:35:55.838, 	1, 	2, 	21.4811, 	25.565, 	1, 	-1.249e-14, 	3.04, 	(-0.546504,0.5698);
14:35:55.858, 	1, 	2, 	25.0631, 	25.3457, 	1, 	-1.249e-14, 	3.04, 	(-0.436925,-0.303672);
14:35:55.878, 	1, 	2, 	24.6732, 	25.6475, 	1, 	-1.249e-14, 	3.04, 	(0.0960504,0.748023);
14:35:55.898, 	1, 	2, 	21.7496, 	24.8732, 	1, 	-1.249e-14, 	3.04, 	(-0.224999,0.771681);
14:35:55.919, 	1, 	2, 	25.4778, 	25.3576, 	1, 	-1.249e-14, 	3.04, 	(0.502852,0.371303);
