(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:52:59.576, 	0, 	1, 	10.4736, 	10.9685, 	0, 	60, 	-7.10543e-17, 	(-0.124429,0.00848137);(0.0625952,-0.204425);(0.0941557,-0.141836);(0.267026,-0.064591);
17:52:59.603, 	0, 	2, 	9.50678, 	9.95722, 	0, 	64, 	-7.10543e-17, 	(0.0343594,0.0494663);
17:52:59.617, 	1, 	1, 	10.8792, 	6.96084, 	0, 	64, 	-7.10543e-17, 	(-0.0438005,-0.0911525);(0.165476,-0.0279406);(0.195354,0.0443882);(0.142609,0.147672);
17:52:59.636, 	0, 	1, 	9.90249, 	4.12667, 	0, 	64, 	-7.10543e-17, 	(0.129822,0.0272523);(0.0146941,0.146337);(-0.0221294,0.0897837);(-0.0964516,0.0583561);
17:52:59.656, 	1, 	1, 	10.3138, 	8.2264, 	0, 	68, 	-7.10543e-17, 	(0.124152,-0.114907);(0.141638,0.186377);(-0.000390299,0.159821);(-0.143516,0.1773);
17:52:59.676, 	0, 	1, 	9.40992, 	3.671, 	0, 	68, 	-7.10543e-17, 	(-0.0440493,0.134811);(-0.144293,0.0102489);(-0.132523,-0.0943138);(-0.0574228,-0.126519);
17:52:59.696, 	1, 	1, 	11.2157, 	9.75572, 	0, 	68, 	-7.10543e-17, 	(0.181682,0.0304072);(-0.0534138,0.262202);(-0.150573,0.25635);(-0.223528,0.0918223);
17:52:59.717, 	1, 	1, 	10.8776, 	13.846, 	0, 	64, 	-7.10543e-17, 	(0.0907887,-0.13092);(0.209933,0.0379735);(0.150697,0.120154);(0.0534431,0.206771);
17:52:59.744, 	1, 	2, 	13.2601, 	13.0129, 	1, 	60, 	0.304, 	(-0.0764844,-0.0639807);
17:52:59.764, 	1, 	2, 	11.6563, 	15.4221, 	1, 	56, 	0.608, 	(-0.078433,0.0527242);
17:52:59.784, 	0, 	2, 	14.1757, 	12.9486, 	1, 	56, 	0.608, 	(0.0476035,-0.030851);
17:52:59.805, 	0, 	2, 	7.08986, 	9.33811, 	0, 	60, 	0.608, 	(0.00755986,-0.0630291);
17:52:59.817, 	1, 	1, 	13.2758, 	12.1424, 	0, 	60, 	0.608, 	(0.12312,0.113372);(-0.0943704,0.217374);(-0.0742501,0.0933479);(-0.112778,0.0223663);
17:52:59.837, 	1, 	1, 	11.5758, 	13.4504, 	0, 	60, 	0.608, 	(0.0419323,-0.16737);(0.252814,-0.0425682);(0.298176,0.038357);(0.311117,0.218308);
17:52:59.865, 	1, 	2, 	12.8861, 	13.8381, 	1, 	56, 	0.912, 	(0.00663298,0.10417);
17:52:59.885, 	1, 	2, 	13.846, 	13.6326, 	1, 	52, 	1.216, 	(-0.112331,0.0180857);
17:52:59.906, 	0, 	2, 	10.4537, 	5.21338, 	1, 	52, 	1.216, 	(0.0289524,-0.000559325);
17:52:59.925, 	0, 	2, 	12.6305, 	2.14576, 	0, 	52, 	1.216, 	(-0.00817637,-0.0111286);
17:52:59.939, 	1, 	1, 	13.3437, 	11.5159, 	0, 	48, 	0.912, 	(0.110111,-0.215056);(0.269625,0.053446);(0.160896,0.103607);(0.136761,0.105435);
17:52:59.958, 	1, 	1, 	15.802, 	9.79136, 	0, 	48, 	0.608, 	(0.222737,0.0044736);(0.177308,0.297956);(0.0881894,0.226839);(6.65165e-05,0.277859);
17:52:59.986, 	1, 	2, 	12.4239, 	14.3574, 	1, 	44, 	0.912, 	(-0.0471287,0.11166);
17:53:00.006, 	1, 	2, 	11.2654, 	12.3669, 	1, 	40, 	1.216, 	(-0.0417854,-0.0116569);
17:53:00.027, 	0, 	2, 	10.6052, 	1.8495, 	1, 	40, 	1.216, 	(0.0124473,0.010447);
17:53:00.046, 	1, 	2, 	10.9998, 	10.9713, 	1, 	36, 	1.52, 	(-0.0271103,0.072105);
17:53:00.058, 	1, 	1, 	12.6237, 	10.5835, 	0, 	36, 	1.216, 	(0.135479,0.0839606);(-0.0750815,0.238471);(-0.167296,0.207037);(-0.117766,0.136871);
17:53:00.087, 	0, 	2, 	15.1193, 	7.40434, 	0, 	36, 	1.216, 	(-0.0108351,0.00259099);
17:53:00.107, 	0, 	2, 	16.029, 	5.71874, 	0, 	36, 	0.912, 	(0.00573094,0.00755752);
17:53:00.118, 	1, 	1, 	16.0488, 	13.1053, 	0, 	36, 	0.912, 	(-0.00751961,-0.275436);(0.334069,-0.1942);(0.248399,-0.162295);(0.318676,-0.0970827);
17:53:00.139, 	1, 	1, 	17.0006, 	16.4729, 	0, 	32, 	0.912, 	(0.143417,-0.229653);(0.357921,-0.0984424);(0.231643,-0.0985903);(0.278457,-0.00830394);
17:53:00.167, 	1, 	2, 	15.9002, 	16.4167, 	1, 	32, 	1.216, 	(0.0902038,-0.136313);
17:53:00.187, 	1, 	2, 	14.8957, 	14.2176, 	1, 	28, 	1.216, 	(-0.111214,-0.0594518);
17:53:00.208, 	0, 	2, 	10.6572, 	4.47037, 	1, 	28, 	1.216, 	(0.0140221,0.00840484);
17:53:00.228, 	0, 	2, 	10.198, 	1.49331, 	0, 	32, 	0.912, 	(-0.00406174,-0.00148877);
17:53:00.242, 	0, 	1, 	8.13595, 	2.58394, 	0, 	36, 	0.912, 	(0.0373414,0.0414916);(0.137052,-0.0120744);(0.0772342,-0.0892332);(0.109595,-0.0740745);
17:53:00.259, 	0, 	1, 	11.476, 	7.69423, 	0, 	40, 	0.608, 	(-0.000432563,0.0609576);(-0.0181869,0.106706);(-0.0664787,0.0620336);(-0.0261609,0.0736226);
17:53:00.279, 	0, 	1, 	11.2459, 	7.20786, 	0, 	44, 	0.608, 	(0.0942317,0.167562);(-0.0543483,0.0896792);(-0.0727493,0.237406);(-0.157876,0.0315742);
17:53:00.300, 	1, 	1, 	15.6521, 	18.164, 	0, 	40, 	0.608, 	(0.0968935,0.135594);(-0.163048,0.361987);(-0.17239,0.243653);(-0.134495,0.187095);
17:53:00.319, 	1, 	1, 	15.7234, 	13.1373, 	0, 	40, 	0.608, 	(-0.306063,0.225724);(-0.245124,-0.126991);(-0.310923,-0.0292986);(-0.26104,-0.0293236);
17:53:00.349, 	0, 	2, 	18.1609, 	13.2375, 	0, 	40, 	0.608, 	(0.00458852,-0.0836362);
17:53:00.370, 	0, 	2, 	20.3688, 	13.0174, 	0, 	44, 	0.608, 	(0.0429978,0.0450146);
17:53:00.383, 	1, 	1, 	20.4612, 	19.0793, 	0, 	48, 	-7.10543e-17, 	(-0.227654,0.150791);(-0.594454,0.0740263);(-0.4784,-0.0152598);(-0.58276,0.312245);
17:53:00.400, 	1, 	1, 	20.7143, 	20.8823, 	0, 	44, 	-7.10543e-17, 	(-0.14174,0.430841);(-0.622971,0.117339);(-0.291794,0.3362);(-0.438783,0.285626);
17:53:00.429, 	1, 	2, 	17.2808, 	17.9792, 	1, 	40, 	0.304, 	(-0.0241872,0.235016);
17:53:00.449, 	1, 	2, 	17.1153, 	18.3612, 	1, 	40, 	0.608, 	(0.0769252,0.17293);
17:53:00.469, 	1, 	2, 	20.5253, 	11.7835, 	1, 	40, 	0.912, 	(0.00453195,0.0894294);
17:53:00.490, 	0, 	2, 	17.9016, 	12.8939, 	1, 	40, 	0.912, 	(-0.0435294,0.0558661);
17:53:00.511, 	0, 	2, 	20.0251, 	6.28666, 	0, 	44, 	0.912, 	(0.019732,0.0166235);
17:53:00.525, 	1, 	1, 	14.9359, 	12.5256, 	0, 	44, 	0.912, 	(0.0255219,0.256261);(-0.130552,-0.0894976);(0.130552,0.0894976);(0.0255219,0.256261);
