(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:07:22.829, 	1, 	1, 	18.8991, 	18.146, 	0, 	44, 	0.304, 	(0.164746,0.285458);(-0.518695,0.0451363);(-0.313764,-0.517477);(0.405509,-0.481323);
17:07:22.855, 	1, 	2, 	18.5428, 	19.0221, 	1, 	44, 	0.608, 	(-0.158546,0.216599);
17:07:22.876, 	1, 	2, 	18.9825, 	21.4496, 	1, 	44, 	0.608, 	(0.0671292,-0.277338);
17:07:22.896, 	0, 	2, 	14.2727, 	11.9359, 	1, 	44, 	0.608, 	(0.0679559,-0.0280396);
17:07:22.916, 	1, 	2, 	19.6742, 	21.7456, 	1, 	40, 	0.912, 	(0.151501,-0.169952);
17:07:22.932, 	0, 	1, 	21.1534, 	1.04055, 	1, 	40, 	0.912, 	(0.104269,0.453122);(-0.656915,-0.0403033);(-0.153251,-0.519139);(0.461249,-0.475274);
17:07:22.956, 	1, 	2, 	20.3573, 	22.9109, 	1, 	40, 	1.216, 	(0.11756,-0.287066);
17:07:22.970, 	0, 	1, 	14.4427, 	10.6271, 	1, 	40, 	1.216, 	(-0.213235,0.33401);(-0.458854,0.00691167);(-0.134637,0.0100783);(-0.169333,0.0801677);
17:07:22.990, 	1, 	1, 	21.5097, 	17.7677, 	0, 	40, 	1.216, 	(0.538161,0.144893);(-0.207901,0.599301);(-0.287987,0.0727396);(-0.217184,-0.23347);
17:07:23.010, 	1, 	1, 	20.1186, 	15.9339, 	0, 	40, 	1.216, 	(-0.38535,-0.492472);(0.673141,-0.326413);(0.457772,0.35942);(-0.119358,0.605885);
17:07:23.037, 	1, 	2, 	20.0623, 	23.3816, 	1, 	40, 	1.52, 	(-0.237329,0.251115);
17:07:23.058, 	1, 	2, 	20.7554, 	21.58, 	1, 	36, 	1.52, 	(-0.293364,0.12877);
17:07:23.077, 	1, 	2, 	21.3731, 	20.5731, 	1, 	32, 	1.52, 	(0.13768,-0.255451);
17:07:23.098, 	1, 	2, 	21.6013, 	21.4446, 	1, 	32, 	1.824, 	(0.225239,0.278407);
17:07:23.117, 	1, 	2, 	19.3035, 	21.4446, 	1, 	32, 	1.824, 	(0.225239,0.278407);
17:07:23.138, 	1, 	2, 	22.2059, 	22.7241, 	1, 	32, 	2.128, 	(0.272698,0.0556612);
17:07:23.158, 	1, 	2, 	22.0208, 	22.8512, 	1, 	28, 	2.128, 	(0.0148395,0.386791);
17:07:23.178, 	1, 	2, 	22.9312, 	22.8087, 	1, 	28, 	2.432, 	(0.0610929,0.369287);
17:07:23.198, 	1, 	2, 	24.0753, 	22.3192, 	1, 	24, 	2.736, 	(0.306942,0.16898);
17:07:23.218, 	1, 	2, 	22.7819, 	23.5509, 	1, 	20, 	3.04, 	(0.281393,0.0948195);
17:07:23.244, 	1, 	2, 	23.8611, 	23.665, 	1, 	20, 	3.04, 	(-0.243436,-0.0145808);
17:07:23.259, 	1, 	2, 	24.0143, 	23.4243, 	1, 	20, 	3.04, 	(0.398855,-0.152808);
17:07:23.279, 	1, 	2, 	23.1068, 	23.8399, 	1, 	16, 	3.04, 	(-0.367163,-0.322644);
17:07:23.299, 	1, 	2, 	22.7598, 	23.11, 	1, 	12, 	3.04, 	(0.289507,0.110135);
17:07:23.319, 	1, 	2, 	22.809, 	23.7236, 	1, 	12, 	3.04, 	(0.383369,-0.18352);
17:07:23.339, 	1, 	2, 	23.3688, 	23.8137, 	1, 	12, 	3.04, 	(0.302428,-0.233849);
17:07:23.359, 	1, 	2, 	21.9586, 	24.1617, 	1, 	12, 	3.04, 	(0.334779,0.0137512);
17:07:23.380, 	1, 	2, 	22.676, 	23.0483, 	1, 	12, 	3.04, 	(0.259238,0.0436522);
17:07:23.400, 	1, 	2, 	22.4736, 	23.2233, 	1, 	8, 	3.04, 	(-0.287271,-0.288221);
17:07:23.420, 	1, 	2, 	22.0312, 	19.8691, 	1, 	8, 	3.04, 	(0.0936832,-0.0699664);
17:07:23.440, 	1, 	2, 	22.8015, 	20.7104, 	1, 	4, 	3.04, 	(-0.155588,0.104213);
17:07:23.460, 	1, 	2, 	24.1656, 	23.1189, 	1, 	4, 	3.04, 	(0.436475,0.0832378);
17:07:23.480, 	1, 	2, 	20.9259, 	23.8037, 	1, 	9.71445e-15, 	3.04, 	(-0.363289,-0.405085);
17:07:23.501, 	1, 	2, 	22.6081, 	24.4344, 	1, 	9.71445e-15, 	3.04, 	(-0.575506,0.100601);
