(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
12:27:45.538, 	1, 	2, 	8.38382, 	10.8677, 	1, 	92, 	0.608, 	(0.03979,0.0471489);
12:27:45.558, 	0, 	2, 	7.91635, 	9.61022, 	1, 	92, 	0.608, 	(0.0356243,-0.0410235);
12:27:45.598, 	0, 	2, 	8.28792, 	8.60726, 	0, 	92, 	0.608, 	(-0.0790712,-0.0315015);
12:27:45.620, 	0, 	2, 	-2.33394, 	4.41624, 	0, 	92, 	0.608, 	(-0.00115276,0.00154407);
12:27:45.639, 	0, 	2, 	7.70312, 	8.33185, 	0, 	92, 	0.608, 	(-0.0452416,0.00499849);
12:27:45.659, 	0, 	2, 	7.83376, 	7.19486, 	0, 	92, 	0.608, 	(-0.0236632,0.00839434);
12:27:45.699, 	0, 	2, 	8.18363, 	5.64204, 	0, 	92, 	0.608, 	(-0.0120698,-0.0166262);
12:27:45.720, 	0, 	2, 	-1.58954, 	2.93598, 	0, 	92, 	0.304, 	(-0.000365023,-0.00178735);
12:27:45.759, 	0, 	2, 	7.23381, 	5.57108, 	0, 	92, 	0.304, 	(-0.0219785,-0.0216643);
12:27:45.840, 	0, 	2, 	7.3368, 	5.72414, 	0, 	92, 	0.304, 	(0.0197987,0.00439621);
12:27:45.860, 	0, 	2, 	8.48003, 	7.00811, 	0, 	92, 	0.304, 	(0.00262781,-0.00729769);
12:27:45.900, 	0, 	2, 	8.19656, 	8.1891, 	0, 	92, 	-7.10543e-17, 	(-0.00443693,-0.0110721);
12:27:45.920, 	0, 	2, 	7.87233, 	8.78857, 	0, 	92, 	-7.10543e-17, 	(-0.054303,-0.0478845);
12:27:46.003, 	0, 	2, 	-2.0689, 	-0.706253, 	0, 	92, 	-7.10543e-17, 	(-0.00252254,-0.00289433);
12:27:46.040, 	1, 	2, 	8.37373, 	11.0009, 	1, 	88, 	0.304, 	(-0.0440655,-0.0516148);
12:27:46.061, 	1, 	2, 	8.25958, 	12.1803, 	1, 	84, 	0.608, 	(-0.000394935,-0.0606232);
12:27:46.081, 	1, 	2, 	8.02735, 	13.6146, 	1, 	80, 	0.912, 	(0.0412559,-0.0341886);
12:27:46.121, 	1, 	2, 	9.29019, 	11.8899, 	1, 	76, 	1.216, 	(0.0281071,-0.00296921);
12:27:46.141, 	1, 	2, 	10.5507, 	12.3491, 	1, 	72, 	1.52, 	(-0.061183,0.0470623);
12:27:46.161, 	0, 	2, 	10.7296, 	10.7536, 	1, 	72, 	1.52, 	(-0.0361215,0.0271809);
12:27:46.181, 	1, 	2, 	12.7819, 	13.2363, 	1, 	68, 	1.824, 	(-0.0665672,-0.0667167);
12:27:46.201, 	0, 	2, 	15.2988, 	16.409, 	1, 	68, 	1.824, 	(0.108756,0.052942);
12:27:46.221, 	0, 	2, 	15.8972, 	17.8368, 	0, 	72, 	1.824, 	(-0.121932,0.100033);
12:27:46.241, 	1, 	2, 	14.0798, 	17.2527, 	1, 	68, 	2.128, 	(-0.181914,-0.0449617);
12:27:46.261, 	1, 	2, 	10.0698, 	15.8232, 	1, 	64, 	2.128, 	(0.116652,0.0817036);
12:27:46.283, 	1, 	2, 	9.92562, 	12.7947, 	1, 	64, 	2.128, 	(-0.10299,-0.0331311);
12:27:46.302, 	1, 	2, 	15.3833, 	19.3447, 	1, 	60, 	2.128, 	(-0.10973,0.176907);
12:27:46.322, 	1, 	2, 	14.8372, 	18.4575, 	1, 	56, 	2.128, 	(-0.151245,0.0459806);
