(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:28:26.506, 	0, 	2, 	-0.00237355, 	-0.432315, 	1, 	8, 	2.736, 	(-0.000556091,-0.0366033);

 NEW RECORD - 10-03-2023 15:29:03time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
15:29:04.593, 	1, 	2, 	25.5934, 	24.8465, 	1, 	1.38778e-15, 	3.04, 	(-0.469344,0.128639);
15:29:04.613, 	1, 	2, 	25.0321, 	24.7668, 	1, 	1.38778e-15, 	3.04, 	(-0.149741,0.38595);
15:29:04.633, 	1, 	2, 	25.8936, 	23.1958, 	1, 	1.38778e-15, 	3.04, 	(0.232637,-0.132316);
15:29:04.673, 	1, 	2, 	21.0512, 	24.8287, 	1, 	1.38778e-15, 	3.04, 	(-0.285837,0.394387);
15:29:04.673, 	1, 	2, 	23.8897, 	22.4062, 	1, 	1.38778e-15, 	3.04, 	(-0.33771,-0.112334);
15:29:04.694, 	1, 	2, 	26.0202, 	22.8112, 	1, 	1.38778e-15, 	3.04, 	(0.111031,-0.184534);
15:29:04.714, 	1, 	2, 	26.9738, 	22.4758, 	1, 	1.38778e-15, 	3.04, 	(-0.267448,-0.147483);
15:29:04.734, 	1, 	2, 	23.4718, 	22.0385, 	1, 	1.38778e-15, 	3.04, 	(0.209434,0.285544);
15:29:04.771, 	1, 	2, 	26.3477, 	22.0394, 	1, 	1.38778e-15, 	3.04, 	(0.226179,0.0341163);
15:29:04.774, 	1, 	2, 	19.5597, 	23.3342, 	1, 	1.38778e-15, 	3.04, 	(-0.413638,0.404021);
15:29:04.794, 	1, 	2, 	27.2132, 	21.927, 	1, 	1.38778e-15, 	3.04, 	(-0.142528,-0.104032);
15:29:04.815, 	1, 	2, 	26.8155, 	25.0487, 	1, 	1.38778e-15, 	3.04, 	(0.0301461,-0.32295);
15:29:04.835, 	1, 	2, 	27.7375, 	23.2246, 	1, 	1.38778e-15, 	3.04, 	(0.40844,0.234411);
15:29:04.845, 	1, 	2, 	29.1825, 	19.5737, 	1, 	1.38778e-15, 	3.04, 	(-0.0784001,0.192315);
15:29:04.870, 	1, 	2, 	24.136, 	20.3345, 	1, 	1.38778e-15, 	3.04, 	(-0.201015,-0.170885);
15:29:04.885, 	1, 	2, 	27.8041, 	24.6127, 	1, 	1.38778e-15, 	3.04, 	(-0.50466,0.0630191);
15:29:04.905, 	1, 	2, 	28.3609, 	24.5314, 	1, 	1.38778e-15, 	3.04, 	(-0.453574,-0.158246);
15:29:04.925, 	1, 	2, 	28.2472, 	23.8106, 	1, 	1.38778e-15, 	3.04, 	(0.360188,-0.188998);
15:29:04.946, 	1, 	2, 	26.2356, 	23.8938, 	1, 	1.38778e-15, 	3.04, 	(0.514675,0.104893);
15:29:04.969, 	1, 	2, 	27.7376, 	23.9589, 	1, 	1.38778e-15, 	3.04, 	(-0.251617,-0.135583);
15:29:04.986, 	1, 	2, 	27.8179, 	23.5349, 	1, 	1.38778e-15, 	3.04, 	(0.0947322,0.464604);
15:29:05.006, 	1, 	2, 	25.1072, 	20.71, 	1, 	1.38778e-15, 	3.04, 	(-0.211711,0.105032);
15:29:05.027, 	1, 	2, 	29.0554, 	21.7196, 	1, 	1.38778e-15, 	3.04, 	(-0.192906,-0.0660057);
15:29:05.047, 	1, 	2, 	21.5911, 	23.8731, 	1, 	1.38778e-15, 	3.04, 	(0.31038,-0.537753);
15:29:05.070, 	1, 	2, 	28.8768, 	25.566, 	1, 	1.38778e-15, 	3.04, 	(-0.375689,0.414935);
15:29:05.087, 	1, 	2, 	28.1944, 	25.9073, 	1, 	1.38778e-15, 	3.04, 	(-0.504289,0.562881);
15:29:05.107, 	1, 	2, 	29.5639, 	25.2915, 	1, 	1.38778e-15, 	3.04, 	(0.228543,0.671416);
15:29:05.127, 	1, 	2, 	23.994, 	25.6427, 	1, 	1.38778e-15, 	3.04, 	(0.691443,-0.434176);
15:29:05.169, 	1, 	2, 	28.0661, 	26.9646, 	1, 	1.38778e-15, 	3.04, 	(0.599205,-0.549528);
15:29:05.169, 	1, 	2, 	30.0959, 	25.3843, 	1, 	1.38778e-15, 	3.04, 	(-0.692511,-0.331567);
15:29:05.192, 	1, 	2, 	28.7774, 	23.9614, 	1, 	1.38778e-15, 	3.04, 	(-0.16642,0.0463668);
15:29:05.208, 	1, 	2, 	27.5063, 	22.8713, 	1, 	1.38778e-15, 	3.04, 	(-0.149648,0.289775);
15:29:05.228, 	1, 	2, 	19.0616, 	21.0699, 	1, 	1.38778e-15, 	3.04, 	(-0.368818,-0.125101);
15:29:05.270, 	1, 	2, 	30.0344, 	24.2819, 	1, 	1.38778e-15, 	3.04, 	(0.0743843,-0.253932);
15:29:05.270, 	1, 	2, 	28.5432, 	22.2168, 	1, 	1.38778e-15, 	3.04, 	(-0.0574391,-0.00780337);
15:29:05.288, 	1, 	2, 	28.4407, 	21.2612, 	1, 	1.38778e-15, 	3.04, 	(0.0584519,0.0465884);
15:29:05.308, 	1, 	2, 	30.0045, 	22.16, 	1, 	1.38778e-15, 	3.04, 	(-0.018399,-0.110133);
15:29:05.369, 	1, 	2, 	29.5096, 	20.8336, 	1, 	1.38778e-15, 	3.04, 	(-0.0232017,-0.19627);
15:29:05.370, 	1, 	2, 	30.7678, 	20.2039, 	1, 	1.38778e-15, 	3.04, 	(0.126297,-0.160462);
15:29:05.389, 	1, 	2, 	24.304, 	19.9202, 	1, 	1.38778e-15, 	3.04, 	(0.247823,0.068553);
15:29:05.409, 	1, 	2, 	29.1044, 	20.3551, 	1, 	1.38778e-15, 	3.04, 	(-0.0541669,0.109812);
15:29:05.430, 	1, 	2, 	20.1358, 	18.7892, 	1, 	1.38778e-15, 	3.04, 	(-0.255223,-0.0326554);
15:29:05.469, 	1, 	2, 	24.4816, 	19.4256, 	1, 	1.38778e-15, 	3.04, 	(-0.141603,0.222248);
15:29:05.471, 	1, 	2, 	28.4726, 	20.3497, 	1, 	1.38778e-15, 	3.04, 	(0.00944064,-0.127594);
15:29:05.490, 	1, 	2, 	19.9042, 	19.1621, 	1, 	1.38778e-15, 	3.04, 	(0.252096,-0.116193);
15:29:05.510, 	1, 	2, 	30.3053, 	25.1432, 	1, 	1.38778e-15, 	3.04, 	(0.587196,0.427769);
15:29:05.530, 	1, 	2, 	28.0117, 	26.4415, 	1, 	1.38778e-15, 	3.04, 	(0.0730927,0.902458);
15:29:05.570, 	1, 	2, 	32.0116, 	20.3047, 	1, 	1.38778e-15, 	3.04, 	(0.198611,-0.00516203);
15:29:05.571, 	1, 	2, 	31.3295, 	20.817, 	1, 	1.38778e-15, 	3.04, 	(0.126397,0.10115);
15:29:05.591, 	1, 	2, 	30.922, 	25.3827, 	1, 	1.38778e-15, 	3.04, 	(-0.266538,-0.471891);
15:29:05.611, 	1, 	2, 	29.2909, 	24.7089, 	1, 	1.38778e-15, 	3.04, 	(-0.406434,-0.334567);
15:29:05.632, 	1, 	2, 	32.2398, 	21.9495, 	1, 	1.38778e-15, 	3.04, 	(-0.400483,-0.473305);
15:29:05.671, 	1, 	2, 	28.8667, 	23.6777, 	1, 	1.38778e-15, 	3.04, 	(0.130423,0.303381);
15:29:05.672, 	1, 	2, 	29.7237, 	20.9159, 	1, 	1.38778e-15, 	3.04, 	(-0.00929707,-0.0683361);
15:29:05.692, 	1, 	2, 	31.4645, 	24.7832, 	1, 	1.38778e-15, 	3.04, 	(-0.200499,-0.469655);
15:29:05.712, 	1, 	2, 	24.9441, 	23.9873, 	1, 	1.38778e-15, 	3.04, 	(0.492702,-0.341586);
15:29:05.732, 	1, 	2, 	29.8471, 	21.51, 	1, 	1.38778e-15, 	3.04, 	(0.0508177,-0.0164299);
15:29:05.770, 	1, 	2, 	20.0433, 	19.0356, 	1, 	1.38778e-15, 	3.04, 	(-0.109902,-0.23524);
15:29:05.773, 	1, 	2, 	31.5365, 	21.8951, 	1, 	1.38778e-15, 	3.04, 	(0.0179477,0.0172669);
15:29:05.793, 	1, 	2, 	29.3245, 	25.9066, 	1, 	1.38778e-15, 	3.04, 	(0.456275,-0.488291);
15:29:05.813, 	1, 	2, 	32.3964, 	27.1322, 	1, 	1.38778e-15, 	3.04, 	(-0.658022,0.679401);
15:29:05.833, 	1, 	2, 	22.4815, 	25.3149, 	1, 	1.38778e-15, 	3.04, 	(0.746517,0.650738);
15:29:05.870, 	1, 	2, 	29.8861, 	26.6111, 	1, 	1.38778e-15, 	3.04, 	(-0.711112,0.00470845);
15:29:05.875, 	1, 	2, 	30.7786, 	24.1526, 	1, 	1.38778e-15, 	3.04, 	(0.27279,0.417502);
15:29:05.893, 	1, 	2, 	21.4435, 	21.5848, 	1, 	1.38778e-15, 	3.04, 	(0.132541,0.393419);
15:29:05.914, 	1, 	2, 	26.2775, 	22.1489, 	1, 	1.38778e-15, 	3.04, 	(0.352622,-0.186989);
15:29:05.934, 	1, 	2, 	29.808, 	25.3609, 	1, 	1.38778e-15, 	3.04, 	(0.693056,-0.0812992);
15:29:05.971, 	1, 	2, 	32.7183, 	24.984, 	1, 	1.38778e-15, 	3.04, 	(0.509113,0.403222);
15:29:05.980, 	1, 	2, 	30.1562, 	19.0534, 	1, 	1.38778e-15, 	3.04, 	(0.10956,-0.118955);
15:29:05.994, 	1, 	2, 	29.5665, 	18.8294, 	1, 	1.38778e-15, 	3.04, 	(-0.0542108,-0.218109);
15:29:06.014, 	1, 	2, 	31.5866, 	18.8222, 	1, 	1.38778e-15, 	3.04, 	(-0.142803,0.143102);
15:29:06.035, 	1, 	2, 	24.1719, 	19.9335, 	1, 	1.38778e-15, 	3.04, 	(0.0329672,-0.252698);
15:29:06.071, 	1, 	2, 	28.83, 	22.5386, 	1, 	1.38778e-15, 	3.04, 	(-0.0951221,0.0489318);
15:29:06.075, 	1, 	2, 	31.9443, 	25.9583, 	1, 	1.38778e-15, 	3.04, 	(-0.886575,0.257875);
15:29:06.095, 	1, 	2, 	23.0003, 	25.336, 	1, 	1.38778e-15, 	3.04, 	(-0.902172,0.425176);
15:29:06.115, 	1, 	2, 	30.4008, 	24.5724, 	1, 	1.38778e-15, 	3.04, 	(-0.0130878,0.223579);
15:29:06.135, 	0, 	2, 	29.7947, 	16.7648, 	1, 	1.38778e-15, 	3.04, 	(-0.101262,0.0232836);
15:29:06.171, 	1, 	2, 	31.5649, 	23.4731, 	1, 	4, 	2.736, 	(-0.256669,0.117731);
15:29:06.172, 	1, 	1, 	25.1708, 	23.7104, 	0, 	4, 	2.432, 	(-0.500009,-1.25857);(0.17906,-1.76549);(-0.333719,-2.27616);(-2.01672,-1.75141);
15:29:06.200, 	1, 	2, 	31.5142, 	21.8091, 	1, 	4, 	2.432, 	(0.192752,-0.0479856);
15:29:06.216, 	1, 	2, 	21.6836, 	20.355, 	1, 	4, 	2.432, 	(0.320244,0.00906978);
15:29:06.236, 	1, 	2, 	25.4855, 	26.7299, 	1, 	4, 	2.432, 	(0.956062,-0.272781);
15:29:06.270, 	1, 	2, 	29.2633, 	20.9071, 	1, 	4, 	2.432, 	(-0.146876,0.00309419);
15:29:06.277, 	1, 	2, 	20.6509, 	20.8959, 	1, 	4, 	2.432, 	(0.0874635,0.300689);
15:29:06.297, 	1, 	2, 	24.2633, 	25.2819, 	1, 	4, 	2.432, 	(0.896631,-0.358081);
15:29:06.317, 	1, 	2, 	29.3552, 	25.8907, 	1, 	4, 	2.432, 	(0.951419,0.008412);
15:29:06.337, 	1, 	2, 	20.1342, 	23.9159, 	1, 	4, 	2.736, 	(-0.698444,-0.16523);
15:29:06.370, 	1, 	2, 	31.2391, 	25.6582, 	1, 	4, 	2.736, 	(-0.573223,0.0748847);
15:29:06.378, 	1, 	2, 	27.8203, 	20.5417, 	1, 	4, 	3.04, 	(0.198405,-0.127412);
15:29:06.398, 	1, 	2, 	32.5674, 	21.3632, 	1, 	4, 	3.04, 	(0.0720356,0.144225);
