(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
16:58:10.702, 	1, 	1, 	17.5301, 	14.7789, 	0, 	36, 	1.216, 	(0.42226,0.0661759);(-0.23417,0.54526);(-0.586576,-0.0423397);(-0.27111,-0.6193);
16:58:10.726, 	1, 	2, 	17.3591, 	18.2671, 	1, 	36, 	1.52, 	(-0.126982,-0.176215);
16:58:10.747, 	1, 	2, 	18.3699, 	21.2403, 	1, 	32, 	1.824, 	(0.169194,-0.0742875);
16:58:10.767, 	0, 	2, 	20.1806, 	15.6456, 	1, 	32, 	1.824, 	(-0.0821927,0.0339497);
16:58:10.787, 	1, 	2, 	17.7157, 	18.3656, 	1, 	28, 	1.52, 	(0.104019,-0.0310133);
16:58:10.802, 	1, 	1, 	20.2372, 	20.6631, 	0, 	28, 	1.216, 	(-0.12424,0.509656);(-0.525678,-0.188511);(-0.0625435,-0.189426);(0.168576,-0.125579);
16:58:10.827, 	0, 	2, 	19.7775, 	15.6546, 	0, 	28, 	1.216, 	(-0.0220177,-0.0968363);
16:58:10.847, 	0, 	2, 	18.476, 	17.0525, 	0, 	28, 	0.912, 	(-0.0716858,-0.0863277);
16:58:10.863, 	1, 	1, 	21.4002, 	19.0375, 	0, 	28, 	0.912, 	(-0.243365,-0.4653);(0.594447,-0.175518);(0.222541,0.23815);(-0.0661912,0.378588);
16:58:10.884, 	1, 	1, 	18.7538, 	17.8507, 	0, 	24, 	0.912, 	(-0.474939,-0.115897);(0.381809,-0.518416);(0.792194,0.251569);(0.23707,0.840692);
16:58:10.908, 	1, 	2, 	19.4133, 	18.5973, 	1, 	24, 	1.216, 	(-0.185688,0.158078);
16:58:10.928, 	1, 	2, 	17.7182, 	21.5567, 	1, 	24, 	1.216, 	(-0.237552,0.201444);
16:58:10.948, 	1, 	2, 	21.1465, 	21.9167, 	1, 	24, 	1.216, 	(0.24276,0.045412);
16:58:10.969, 	1, 	2, 	20.9032, 	21.9311, 	1, 	24, 	1.52, 	(-0.0273101,0.388518);
16:58:10.989, 	1, 	2, 	22.0469, 	23.1723, 	1, 	24, 	1.52, 	(-0.158057,-0.347255);
