(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:06:03.678, 	1, 	2, 	21.9611, 	24.9119, 	1, 	-1.38778e-15, 	3.04, 	(0.451036,-0.344472);
18:06:03.705, 	1, 	2, 	20.4665, 	24.0727, 	1, 	-1.38778e-15, 	3.04, 	(-0.507401,-0.274141);
18:06:03.718, 	1, 	2, 	20.9652, 	23.5866, 	1, 	-1.38778e-15, 	3.04, 	(-0.41876,0.256634);
18:06:03.739, 	1, 	2, 	19.8473, 	23.5753, 	1, 	-1.38778e-15, 	3.04, 	(0.161981,-0.568445);
18:06:03.759, 	1, 	2, 	19.6787, 	23.5753, 	1, 	-1.38778e-15, 	3.04, 	(0.161981,-0.568445);
18:06:03.779, 	1, 	2, 	20.0436, 	24.4842, 	1, 	-1.38778e-15, 	3.04, 	(0.284695,0.483488);
18:06:03.799, 	1, 	2, 	19.2137, 	24.2185, 	1, 	-1.38778e-15, 	3.04, 	(-0.437198,-0.393503);
18:06:03.819, 	1, 	2, 	19.6718, 	24.9823, 	1, 	-1.38778e-15, 	3.04, 	(-0.425528,-0.233057);
18:06:03.840, 	1, 	2, 	19.8567, 	24.9604, 	1, 	-1.38778e-15, 	3.04, 	(-0.554076,0.253039);
18:06:03.860, 	1, 	2, 	20.2478, 	24.4236, 	1, 	-1.38778e-15, 	3.04, 	(-0.223418,0.54837);
18:06:03.880, 	1, 	2, 	22.157, 	24.1723, 	1, 	-1.38778e-15, 	3.04, 	(-0.118675,-0.565334);
18:06:03.900, 	1, 	2, 	19.2352, 	23.8163, 	1, 	-1.38778e-15, 	3.04, 	(-0.520335,-0.357137);
18:06:03.920, 	1, 	2, 	21.5837, 	24.5268, 	1, 	-1.38778e-15, 	3.04, 	(-0.398398,-0.510384);
18:06:03.941, 	1, 	2, 	23.1765, 	24.907, 	1, 	-1.38778e-15, 	3.04, 	(0.0364204,0.421729);
18:06:03.961, 	1, 	2, 	19.1113, 	18.2989, 	1, 	-1.38778e-15, 	3.04, 	(0.158763,-0.324362);
18:06:03.981, 	1, 	2, 	20.2957, 	20.5875, 	1, 	-1.38778e-15, 	3.04, 	(-0.520148,0.0856993);
18:06:04.001, 	1, 	2, 	21.2158, 	24.6484, 	1, 	-1.38778e-15, 	3.04, 	(0.512209,-0.444607);
18:06:04.021, 	1, 	2, 	23.0572, 	24.9859, 	1, 	-1.38778e-15, 	3.04, 	(0.300475,0.60922);
18:06:04.041, 	1, 	2, 	23.4944, 	25.9543, 	1, 	-1.38778e-15, 	3.04, 	(-0.598265,-0.251379);
18:06:04.061, 	1, 	2, 	18.8207, 	23.5186, 	1, 	-1.38778e-15, 	3.04, 	(-0.0869912,-0.648051);
18:06:04.081, 	1, 	2, 	22.1161, 	24.4887, 	1, 	-1.38778e-15, 	3.04, 	(-0.48912,0.260231);
