 NEW RECORD - 08-21-2023 18:30:49, 	peak_power,	 snr_est,	 range,	 angle
18:30:53.070, 	188.067, 	25.2021, 	0.150294, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.171, 	59.6557, 	18.8573, 	0.300587, 	-36.9819
18:30:53.471, 	14.2426, 	15.1419, 	4.6591, 	5.82915
18:30:53.471, 	14.2426, 	15.1419, 	4.6591, 	5.82915
18:30:53.471, 	14.2426, 	15.1419, 	4.6591, 	5.82915
18:30:53.572, 	1353.47, 	32.6366, 	0, 	-34.772
18:30:53.572, 	1353.47, 	32.6366, 	0.0, 	-34.772
18:30:53.572, 	1353.47, 	32.6366, 	0.0, 	-34.772
18:30:53.672, 	71.1623, 	21.7964, 	4.6591, 	2.23869
18:30:53.672, 	71.1623, 	21.7964, 	4.6591, 	2.23869
18:30:53.672, 	71.1623, 	21.7964, 	4.6591, 	2.23869
18:30:53.772, 	1208.68, 	31.8473, 	0, 	-33.6892
18:30:53.772, 	1208.68, 	31.8473, 	0.0, 	-33.6892
18:30:53.772, 	1208.68, 	31.8473, 	0.0, 	-33.6892
18:30:53.872, 	200.766, 	23.5382, 	0.450881, 	-7.63215
18:30:53.872, 	200.766, 	23.5382, 	0.450881, 	-7.63215
18:30:53.872, 	200.766, 	23.5382, 	0.450881, 	-7.63215
18:30:53.973, 	2809.27, 	33.9862, 	0.300587, 	-8.53639
18:30:53.973, 	2809.27, 	33.9862, 	0.300587, 	-8.53639
18:30:53.973, 	2809.27, 	33.9862, 	0.300587, 	-8.53639
18:30:54.073, 	2160.54, 	30.0015, 	0.300587, 	-8.53639
18:30:54.073, 	2160.54, 	30.0015, 	0.300587, 	-8.53639
18:30:54.073, 	2160.54, 	30.0015, 	0.300587, 	-8.53639
18:30:54.174, 	1480.59, 	32.6278, 	0.300587, 	-8.53639
18:30:54.174, 	1480.59, 	32.6278, 	0.300587, 	-8.53639
18:30:54.174, 	1480.59, 	32.6278, 	0.300587, 	-8.53639
18:30:54.273, 	1048.72, 	30.0903, 	0.300587, 	-8.53639
18:30:54.273, 	1048.72, 	30.0903, 	0.300587, 	-8.53639
18:30:54.273, 	1048.72, 	30.0903, 	0.300587, 	-8.53639
18:30:54.373, 	576.193, 	28.5901, 	0.300587, 	-8.53639
18:30:54.373, 	576.193, 	28.5901, 	0.300587, 	-8.53639
18:30:54.373, 	576.193, 	28.5901, 	0.300587, 	-8.53639
18:30:54.474, 	373.998, 	27.983, 	0.300587, 	-8.53639
18:30:54.474, 	373.998, 	27.983, 	0.300587, 	-8.53639
18:30:54.474, 	373.998, 	27.983, 	0.300587, 	-8.53639
18:30:54.574, 	162.069, 	23.0616, 	0.150294, 	-7.63215
18:30:54.574, 	162.069, 	23.0616, 	0.150294, 	-7.63215
18:30:54.574, 	162.069, 	23.0616, 	0.150294, 	-7.63215
18:30:54.675, 	132.292, 	23.0799, 	3.30646, 	-61.9835
18:30:54.675, 	132.292, 	23.0799, 	3.30646, 	-61.9835
18:30:54.675, 	132.292, 	23.0799, 	3.30646, 	-61.9835
18:30:54.775, 	1098.78, 	31.8262, 	76.6497, 	82.8334
18:30:54.775, 	1098.78, 	31.8262, 	76.6497, 	82.8334
18:30:54.775, 	1098.78, 	31.8262, 	76.6497, 	82.8334
18:30:54.875, 	1010.03, 	30.4455, 	0.450881, 	-7.63215
18:30:54.875, 	1010.03, 	30.4455, 	0.450881, 	-7.63215
18:30:54.875, 	1010.03, 	30.4455, 	0.450881, 	-7.63215
18:30:54.985, 	1380.62, 	29.5904, 	0.300587, 	-7.63215
18:30:54.985, 	1380.62, 	29.5904, 	0.300587, 	-7.63215
18:30:55.025, 	1043.99, 	27.3918, 	0.300587, 	-7.63215
18:30:55.025, 	1043.99, 	27.3918, 	0.300587, 	-7.63215
18:30:55.085, 	642.374, 	34.5729, 	0.150294, 	-7.63215
18:30:55.085, 	642.374, 	34.5729, 	0.150294, 	-7.63215
18:30:55.125, 	453.91, 	31.2472, 	0.150294, 	-7.63215
18:30:55.125, 	453.91, 	31.2472, 	0.150294, 	-7.63215
18:30:55.185, 	241.207, 	24.5535, 	0.150294, 	-7.63215
18:30:55.185, 	241.207, 	24.5535, 	0.150294, 	-7.63215
18:30:55.225, 	111.676, 	21.8403, 	0, 	70.9638
18:30:55.225, 	111.676, 	21.8403, 	0.0, 	70.9638
18:30:55.285, 	90.5468, 	21.1622, 	76.8, 	73.9327
18:30:55.285, 	90.5468, 	21.1622, 	76.8, 	73.9327
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.326, 	40.1789, 	17.5081, 	76.6497, 	70.9638
18:30:55.885, 	17.3218, 	17.2444, 	3.30646, 	-58.382
18:30:55.885, 	17.3218, 	17.2444, 	3.30646, 	-58.382
18:30:55.885, 	17.3218, 	17.2444, 	3.30646, 	-58.382
18:30:55.885, 	17.3218, 	17.2444, 	3.30646, 	-58.382
18:30:55.885, 	17.3218, 	17.2444, 	3.30646, 	-58.382
18:30:56.128, 	21.7437, 	15.2162, 	3.45675, 	-60.1334
18:30:56.128, 	21.7437, 	15.2162, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.186, 	17.2648, 	15.0952, 	3.45675, 	-60.1334
18:30:56.886, 	23.0092, 	15.748, 	3.15616, 	-63.9534
18:30:56.886, 	23.0092, 	15.748, 	3.15616, 	-63.9534
18:30:56.930, 	31.1067, 	15.6753, 	3.30646, 	-68.3862
18:30:56.930, 	31.1067, 	15.6753, 	3.30646, 	-68.3862
18:30:56.986, 	41.3586, 	16.9339, 	3.30646, 	-66.0729
18:30:56.986, 	41.3586, 	16.9339, 	3.30646, 	-66.0729
18:30:56.986, 	41.3586, 	16.9339, 	3.30646, 	-66.0729
18:30:56.986, 	41.3586, 	16.9339, 	3.30646, 	-66.0729
18:30:57.130, 	33.639, 	15.8631, 	3.15616, 	-66.0729
18:30:57.130, 	33.639, 	15.8631, 	3.15616, 	-66.0729
18:30:57.187, 	13.2866, 	17.8701, 	14.5785, 	-13.0948
18:30:57.187, 	13.2866, 	17.8701, 	14.5785, 	-13.0948
18:30:57.187, 	13.2866, 	17.8701, 	14.5785, 	-13.0948
18:30:57.187, 	13.2866, 	17.8701, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.331, 	14.0157, 	15.3209, 	14.5785, 	-13.0948
18:30:57.682, 	1795.21, 	32.2377, 	0.150294, 	-9.44278
18:30:57.682, 	1795.21, 	32.2377, 	0.150294, 	-9.44278
18:30:57.682, 	1795.21, 	32.2377, 	0.150294, 	-9.44278
18:30:57.782, 	1652.21, 	31.24, 	0.300587, 	-8.53639
18:30:57.782, 	1652.21, 	31.24, 	0.300587, 	-8.53639
18:30:57.782, 	1652.21, 	31.24, 	0.300587, 	-8.53639
18:30:57.882, 	1300.65, 	33.6605, 	0.300587, 	-8.53639
18:30:57.882, 	1300.65, 	33.6605, 	0.300587, 	-8.53639
18:30:57.882, 	1300.65, 	33.6605, 	0.300587, 	-8.53639
18:30:57.982, 	834.297, 	30.6248, 	0.300587, 	-7.63215
18:30:57.982, 	834.297, 	30.6248, 	0.300587, 	-7.63215
18:30:57.982, 	834.297, 	30.6248, 	0.300587, 	-7.63215
18:30:58.083, 	571.866, 	31.2671, 	0.300587, 	-7.63215
18:30:58.083, 	571.866, 	31.2671, 	0.300587, 	-7.63215
18:30:58.083, 	571.866, 	31.2671, 	0.300587, 	-7.63215
18:30:58.183, 	364.171, 	25.7821, 	0.300587, 	-7.63215
18:30:58.183, 	364.171, 	25.7821, 	0.300587, 	-7.63215
18:30:58.283, 	203.414, 	25.1627, 	0.300587, 	-7.63215
