1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
2, 	-63.9534, 	-63.9534, 	24.2036, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.2036, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.2036, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.2036, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.315, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7168, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.8998, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.8998, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.8998, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.8998, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	11.668, 	1, 	1.216
