(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 08-29-2023 19:09:39time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
19:09:42.247, 	1, 	1, 	20.2327, 	14.1065, 	0, 	4, 	0, 	(0.962829,-0.520114);(-1.26458,-0.363057);(1.22129,1.00811);(-1.27419,-0.965153);
19:09:42.297, 	1, 	1, 	19.5545, 	16.3348, 	0, 	4, 	0, 	(-0.737598,0.406991);(1.21401,0.278203);(-1.35414,-1.11535);(1.42989,1.08124);
19:09:42.347, 	0, 	1, 	19.9103, 	15.1164, 	0, 	4, 	0, 	(-1.09887,0.132332);(1.06199,0.783702);(-0.747252,-1.24314);(0.805067,1.25231);
19:09:42.397, 	1, 	1, 	21.0393, 	16.8484, 	0, 	8, 	0, 	(0.487164,0.706444);(0.0587095,-1.32297);(-0.844816,1.47147);(0.858939,-1.53745);
19:09:42.498, 	1, 	1, 	19.1332, 	16.0568, 	0, 	8, 	0, 	(-0.455949,0.129984);(0.671649,0.513417);(-0.722053,-1.5515);(0.80654,1.51488);
19:09:42.549, 	1, 	1, 	19.9061, 	10.8816, 	0, 	8, 	0, 	(-1.13523,-0.132047);(0.836924,0.946046);(-0.391895,-1.07245);(0.428135,1.09567);
19:09:42.648, 	1, 	1, 	19.6578, 	15.9499, 	0, 	8, 	0, 	(-0.427306,-1.04371);(-0.393252,1.18249);(0.693465,-0.834197);(-0.700455,0.867926);
19:09:42.697, 	1, 	1, 	20.0258, 	14.6367, 	0, 	8, 	0, 	(0.247657,-0.760256);(-0.965714,0.219923);(1.77082,0.224903);(-1.775,-0.115335);
19:09:42.747, 	1, 	1, 	19.8824, 	14.2795, 	0, 	8, 	0, 	(0.0680664,1.05759);(0.669442,-0.995513);(-0.761479,0.525176);(0.802439,-0.555801);
19:09:42.898, 	1, 	1, 	20.3363, 	13.6627, 	0, 	8, 	0, 	(-0.554431,0.534003);(1.21299,-0.0648398);(-1.61111,-0.768445);(1.66892,0.735488);
19:09:42.948, 	1, 	1, 	20.2193, 	15.9868, 	0, 	8, 	0, 	(0.622394,-0.879167);(-1.3009,0.279415);(1.5033,0.322037);(-1.54682,-0.29402);
19:09:43.048, 	1, 	1, 	19.813, 	15.5253, 	0, 	8, 	0, 	(-1.03605,0.457331);(1.2204,0.448192);(-1.0397,-0.950858);(1.09943,0.948743);
19:09:43.099, 	1, 	1, 	20.0775, 	15.8288, 	0, 	8, 	0, 	(-0.76228,0.78238);(1.1714,-0.132099);(-0.886466,-0.230097);(0.91388,0.238348);
19:09:43.199, 	1, 	1, 	20.2186, 	15.5454, 	0, 	8, 	0, 	(-0.956021,-0.563623);(0.313155,1.27475);(0.243669,-1.61452);(-0.175732,1.64812);
19:09:43.249, 	1, 	1, 	19.1222, 	10.9131, 	0, 	8, 	0, 	(-1.04259,0.0560583);(1.11893,0.681513);(-0.679848,-0.945116);(0.69741,1.01888);
19:09:43.299, 	1, 	1, 	19.1176, 	13.2338, 	0, 	8, 	0, 	(-0.146108,0.620196);(0.872502,-0.358039);(-1.76048,-0.0557437);(1.7732,-0.052864);
19:09:43.349, 	1, 	1, 	20.7009, 	14.4945, 	0, 	8, 	0, 	(-1.14174,0.131475);(0.978006,0.706609);(-0.554272,-0.869722);(0.5855,0.855124);
19:09:43.399, 	1, 	1, 	19.3136, 	15.4237, 	0, 	8, 	0, 	(0.390419,0.5132);(0.118905,-1.08898);(-1.0202,1.47142);(0.983134,-1.54347);
19:09:43.499, 	1, 	1, 	21.4988, 	13.7567, 	0, 	8, 	0, 	(0.342966,0.790743);(1.82113,-0.266929);(-1.07239,-0.310205);(1.09171,0.213609);
19:09:43.550, 	1, 	1, 	18.9964, 	13.5077, 	0, 	8, 	0, 	(-0.400238,0.326374);(0.935581,0.169915);(-1.30956,-1.15061);(1.38759,1.09071);
19:09:43.599, 	1, 	1, 	20.3906, 	14.9746, 	0, 	8, 	0, 	(-1.07029,0.0605469);(1.05299,0.716092);(-0.614555,-0.937203);(0.633818,0.982961);
19:09:43.649, 	1, 	1, 	21.1971, 	15.0412, 	0, 	4, 	0, 	(0.0183764,1.04666);(0.851602,-1.05468);(-1.31625,0.692542);(1.3694,-0.715415);
19:09:43.701, 	1, 	1, 	20.5945, 	14.1208, 	0, 	4, 	0, 	(1.11652,-0.278215);(-1.04112,-0.591393);(0.630795,0.75658);(-0.661161,-0.736619);
19:09:43.750, 	1, 	1, 	21.3954, 	15.4223, 	0, 	4, 	0, 	(0.359671,-0.632032);(-1.09443,0.334174);(1.80702,0.234133);(-1.84781,-0.16265);
19:09:43.850, 	1, 	1, 	19.3153, 	13.0107, 	0, 	4, 	0, 	(-0.346861,-1.00542);(-0.389607,1.23423);(0.85704,-0.910827);(-0.90454,0.939238);
19:09:43.900, 	1, 	1, 	20.9974, 	14.5561, 	0, 	4, 	0, 	(-0.912224,-0.454499);(0.60095,1.21728);(0.0359658,-1.54023);(-0.0506986,1.63467);
19:09:43.950, 	1, 	1, 	20.3692, 	13.6122, 	0, 	4, 	0, 	(-0.956016,0.487784);(1.31608,0.122542);(-0.93553,-0.528569);(0.981708,0.597587);
19:09:44.051, 	1, 	1, 	20.4031, 	13.6902, 	0, 	0, 	0, 	(-0.497805,0.934552);(1.11095,-0.425442);(-0.9339,0.0351886);(0.969027,-0.0196075);
19:09:44.151, 	1, 	1, 	19.0046, 	15.3996, 	0, 	0, 	0, 	(-0.440155,0.348722);(0.764137,0.277548);(-1.30941,-1.06807);(1.20623,1.17008);
19:09:44.201, 	1, 	1, 	20.1705, 	12.8836, 	0, 	0, 	0, 	(0.471293,1.14678);(0.343705,-1.16428);(-0.780769,0.971028);(0.742997,-0.911797);
19:09:44.301, 	0, 	1, 	18.6843, 	13.5169, 	0, 	0, 	0, 	(0.42002,-1.05744);(-1.02523,0.715474);(1.06235,-0.172555);(-1.07088,0.225269);
19:09:44.351, 	1, 	1, 	20.7621, 	17.854, 	0, 	4, 	0, 	(0.122811,1.12849);(0.783636,-1.03437);(-1.23189,0.766785);(1.25999,-0.734573);
19:09:44.401, 	1, 	1, 	18.9198, 	12.7079, 	0, 	4, 	0, 	(1.0135,0.0739934);(-0.928478,-0.833085);(0.59849,1.62531);(-0.635881,-1.5443);
19:09:44.452, 	1, 	1, 	21.5905, 	17.1197, 	0, 	4, 	0, 	(0.806865,0.174477);(-0.274324,-1.10671);(0.102065,1.72477);(0.166083,-1.90068);
19:09:44.502, 	1, 	1, 	18.9725, 	15.0033, 	0, 	4, 	0, 	(-0.280675,-0.373006);(-0.30995,0.82793);(1.28817,-1.19931);(-1.21432,1.13663);
19:09:44.602, 	1, 	1, 	19.561, 	14.3746, 	0, 	4, 	0, 	(-0.357647,0.602755);(0.954125,-0.102261);(-1.73089,-0.667861);(1.64272,0.439294);
19:09:44.652, 	1, 	1, 	21.2838, 	14.2258, 	0, 	4, 	0, 	(-0.488215,0.962272);(1.13409,-0.504139);(-1.00614,0.0418085);(1.07515,-0.0473742);
19:09:44.702, 	1, 	1, 	21.367, 	14.69, 	0, 	4, 	0, 	(1.05804,0.321499);(-0.687088,-1.1236);(0.228716,1.36753);(-0.252797,-1.4403);
19:09:44.752, 	1, 	1, 	20.3162, 	13.3245, 	0, 	4, 	0, 	(-0.963431,-0.39366);(0.628455,1.00405);(-0.171994,-0.857723);(0.156245,0.900786);
19:09:44.803, 	1, 	1, 	19.623, 	12.7096, 	0, 	4, 	0, 	(0.820034,0.220339);(-0.509841,-0.982476);(0.131197,1.78705);(-0.213228,-1.82977);
19:09:44.852, 	1, 	1, 	19.522, 	18.0543, 	0, 	4, 	0, 	(0.153075,-0.610482);(-0.863705,0.230824);(1.73933,0.228444);(-1.70069,-0.0772766);
19:09:44.902, 	1, 	1, 	21.1281, 	13.0318, 	0, 	4, 	0, 	(0.900893,0.548609);(-0.493278,-1.19165);(-0.0367973,1.12757);(0.0560365,-1.18463);
19:09:45.031, 	0, 	2, 	20.295, 	15.0465, 	0, 	4, 	0, 	(-0.00765462,-0.0243461);
19:09:45.131, 	0, 	2, 	20.7293, 	14.7064, 	0, 	8, 	0, 	(0.101529,-0.0508521);
19:09:45.230, 	0, 	2, 	17.5127, 	13.3094, 	0, 	12, 	0, 	(0.0472993,-0.0218906);
19:09:45.332, 	0, 	2, 	18.102, 	14.5956, 	0, 	16, 	0, 	(-0.0960936,-0.0341525);
19:09:45.431, 	0, 	2, 	18.7883, 	15.0267, 	0, 	20, 	0, 	(0.00259813,-0.0362823);
19:09:45.531, 	0, 	2, 	19.5246, 	15.2415, 	0, 	24, 	0, 	(-0.0382676,0.031003);
19:09:45.632, 	0, 	2, 	19.5449, 	15.0732, 	0, 	28, 	0, 	(-0.0202997,-0.0182536);
19:09:45.731, 	0, 	2, 	20.3544, 	16.1598, 	0, 	32, 	0, 	(-0.0828486,-0.0250747);
19:09:45.932, 	0, 	2, 	17.5613, 	13.1703, 	0, 	36, 	0, 	(0.00761784,0.0455127);
19:09:46.032, 	0, 	2, 	18.2833, 	13.4026, 	0, 	40, 	0, 	(0.0248633,-0.0465112);
19:09:46.134, 	0, 	2, 	19.1497, 	14.2016, 	0, 	44, 	0, 	(0.0375895,-0.00508012);
19:09:46.232, 	1, 	2, 	18.7081, 	14.7736, 	1, 	48, 	0.304, 	(-0.109709,-0.00364655);
19:09:46.332, 	0, 	2, 	21.6972, 	15.8547, 	1, 	48, 	0.304, 	(0.0174238,-0.0682071);
19:09:46.432, 	0, 	2, 	19.1339, 	14.518, 	0, 	52, 	0.304, 	(0.010031,-0.0266463);
19:09:46.532, 	0, 	2, 	15.9045, 	13.1552, 	0, 	52, 	0.304, 	(0.0539783,-0.0258688);
19:09:46.633, 	0, 	2, 	19.9587, 	14.5929, 	0, 	56, 	0.304, 	(-0.020662,-0.0225621);
19:09:46.732, 	0, 	2, 	18.0938, 	13.567, 	0, 	60, 	0.304, 	(-0.0345491,-0.0865198);
19:09:46.832, 	0, 	2, 	19.8223, 	14.1974, 	0, 	64, 	0.304, 	(-0.000884647,-0.105355);
19:09:46.932, 	0, 	2, 	19.0064, 	13.7624, 	0, 	68, 	0.304, 	(-0.00826275,-0.0279959);
19:09:47.008, 	1, 	1, 	20.5397, 	13.864, 	0, 	72, 	0.304, 	(0.111678,-1.02559);(-1.02437,0.767004);(1.66022,-0.403549);(-1.66319,0.47638);
19:09:47.057, 	1, 	1, 	21.7075, 	14.085, 	0, 	72, 	0.304, 	(-0.953569,0.559379);(1.3066,0.209202);(-1.10968,-0.705414);(1.16327,0.718469);
19:09:47.107, 	1, 	1, 	19.854, 	14.0623, 	0, 	72, 	0, 	(0.0988414,0.486668);(0.579652,-0.655443);(-1.61319,0.616156);(1.58426,-0.697629);
19:09:47.157, 	1, 	1, 	20.9019, 	15.421, 	0, 	72, 	0, 	(-0.863034,-0.639732);(0.385084,1.2524);(0.126428,-1.17558);(-0.132884,1.2284);
19:09:47.207, 	1, 	1, 	18.9929, 	14.8248, 	0, 	72, 	0, 	(0.540417,0.38352);(-0.00162219,-0.965659);(-0.740194,1.65353);(0.634093,-1.6763);
19:09:47.262, 	1, 	1, 	19.988, 	13.7181, 	0, 	72, 	0, 	(0.483609,0.758825);(0.242649,-1.21396);(-1.02972,1.38854);(1.00643,-1.45024);
19:09:47.307, 	1, 	1, 	19.8836, 	14.255, 	0, 	68, 	0, 	(1.06262,0.310727);(-0.731242,-1.14491);(0.225263,1.41559);(-0.27701,-1.44694);
19:09:47.358, 	0, 	1, 	20.1555, 	17.7105, 	0, 	68, 	0, 	(0.271144,0.922138);(0.54806,-1.19203);(-1.29227,1.08558);(1.31227,-1.14057);
19:09:47.409, 	1, 	1, 	20.4694, 	13.5729, 	0, 	64, 	0, 	(-0.588441,0.416573);(1.20646,0.0955588);(-1.50213,-1.02004);(1.56358,1.00766);
19:09:47.458, 	1, 	1, 	19.75, 	15.4905, 	0, 	60, 	0, 	(1.03877,-0.028787);(-0.978295,-0.872006);(0.663003,1.44479);(-0.723872,-1.45867);
19:09:47.508, 	1, 	1, 	20.3314, 	13.4992, 	0, 	56, 	0, 	(0.274535,0.85945);(0.600223,-1.07337);(-1.43787,1.07363);(1.42811,-1.14803);
19:09:47.666, 	1, 	1, 	20.348, 	12.4523, 	0, 	52, 	0, 	(1.06209,0.187139);(-0.926668,-1.0105);(0.458764,1.32366);(-0.461344,-1.3863);
19:09:47.708, 	1, 	1, 	20.2399, 	12.8011, 	0, 	48, 	0, 	(-0.915807,0.587942);(1.15201,0.157655);(-0.754462,-0.408988);(0.782786,0.390401);
19:09:47.758, 	0, 	1, 	20.7479, 	13.4418, 	0, 	48, 	0, 	(0.753711,0.838037);(0.0116779,-1.2829);(-0.460576,1.17998);(0.437587,-1.20996);
19:09:47.809, 	1, 	1, 	19.2054, 	15.3091, 	0, 	44, 	0, 	(0.774068,-0.111523);(0.660053,-1.4418);(-0.758596,0.746404);(0.675525,-0.806922);
