19:09:54.072, 	42.1857, 	17.1005, 	3.15616, 	-63.9534
19:09:54.122, 	66.1057, 	18.973, 	3.30646, 	-63.9534
19:09:54.172, 	31.3701, 	18.8163, 	3.30646, 	-60.1334
19:09:54.272, 	38.0324, 	17.6649, 	3.45675, 	-60.1334
19:09:54.322, 	75.6813, 	18.7358, 	3.15616, 	-63.9534
19:09:54.373, 	85.5539, 	21.3853, 	3.30646, 	-63.9534
19:09:54.473, 	57.2594, 	18.285, 	3.30646, 	-63.9534
19:09:54.523, 	127.699, 	23.4642, 	3.30646, 	-61.9835
19:09:54.573, 	41.0403, 	18.1431, 	3.15616, 	-66.0729
19:09:54.623, 	91.4296, 	22.4357, 	3.15616, 	-63.9534
19:09:54.824, 	49.4282, 	18.2432, 	3.30646, 	-61.9835
19:09:54.939, 	63.3325, 	20.7027, 	3.30646, 	-63.9534
19:09:55.039, 	30.5152, 	16.3067, 	3.00587, 	-61.9835
19:10:02.039, 	30.4872, 	16.0916, 	3.45675, 	-68.3862
19:10:02.139, 	102.64, 	22.4279, 	3.15616, 	-63.9534
19:10:02.189, 	67.3811, 	19.7258, 	3.15616, 	-61.9835
19:10:02.240, 	42.8669, 	18.6549, 	3.15616, 	-66.0729
19:10:02.290, 	56.5289, 	19.5806, 	3.15616, 	-63.9534
19:10:02.539, 	37.0206, 	17.0638, 	3.30646, 	-66.0729
19:10:02.590, 	32.9335, 	18.9188, 	3.15616, 	-61.9835
19:10:02.691, 	68.7834, 	21.2793, 	3.30646, 	-61.9835
19:10:02.791, 	113.47, 	22.7927, 	3.30646, 	-63.9534
19:10:02.841, 	42.5285, 	17.9186, 	3.15616, 	-61.9835
19:10:02.891, 	47.5924, 	17.2567, 	3.15616, 	-66.0729
19:10:02.941, 	26.807, 	16.8343, 	3.15616, 	-63.9534
19:10:02.991, 	51.5987, 	17.677, 	3.30646, 	-63.9534
19:10:03.042, 	106.717, 	22.4871, 	3.15616, 	-61.9835
19:10:03.092, 	30.0743, 	16.9836, 	3.30646, 	-63.9534
19:10:03.141, 	63.6543, 	19.0719, 	3.15616, 	-63.9534
19:10:03.192, 	28.6826, 	17.9276, 	3.15616, 	-60.1334
19:10:03.242, 	34.154, 	18.456, 	3.15616, 	-61.9835
19:10:03.292, 	49.0128, 	18.8479, 	3.15616, 	-66.0729
19:10:03.342, 	29.8038, 	15.99, 	3.30646, 	-61.9835
19:10:03.446, 	26.8262, 	15.9933, 	3.00587, 	-63.9534
19:10:03.546, 	42.801, 	18.6153, 	3.15616, 	-66.0729
19:10:03.646, 	21.1104, 	15.305, 	3.15616, 	-63.9534
19:10:03.746, 	33.1502, 	16.7095, 	3.30646, 	-61.9835
19:10:03.846, 	63.4789, 	20.5066, 	3.15616, 	-61.9835
19:10:03.946, 	60.4747, 	19.2133, 	3.15616, 	-60.1334
19:10:04.047, 	56.5795, 	18.8691, 	3.30646, 	-61.9835
19:10:04.147, 	38.0979, 	18.1994, 	3.30646, 	-60.1334
19:10:04.547, 	20.094, 	15.177, 	3.30646, 	-58.382
19:10:04.647, 	23.2662, 	15.5731, 	3.00587, 	-66.0729
19:10:04.751, 	28.6149, 	15.5948, 	3.30646, 	-60.1334
19:10:04.847, 	43.3606, 	18.179, 	3.45675, 	-60.1334
19:10:05.148, 	34.9874, 	18.509, 	3.45675, 	-58.382
19:10:05.248, 	23.6582, 	15.8877, 	3.15616, 	-60.1334
19:10:05.347, 	136.139, 	22.2851, 	3.45675, 	-60.1334
19:10:05.447, 	45.1297, 	19.0675, 	3.45675, 	-60.1334
19:10:05.548, 	27.4742, 	15.9929, 	3.60704, 	-60.1334
19:10:05.598, 	28.3011, 	17.3245, 	3.60704, 	-58.382
19:10:05.648, 	79.2441, 	21.6876, 	3.45675, 	-61.9835
19:10:05.698, 	57.2757, 	19.9052, 	3.45675, 	-56.7136
19:10:05.748, 	56.9011, 	18.803, 	3.60704, 	-61.9835
19:10:05.798, 	29.1611, 	17.0225, 	3.60704, 	-60.1334
19:10:05.848, 	47.945, 	20.0048, 	3.45675, 	-60.1334
19:10:05.898, 	84.8129, 	21.8191, 	3.45675, 	-61.9835
19:10:05.998, 	106.658, 	22.9581, 	3.45675, 	-58.382
19:10:06.047, 	63.4381, 	19.3703, 	3.45675, 	-60.1334
19:10:06.098, 	63.5475, 	19.3907, 	3.45675, 	-58.382
19:10:06.149, 	49.3587, 	17.4645, 	3.45675, 	-60.1334
19:10:06.199, 	72.0383, 	21.9044, 	3.30646, 	-58.382
19:10:06.349, 	45.4074, 	19.4178, 	3.45675, 	-58.382
19:10:06.549, 	40.6052, 	17.0543, 	3.45675, 	-58.382
19:10:06.600, 	65.4641, 	20.7777, 	3.45675, 	-58.382
19:10:06.700, 	80.4385, 	19.7026, 	3.45675, 	-58.382
19:10:06.750, 	45.9192, 	15.8981, 	3.45675, 	-58.382
19:10:06.849, 	135.617, 	22.7469, 	3.45675, 	-60.1334
19:10:06.949, 	71.455, 	20.7638, 	3.45675, 	-58.382
19:10:07.049, 	42.8481, 	17.5329, 	3.45675, 	-58.382
19:10:07.150, 	195.641, 	24.9914, 	3.45675, 	-58.382
19:10:07.350, 	168.424, 	23.5629, 	3.45675, 	-58.382
19:10:07.450, 	100.201, 	22.5129, 	3.45675, 	-58.382
19:10:07.550, 	136.265, 	24.0926, 	3.30646, 	-60.1334
19:10:07.650, 	96.0428, 	21.8706, 	3.45675, 	-60.1334
19:10:07.750, 	83.7299, 	19.03, 	3.45675, 	-60.1334
19:10:07.850, 	109.519, 	22.2434, 	3.45675, 	-58.382
19:10:07.950, 	21.3462, 	16.292, 	3.45675, 	-58.382
19:10:08.051, 	159.44, 	22.0283, 	3.30646, 	-58.382
19:10:08.150, 	130.261, 	23.5, 	3.45675, 	-58.382
19:10:08.351, 	32.3851, 	16.2059, 	3.60704, 	-60.1334
19:10:08.451, 	246.158, 	24.2859, 	3.45675, 	-56.7136
19:10:08.551, 	156.339, 	22.827, 	3.45675, 	-58.382
19:10:08.651, 	21.8724, 	15.0928, 	3.60704, 	-60.1334
19:10:08.751, 	72.1237, 	22.0186, 	3.45675, 	-56.7136
19:10:08.851, 	223.529, 	24.4998, 	3.60704, 	-58.382
19:10:08.904, 	314.848, 	26.9788, 	3.45675, 	-58.382
19:10:08.951, 	1349.9, 	33.0013, 	0, 	-42.8192
19:10:09.055, 	312.925, 	29.6482, 	3.60704, 	-60.1334
19:10:09.105, 	273.526, 	26.79, 	3.45675, 	-58.382
19:10:09.155, 	174.847, 	24.5247, 	3.60704, 	-60.1334
19:10:09.205, 	118.171, 	23.927, 	3.45675, 	-60.1334
19:10:09.255, 	281.934, 	26.975, 	3.60704, 	-58.382
19:10:09.306, 	368.45, 	27.2113, 	3.45675, 	-56.7136
19:10:09.356, 	122.775, 	21.6768, 	3.45675, 	-58.382
19:10:09.406, 	243.349, 	25.7701, 	3.60704, 	-56.7136
19:10:09.456, 	218.516, 	24.0999, 	3.45675, 	-58.382
19:10:09.506, 	263.344, 	25.2603, 	3.45675, 	-58.382
19:10:09.556, 	154.639, 	25.7438, 	3.45675, 	-58.382
19:10:09.706, 	63.9355, 	20.7235, 	3.45675, 	-61.9835
19:10:09.756, 	253.407, 	26.4968, 	3.45675, 	-58.382
19:10:09.806, 	100.155, 	23.5743, 	3.45675, 	-60.1334
19:10:09.855, 	339.958, 	26.0405, 	3.45675, 	-60.1334
19:10:09.906, 	217.569, 	25.4686, 	3.45675, 	-60.1334
19:10:09.957, 	180.806, 	24.9076, 	3.45675, 	-58.382
19:10:10.007, 	187.907, 	25.1929, 	3.45675, 	-60.1334
