(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);12:54:04.489, 	1, 	2, 	21.4706, 	14.5059, 	1, 	96, 	0.304, 	(0.037976,-0.101053);
12:54:04.510, 	0, 	2, 	20.6016, 	14.4238, 	1, 	96, 	0.304, 	(-0.155833,-0.146081);
12:54:04.530, 	1, 	2, 	18.2682, 	13.1405, 	1, 	92, 	0.608, 	(0.0723341,-0.08106);
12:54:04.550, 	1, 	2, 	21.6834, 	12.8081, 	1, 	88, 	0.912, 	(-0.00395725,-0.100605);
12:54:04.570, 	1, 	2, 	21.5638, 	13.0044, 	1, 	84, 	1.216, 	(0.0622595,-0.0682163);
12:54:04.590, 	1, 	2, 	22.6325, 	11.9279, 	1, 	80, 	1.52, 	(-0.0327557,-0.0778543);
12:54:04.610, 	1, 	2, 	19.2154, 	13.3103, 	1, 	76, 	1.824, 	(0.0902963,0.039791);
12:54:04.630, 	0, 	2, 	20.8651, 	10.8324, 	1, 	76, 	1.824, 	(0.00994703,0.0287326);
12:54:04.650, 	0, 	2, 	21.3729, 	10.6675, 	0, 	76, 	1.824, 	(-0.0133161,0.0322647);
12:54:04.670, 	0, 	2, 	23.5891, 	13.155, 	0, 	76, 	1.824, 	(-0.0186166,-0.0986001);
12:54:04.690, 	0, 	2, 	24.7362, 	9.97649, 	0, 	76, 	1.824, 	(0.0483479,0.0177495);
12:54:04.710, 	0, 	2, 	24.4207, 	11.8666, 	0, 	76, 	1.52, 	(-0.0244457,0.0553828);
12:54:04.730, 	0, 	2, 	24.4834, 	7.25822, 	0, 	76, 	1.52, 	(0.0248238,-0.0437182);
12:54:04.750, 	0, 	2, 	24.8867, 	9.70196, 	0, 	76, 	1.216, 	(0.0512183,-0.00753685);
12:54:04.770, 	0, 	2, 	24.8975, 	8.46843, 	0, 	76, 	0.912, 	(0.040623,0.0158971);
12:54:04.791, 	0, 	2, 	19.7308, 	10.3796, 	0, 	76, 	0.608, 	(0.0160533,0.0579429);
12:54:04.811, 	0, 	2, 	27.07, 	11.5073, 	0, 	76, 	0.304, 	(-0.0121041,-0.0304557);
12:54:04.831, 	0, 	2, 	26.5105, 	10.4125, 	0, 	76, 	-7.10543e-17, 	(-0.010185,0.0315457);
12:54:04.851, 	0, 	2, 	27.5699, 	9.81369, 	0, 	76, 	-7.10543e-17, 	(-0.0246881,-0.0209543);
12:54:04.871, 	0, 	2, 	28.2554, 	12.5387, 	0, 	76, 	-7.10543e-17, 	(0.0696111,-0.0169906);
12:54:04.891, 	0, 	2, 	22.1824, 	13.3834, 	0, 	76, 	-7.10543e-17, 	(0.0727507,-0.0793158);
12:54:04.911, 	1, 	2, 	24.3586, 	14.7044, 	1, 	72, 	0.304, 	(0.0849814,-0.108671);
12:54:04.931, 	1, 	2, 	27.3252, 	16.5572, 	1, 	68, 	0.608, 	(-0.0679406,0.130835);
12:54:04.951, 	1, 	2, 	26.7321, 	17.3549, 	1, 	64, 	0.912, 	(0.0283612,-0.0577948);
12:54:04.971, 	1, 	2, 	20.794, 	16.4225, 	1, 	60, 	1.216, 	(0.177453,-0.0662851);
12:54:04.997, 	1, 	2, 	24.2838, 	17.7146, 	1, 	60, 	1.52, 	(0.0616959,0.193058);
12:54:05.012, 	1, 	2, 	27.7463, 	19.1591, 	1, 	56, 	1.824, 	(-0.0667693,0.188864);
