(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-08-2023 19:14:51time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
19:14:51.647, 	1, 	2, 	17.3712, 	20.7068, 	1, 	0, 	3.04, 	(-0.184637,0.0654227);
19:14:51.667, 	1, 	2, 	17.7482, 	20.2265, 	1, 	0, 	3.04, 	(0.155513,0.0507672);
19:14:51.687, 	1, 	2, 	17.9786, 	20.897, 	1, 	0, 	3.04, 	(-0.266668,-0.0490056);
19:14:51.707, 	1, 	2, 	17.7818, 	21.2255, 	1, 	0, 	3.04, 	(-0.019817,0.264848);
19:14:51.728, 	1, 	2, 	16.4504, 	21.1218, 	1, 	0, 	3.04, 	(0.129151,0.306043);
19:14:51.747, 	1, 	2, 	18.5152, 	21.4526, 	1, 	0, 	3.04, 	(0.0820886,-0.171464);
19:14:51.767, 	1, 	2, 	19.2629, 	20.9656, 	1, 	0, 	3.04, 	(0.280497,-0.000866846);
19:14:51.788, 	1, 	2, 	18.5181, 	20.8582, 	1, 	0, 	3.04, 	(-0.13898,0.148017);
19:14:51.808, 	1, 	2, 	18.235, 	19.9456, 	1, 	0, 	3.04, 	(0.131361,-0.119824);
19:14:51.828, 	1, 	2, 	19.1821, 	20.5763, 	1, 	0, 	3.04, 	(-0.147098,0.234795);
19:14:51.848, 	1, 	2, 	16.463, 	22.7295, 	1, 	0, 	3.04, 	(-0.188653,-0.351249);
19:14:51.868, 	1, 	2, 	20.1237, 	22.8777, 	1, 	0, 	3.04, 	(-0.244861,0.119482);
19:14:51.889, 	1, 	2, 	19.6191, 	22.2768, 	1, 	0, 	3.04, 	(0.303289,-0.243498);
19:14:51.909, 	1, 	2, 	19.73, 	17.0856, 	1, 	0, 	3.04, 	(0.0120655,-0.168462);
19:14:51.929, 	1, 	2, 	20.1287, 	20.8513, 	1, 	0, 	3.04, 	(-0.149083,-0.238948);
19:14:51.949, 	1, 	2, 	20.3015, 	23.8123, 	1, 	0, 	3.04, 	(-0.306023,-0.309265);
19:14:51.970, 	1, 	2, 	19.3053, 	22.9208, 	1, 	0, 	3.04, 	(-0.366122,-0.18654);
19:14:51.989, 	1, 	2, 	18.3039, 	22.3433, 	1, 	0, 	3.04, 	(-0.165264,0.408149);
19:14:52.009, 	1, 	2, 	19.9658, 	24.0343, 	1, 	0, 	3.04, 	(0.319128,-0.314773);
19:14:52.039, 	1, 	2, 	20.0536, 	23.396, 	1, 	0, 	3.04, 	(0.374353,0.233201);
19:14:52.052, 	1, 	2, 	17.8567, 	21.9802, 	1, 	0, 	3.04, 	(-0.413058,-0.164434);
19:14:52.070, 	1, 	2, 	18.298, 	23.1611, 	1, 	0, 	3.04, 	(-0.0835301,0.463561);
19:14:52.090, 	1, 	2, 	22.4716, 	23.8795, 	1, 	0, 	3.04, 	(-0.286866,-0.174661);
19:14:52.110, 	1, 	2, 	23.7086, 	24.6939, 	1, 	0, 	3.04, 	(0.309818,0.366415);
19:14:52.130, 	1, 	2, 	18.66, 	22.4858, 	1, 	0, 	3.04, 	(0.463022,-0.11515);
19:14:52.151, 	1, 	2, 	21.145, 	23.9651, 	1, 	0, 	3.04, 	(-0.147482,0.327551);
19:14:52.171, 	1, 	2, 	21.7825, 	22.386, 	1, 	0, 	3.04, 	(0.234613,0.167975);
19:14:52.191, 	1, 	2, 	17.6537, 	21.0505, 	1, 	0, 	3.04, 	(-0.11335,-0.437093);
19:14:52.211, 	1, 	2, 	21.6481, 	22.1171, 	1, 	0, 	3.04, 	(-0.0283708,-0.3162);
19:14:52.231, 	1, 	2, 	21.334, 	22.2356, 	1, 	0, 	3.04, 	(0.155267,-0.349436);
19:14:52.252, 	1, 	2, 	22.4079, 	22.7446, 	1, 	0, 	3.04, 	(0.124013,0.182138);
19:14:52.272, 	1, 	2, 	19.4928, 	21.3831, 	1, 	0, 	3.04, 	(0.081081,0.408051);
19:14:52.292, 	1, 	2, 	23.9097, 	24.2452, 	1, 	0, 	3.04, 	(-0.0619045,-0.389757);
19:14:52.313, 	1, 	2, 	24.5583, 	21.8378, 	1, 	0, 	3.04, 	(0.186424,0.0627442);
19:14:52.332, 	1, 	2, 	23.9517, 	22.5125, 	1, 	0, 	3.04, 	(-0.0154818,-0.310271);
19:14:52.353, 	0, 	2, 	23.9384, 	21.7448, 	1, 	0, 	3.04, 	(-0.255627,-0.0715224);
19:14:52.372, 	1, 	2, 	23.5375, 	24.9673, 	1, 	4, 	2.736, 	(-0.0155762,0.387548);
19:14:52.386, 	1, 	1, 	23.0223, 	20.8773, 	0, 	4, 	2.432, 	(-0.289188,-0.890037);(1.21988,-0.102408);(0.512333,0.816942);(-0.446802,0.973725);
19:14:52.413, 	1, 	2, 	22.5926, 	24.0793, 	1, 	4, 	2.432, 	(0.43656,-0.271409);
19:14:52.433, 	1, 	2, 	23.9305, 	23.3805, 	1, 	4, 	2.432, 	(-0.219257,-0.409255);
19:14:52.453, 	0, 	2, 	23.7004, 	16.6835, 	1, 	4, 	2.432, 	(0.195998,0.0943545);
19:14:52.484, 	1, 	2, 	23.4463, 	23.636, 	1, 	8, 	2.128, 	(0.233058,-0.464364);
19:14:52.485, 	1, 	1, 	22.682, 	18.2526, 	0, 	8, 	1.824, 	(0.830881,0.279206);(-0.591288,0.933044);(-1.34616,-0.136589);(-0.663549,-1.2765);
19:14:52.513, 	1, 	2, 	22.7363, 	18.2526, 	1, 	8, 	1.824, 	(0.830881,0.279206);(-0.591288,0.933044);(-1.34616,-0.136589);(-0.663549,-1.2765);
19:14:52.533, 	1, 	2, 	23.5843, 	23.105, 	1, 	8, 	1.824, 	(-0.384386,0.0607461);
19:14:52.554, 	1, 	2, 	24.7181, 	23.268, 	1, 	8, 	2.128, 	(-0.225894,-0.267725);
19:14:52.574, 	1, 	2, 	25.2266, 	19.3539, 	1, 	8, 	2.128, 	(0.0465089,0.0601947);
19:14:52.594, 	1, 	2, 	25.8931, 	19.9579, 	1, 	8, 	2.432, 	(-0.0597092,-0.0147696);
19:14:52.614, 	1, 	2, 	24.091, 	19.991, 	1, 	8, 	2.432, 	(-0.0591097,0.0273444);
19:14:52.635, 	1, 	2, 	25.447, 	19.0509, 	1, 	8, 	2.432, 	(0.126305,0.182161);
19:14:52.654, 	1, 	2, 	23.9877, 	18.1833, 	1, 	8, 	2.736, 	(0.00103352,0.187859);
19:14:52.675, 	1, 	2, 	23.3663, 	17.3186, 	1, 	8, 	2.736, 	(0.0124114,0.207055);
19:14:52.695, 	1, 	2, 	23.452, 	16.3995, 	1, 	8, 	3.04, 	(0.191381,-0.0585943);
19:14:52.715, 	1, 	2, 	19.7176, 	19.9033, 	1, 	8, 	3.04, 	(0.262018,0.105644);
19:14:52.735, 	1, 	2, 	22.4338, 	20.4955, 	1, 	8, 	3.04, 	(0.205832,-0.187631);
19:14:52.755, 	0, 	2, 	23.4161, 	20.8177, 	1, 	8, 	3.04, 	(-0.14909,0.11021);
19:14:52.776, 	1, 	2, 	20.0216, 	22.0672, 	1, 	12, 	2.736, 	(-0.182987,0.515638);
19:14:52.786, 	1, 	1, 	22.4983, 	20.5392, 	0, 	12, 	2.432, 	(-0.543996,0.792828);(-0.861557,-0.795917);(0.113228,-1.4578);(1.19201,-0.93966);
19:14:52.816, 	1, 	2, 	23.5032, 	24.3055, 	1, 	12, 	2.432, 	(-0.260281,-0.506361);
19:14:52.856, 	1, 	2, 	20.6667, 	19.2442, 	1, 	12, 	2.432, 	(-0.0623982,0.198743);
19:14:52.876, 	1, 	2, 	22.9811, 	18.2365, 	1, 	8, 	2.432, 	(-0.19833,-0.0511903);
19:14:52.897, 	1, 	2, 	26.0851, 	18.5156, 	1, 	8, 	2.432, 	(-0.152696,0.0960567);
19:14:52.918, 	1, 	2, 	19.4119, 	19.0401, 	1, 	8, 	2.432, 	(-0.12944,-0.197979);
